NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPN1	na	793	0.10223820060491562	0.017117156	No	
row_1	SSX2IP	na	1320	0.09078262746334076	0.035543945	No	
row_2	ACTN3	na	2358	0.07731267064809799	0.040564556	No	
row_3	ACTG1	na	3548	0.06713933497667313	0.0396984	No	
row_4	SRC	na	3702	0.06591716408729553	0.057225693	No	
row_5	CDC42	na	3783	0.06521628051996231	0.07585973	No	
row_6	RAC2	na	5310	0.05469382926821709	0.06505534	No	
row_7	RAC3	na	5872	0.05120766907930374	0.07066085	No	
row_8	PTPRF	na	6514	0.047757748514413834	0.07375455	No	
row_9	WAS	na	8670	0.036913029849529266	0.046078574	No	
row_10	CTNNA2	na	9379	0.03357454016804695	0.043590654	No	
row_11	NECTIN1	na	10498	0.028726061806082726	0.032181423	No	
row_12	ERBB2	na	12042	0.022255925461649895	0.011079736	No	
row_13	RHOA	na	12980	0.01870686188340187	-1.356359E-4	No	
row_14	TCF7L1	na	13386	0.017167091369628906	-0.0021866276	No	
row_15	SNAI2	na	13712	0.015955250710248947	-0.0031614003	No	
row_16	NLK	na	14289	0.013798745349049568	-0.009347785	No	
row_17	PTPN6	na	15917	0.008432387374341488	-0.03622833	No	
row_18	FGFR1	na	16286	0.0072692399844527245	-0.04065703	No	
row_19	ACTB	na	16618	0.00621456652879715	-0.044740163	No	
row_20	SMAD3	na	16940	0.005270366091281176	-0.04893289	No	
row_21	CSNK2A2	na	16978	0.005128529388457537	-0.048023902	No	
row_22	NECTIN2	na	17674	0.0032049466390162706	-0.059628654	No	
row_23	PTPRJ	na	20882	-1.9406135834287852E-4	-0.11767199	No	
row_24	BAIAP2	na	22437	-0.003865762846544385	-0.14463624	No	
row_25	SMAD4	na	22993	-0.005403285846114159	-0.15302755	No	
row_26	ACTN1	na	23143	-0.005814500153064728	-0.15393649	No	
row_27	CTNNB1	na	23324	-0.006297759711742401	-0.15525825	No	
row_28	ACTN4	na	23416	-0.006562258116900921	-0.1548861	No	
row_29	CTNNA3	na	24948	-0.01077246107161045	-0.17930672	No	
row_30	NECTIN3	na	25000	-0.010892147198319435	-0.17687647	No	
row_31	WASL	na	25246	-0.011556788347661495	-0.17775634	No	
row_32	WASF1	na	26306	-0.014431359246373177	-0.19249871	No	
row_33	MET	na	27197	-0.016933612525463104	-0.20340863	No	
row_34	EP300	na	27357	-0.017371611669659615	-0.20093971	No	
row_35	SNAI1	na	27550	-0.01788783073425293	-0.1989097	No	
row_36	YES1	na	28103	-0.019374607130885124	-0.20294417	No	
row_37	ACTN2	na	28985	-0.021925441920757294	-0.21215379	No	
row_38	LEF1	na	31839	-0.02970985323190689	-0.25469407	No	
row_39	WASF2	na	31979	-0.03008170984685421	-0.2479487	No	
row_40	CTNNA1	na	32472	-0.03155263140797615	-0.24714588	No	
row_41	MAPK1	na	33245	-0.03365760296583176	-0.25076774	No	
row_42	FARP2	na	34875	-0.038019031286239624	-0.26857328	No	
row_43	MAPK3	na	35627	-0.040046121925115585	-0.26984733	Yes	
row_44	CSNK2A1	na	35964	-0.04099468141794205	-0.26331046	Yes	
row_45	NECTIN4	na	36681	-0.04273863509297371	-0.26312125	Yes	
row_46	CDH1	na	37268	-0.04424578696489334	-0.26011258	Yes	
row_47	EGFR	na	38054	-0.04635145142674446	-0.2600609	Yes	
row_48	TGFBR2	na	38548	-0.04768562316894531	-0.25430802	Yes	
row_49	PARD3	na	39620	-0.05050140246748924	-0.25815997	Yes	
row_50	CTNND1	na	39901	-0.05127015709877014	-0.24744417	Yes	
row_51	WASF3	na	39928	-0.051324263215065	-0.23210984	Yes	
row_52	VCL	na	41463	-0.05550575628876686	-0.24280915	Yes	
row_53	SORBS1	na	42312	-0.057811591774225235	-0.24036969	Yes	
row_54	SMAD2	na	43045	-0.06004829332232475	-0.23513982	Yes	
row_55	MAP3K7	na	43325	-0.06088371202349663	-0.2214454	Yes	
row_56	IQGAP1	na	43652	-0.06188557669520378	-0.20829397	Yes	
row_57	CSNK2B	na	43774	-0.06225970387458801	-0.19131324	Yes	
row_58	AFDN	na	44037	-0.06308208405971527	-0.17663383	Yes	
row_59	TGFBR1	na	45266	-0.06673154979944229	-0.17833215	Yes	
row_60	IGF1R	na	46064	-0.06926998496055603	-0.17144008	Yes	
row_61	PTPRB	na	46159	-0.06951259076595306	-0.15173663	Yes	
row_62	RAC1	na	46582	-0.07089586555957794	-0.13754977	Yes	
row_63	CREBBP	na	47023	-0.07230185717344284	-0.12325604	Yes	
row_64	TCF7	na	49277	-0.08039533346891403	-0.13931711	Yes	
row_65	PTPRM	na	49311	-0.0805291086435318	-0.11511593	Yes	
row_66	TJP1	na	50417	-0.08560264110565186	-0.10877441	Yes	
row_67	FER	na	51427	-0.09099846333265305	-0.09903194	Yes	
row_68	FYN	na	51576	-0.0919126570224762	-0.073408715	Yes	
row_69	LMO7	na	53575	-0.10707902908325195	-0.07663251	Yes	
row_70	INSR	na	53894	-0.1108868345618248	-0.04824614	Yes	
row_71	TCF7L2	na	54045	-0.11292774230241776	-0.016187524	Yes	
row_72	ACP1	na	54656	-0.1243993490934372	0.011069706	Yes	
