NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRAS	na	1433	0.08919183909893036	0.023419105	No	
row_1	IRS4	na	1840	0.08327382802963257	0.062158946	No	
row_2	HSD11B1	na	5365	0.05439424514770508	0.028455235	No	
row_3	SLC9A3R2	na	5928	0.05091099068522453	0.04645773	No	
row_4	ATP1A1	na	7357	0.043458543717861176	0.04465433	No	
row_5	SFN	na	8932	0.03568418323993683	0.03590419	No	
row_6	SCNN1B	na	10467	0.02889273688197136	0.024119336	No	
row_7	PIK3R5	na	11413	0.024858376011252403	0.02076676	No	
row_8	IRS1	na	11547	0.024343525990843773	0.031832434	No	
row_9	ATP1B3	na	11886	0.022924913093447685	0.0384009	No	
row_10	IGF1	na	13694	0.01604548655450344	0.014561864	No	
row_11	PIK3CD	na	13702	0.015981502830982208	0.023280757	No	
row_12	PIK3R3	na	13890	0.01536552980542183	0.028399378	No	
row_13	ATP1A3	na	14604	0.012671058066189289	0.02250213	No	
row_14	SCNN1G	na	15487	0.009775025770068169	0.011941795	No	
row_15	NEDD4L	na	21099	-6.91219000145793E-4	-0.08927632	No	
row_16	FXYD2	na	22075	-0.002930573420599103	-0.105308995	No	
row_17	SGK1	na	22360	-0.003662257455289364	-0.10842447	No	
row_18	ATP1B4	na	22751	-0.004811624530702829	-0.11282316	No	
row_19	NR3C2	na	25809	-0.01298699714243412	-0.16098931	No	
row_20	ATP1B2	na	28264	-0.0198573786765337	-0.194434	No	
row_21	HSD11B2	na	28465	-0.02044256217777729	-0.18674067	No	
row_22	PRKCB	na	29388	-0.02302488684654236	-0.1906916	No	
row_23	PRKCA	na	29393	-0.023036574944853783	-0.17801346	No	
row_24	INS	na	30964	-0.02729753591120243	-0.19133312	No	
row_25	MAPK1	na	33245	-0.03365760296583176	-0.21398878	No	
row_26	PRKCG	na	34922	-0.03811021149158478	-0.22324309	No	
row_27	MAPK3	na	35627	-0.040046121925115585	-0.21382546	No	
row_28	PIK3CG	na	39795	-0.0510360486805439	-0.26103097	Yes	
row_29	PIK3CB	na	39858	-0.05118050426244736	-0.23382561	Yes	
row_30	PIK3R2	na	40426	-0.052715227007865906	-0.21491502	Yes	
row_31	PDPK1	na	41401	-0.055323611944913864	-0.20193043	Yes	
row_32	PIK3R1	na	42920	-0.059657856822013855	-0.19639729	Yes	
row_33	ATP1A4	na	43558	-0.06156405061483383	-0.17385647	Yes	
row_34	ATP1A2	na	45489	-0.06737794727087021	-0.17151058	Yes	
row_35	FXYD4	na	46328	-0.07007491588592529	-0.14789863	Yes	
row_36	KCNJ1	na	47628	-0.07440656423568726	-0.13023669	Yes	
row_37	SCNN1A	na	47874	-0.07521570473909378	-0.09304166	Yes	
row_38	PIK3CA	na	49464	-0.08113931119441986	-0.07690432	Yes	
row_39	ATP1B1	na	50995	-0.08856631815433502	-0.055587858	Yes	
row_40	INSR	na	53894	-0.1108868345618248	-0.046688095	Yes	
row_41	IRS2	na	54795	-0.12923675775527954	0.008546827	Yes	
