NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRF1	na	659	0.10599404573440552	0.04737987	Yes	
row_1	HLA-DQB1	na	925	0.09889347851276398	0.09791989	Yes	
row_2	HLA-DPA1	na	1514	0.08763239532709122	0.13631059	Yes	
row_3	HLA-C	na	1723	0.08469133079051971	0.1799355	Yes	
row_4	HLA-DRB1	na	1941	0.08202904462814331	0.22190772	Yes	
row_5	HLA-DMA	na	2408	0.07682263851165771	0.25645843	Yes	
row_6	IL10	na	2919	0.07211967557668686	0.28758085	Yes	
row_7	HLA-DMB	na	2939	0.07193764299154282	0.32749104	Yes	
row_8	HLA-DRA	na	3181	0.07003717124462128	0.36231846	Yes	
row_9	HLA-DQA1	na	4223	0.06193564459681511	0.37812838	Yes	
row_10	CD40	na	4363	0.06085295230150223	0.4096633	Yes	
row_11	HLA-B	na	4474	0.059858642518520355	0.44116685	Yes	
row_12	HLA-DPB1	na	4587	0.05923929810523987	0.47228765	Yes	
row_13	CD86	na	5000	0.056655317544937134	0.49653098	Yes	
row_14	IL12A	na	5265	0.054958246648311615	0.52250427	Yes	
row_15	HLA-E	na	5284	0.05483235418796539	0.5528609	Yes	
row_16	HLA-DOA	na	7263	0.043900903314352036	0.54161465	Yes	
row_17	FASLG	na	7896	0.04068027436733246	0.5529357	Yes	
row_18	GZMB	na	8476	0.037863511592149734	0.5636402	Yes	
row_19	HLA-A	na	8592	0.03732425346970558	0.5824436	Yes	
row_20	HLA-DQA2	na	9444	0.033335745334625244	0.58568984	Yes	
row_21	HLA-F	na	11756	0.0234841275960207	0.55698997	No	
row_22	FAS	na	12881	0.019102031365036964	0.5473287	No	
row_23	HLA-DRB5	na	12909	0.018978506326675415	0.5574597	No	
row_24	IL4	na	13115	0.018141232430934906	0.56389946	No	
row_25	HLA-DOB	na	15524	0.009637676179409027	0.5256953	No	
row_26	IFNG	na	16868	0.005484763067215681	0.50444925	No	
row_27	CD28	na	17938	0.0025016753934323788	0.48649472	No	
row_28	CD80	na	22908	-0.005192755721509457	0.39943612	No	
row_29	HLA-G	na	24237	-0.008765176869928837	0.38029724	No	
row_30	CD40LG	na	33271	-0.03373684361577034	0.23563185	No	
row_31	IL2	na	33454	-0.03420943394303322	0.25147933	No	
row_32	IL5	na	46231	-0.06978172808885574	0.059216123	No	
row_33	IL12B	na	51680	-0.09236378967761993	0.012263495	No	
row_34	TNF	na	51972	-0.09411042183637619	0.059656326	No	
