NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLA2G2E	na	4486	0.05979280173778534	-1.7020502E-6	No	
row_1	PLA2G2D	na	5581	0.0529678612947464	0.0521236	No	
row_2	PLA2G12A	na	7184	0.04428648203611374	0.08326547	No	
row_3	PLA2G4E	na	10567	0.02845868654549122	0.060696546	No	
row_4	PLA2G1B	na	16328	0.007138519082218409	-0.033865143	No	
row_5	FADS2	na	22713	-0.00469777500256896	-0.1430355	No	
row_6	PLA2G5	na	23064	-0.005622108466923237	-0.14173605	No	
row_7	PLA2G12B	na	24475	-0.009487302973866463	-0.1543738	No	
row_8	PLA2G4B	na	24763	-0.01024997141212225	-0.14564973	No	
row_9	PLA2G6	na	26374	-0.014592085964977741	-0.15497552	No	
row_10	JMJD7-PLA2G4B	na	28303	-0.01997194066643715	-0.16275162	No	
row_11	PLA2G4A	na	31114	-0.027698533609509468	-0.17599964	No	
row_12	PLA2G3	na	33531	-0.034404221922159195	-0.17301047	No	
row_13	PLA2G2F	na	33637	-0.03470488637685776	-0.12778421	No	
row_14	ACOX3	na	40907	-0.05399350821971893	-0.18603289	Yes	
row_15	ACOX1	na	43810	-0.06236198544502258	-0.15387562	Yes	
row_16	PLA2G2C	na	47209	-0.07288247346878052	-0.116409816	Yes	
row_17	PLA2G2A	na	50179	-0.08438098430633545	-0.055565014	Yes	
row_18	PLA2G10	na	53724	-0.10872373729944229	0.027928077	Yes	
