NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNPDA1	na	231	0.1250026375055313	0.057144146	Yes	
row_1	NPL	na	605	0.10755939781665802	0.10315929	Yes	
row_2	PGM1	na	947	0.0983165055513382	0.14521927	Yes	
row_3	CHIT1	na	1296	0.091276153922081	0.18369845	Yes	
row_4	HEXB	na	1446	0.08906500041484833	0.2246962	Yes	
row_5	AMDHD2	na	1825	0.08343824744224548	0.25878686	Yes	
row_6	GALK1	na	2177	0.07923568040132523	0.2913046	Yes	
row_7	NANP	na	2393	0.07699079066514969	0.3251836	Yes	
row_8	NAGK	na	4639	0.05884985998272896	0.3134045	Yes	
row_9	CMAS	na	5355	0.0544334314763546	0.32716304	Yes	
row_10	GNPNAT1	na	6306	0.04886213690042496	0.33393303	Yes	
row_11	UXS1	na	8043	0.039986029267311096	0.3221159	Yes	
row_12	GMDS	na	8240	0.03909683600068092	0.33774796	Yes	
row_13	FPGT	na	8284	0.03890988603234291	0.35605875	Yes	
row_14	RENBP	na	9047	0.0352204293012619	0.35954022	Yes	
row_15	PMM1	na	9718	0.03218013048171997	0.363196	Yes	
row_16	GNE	na	9954	0.03107738122344017	0.37418747	Yes	
row_17	HK3	na	10319	0.029455823823809624	0.38204756	Yes	
row_18	HK2	na	10491	0.028774065896868706	0.3930679	Yes	
row_19	MPI	na	11100	0.026171855628490448	0.39489865	Yes	
row_20	GNPDA2	na	11435	0.02477739006280899	0.4010067	Yes	
row_21	GMPPB	na	13378	0.017202923074364662	0.37428194	No	
row_22	HEXA	na	13940	0.0151405343785882	0.37155172	No	
row_23	CHIA	na	14130	0.014471246860921383	0.3752291	No	
row_24	GFPT2	na	18083	0.0021478089038282633	0.3047223	No	
row_25	GALE	na	18227	0.0017351306742057204	0.3029842	No	
row_26	GALT	na	23095	-0.005709366872906685	0.21765648	No	
row_27	GCK	na	23318	-0.0062799351289868355	0.2167176	No	
row_28	GMPPA	na	24079	-0.008358556777238846	0.20705672	No	
row_29	UGP2	na	26052	-0.01370664406567812	0.17807345	No	
row_30	GPI	na	27626	-0.018064716830849648	0.15845314	No	
row_31	UGDH	na	28787	-0.021329710260033607	0.147913	No	
row_32	UAP1	na	29573	-0.023508084937930107	0.14523187	No	
row_33	CYB5R3	na	34184	-0.03614478185772896	0.079489514	No	
row_34	HK1	na	38220	-0.04679908975958824	0.029385984	No	
row_35	NANS	na	44257	-0.06370513141155243	-0.04865629	No	
row_36	PGM3	na	44315	-0.06388121098279953	-0.01834795	No	
row_37	PGM2	na	45912	-0.06877588480710983	-0.013505571	No	
row_38	GALK2	na	49133	-0.07984081655740738	-0.032641113	No	
row_39	GFPT1	na	50737	-0.08720748126506805	-0.018882846	No	
row_40	CYB5R1	na	52103	-0.0949949249625206	0.0030055477	No	
row_41	PMM2	na	53875	-0.11061475425958633	0.025205502	No	
