NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSB	na	472	0.11205903440713882	0.019826196	Yes	
row_1	HSPA8	na	902	0.0994451716542244	0.037237104	Yes	
row_2	HLA-DQB1	na	925	0.09889347851276398	0.06188322	Yes	
row_3	KIR3DL2	na	1011	0.09721968322992325	0.08496387	Yes	
row_4	LGMN	na	1375	0.08996263891458511	0.10116926	Yes	
row_5	HLA-DPA1	na	1514	0.08763239532709122	0.12086157	Yes	
row_6	HLA-C	na	1723	0.08469133079051971	0.13854063	Yes	
row_7	HLA-DRB1	na	1941	0.08202904462814331	0.1553824	Yes	
row_8	HLA-DMA	na	2408	0.07682263851165771	0.1663937	Yes	
row_9	PSME1	na	2536	0.07553371787071228	0.18322133	Yes	
row_10	KIR3DL1	na	2774	0.07329056411981583	0.19748767	Yes	
row_11	HLA-DMB	na	2939	0.07193764299154282	0.21273415	Yes	
row_12	HLA-DRA	na	3181	0.07003717124462128	0.22610408	Yes	
row_13	CD8B	na	3400	0.06823000311851501	0.23943311	Yes	
row_14	KIR2DL4	na	3483	0.06760302186012268	0.2550677	Yes	
row_15	PSME3	na	3767	0.06533689796924591	0.26648626	Yes	
row_16	HLA-DQA1	na	4223	0.06193564459681511	0.27392676	Yes	
row_17	HLA-B	na	4474	0.059858642518520355	0.28455588	Yes	
row_18	HLA-DPB1	na	4587	0.05923929810523987	0.29752877	Yes	
row_19	CD8A	na	4670	0.058668866753578186	0.3109008	Yes	
row_20	TAP1	na	4867	0.05744229257106781	0.3218965	Yes	
row_21	B2M	na	5074	0.0561348982155323	0.33237988	Yes	
row_22	HSPA5	na	5096	0.055995021015405655	0.34618008	Yes	
row_23	IFNA1	na	5168	0.055548593401908875	0.35896122	Yes	
row_24	HLA-E	na	5284	0.05483235418796539	0.3707637	Yes	
row_25	CALR	na	5336	0.054541923105716705	0.3836523	Yes	
row_26	KIR2DL1	na	5465	0.05377500504255295	0.39495143	Yes	
row_27	CANX	na	5966	0.05072756111621857	0.39873806	Yes	
row_28	HSP90AA1	na	6210	0.049385178834199905	0.40684164	Yes	
row_29	RFXANK	na	6773	0.04643378406763077	0.40841743	Yes	
row_30	CD74	na	6867	0.04592288285493851	0.41836223	Yes	
row_31	HLA-DOA	na	7263	0.043900903314352036	0.42232263	Yes	
row_32	CTSS	na	7309	0.0436643585562706	0.4325652	Yes	
row_33	CD4	na	7481	0.042841438204050064	0.44031626	Yes	
row_34	IFI30	na	7837	0.04101249575614929	0.44426998	Yes	
row_35	IFNA21	na	8583	0.037362825125455856	0.44023255	Yes	
