NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRF1	na	659	0.10599404573440552	0.032575715	Yes	
row_1	HLA-DQB1	na	925	0.09889347851276398	0.06930503	Yes	
row_2	HLA-DPA1	na	1514	0.08763239532709122	0.09545593	Yes	
row_3	HLA-C	na	1723	0.08469133079051971	0.12725359	Yes	
row_4	HLA-DRB1	na	1941	0.08202904462814331	0.15777029	Yes	
row_5	HLA-DMA	na	2408	0.07682263851165771	0.18159124	Yes	
row_6	IL10	na	2919	0.07211967557668686	0.20264044	Yes	
row_7	HLA-DMB	na	2939	0.07193764299154282	0.23250523	Yes	
row_8	HLA-DRA	na	3181	0.07003717124462128	0.25755152	Yes	
row_9	HLA-DQA1	na	4223	0.06193564459681511	0.26470768	Yes	
row_10	CD40	na	4363	0.06085295230150223	0.28774446	Yes	
row_11	HLA-B	na	4474	0.059858642518520355	0.3108889	Yes	
row_12	HLA-DPB1	na	4587	0.05923929810523987	0.33373702	Yes	
row_13	TSHR	na	4756	0.05811372399330139	0.3550983	Yes	
row_14	CD86	na	5000	0.056655317544937134	0.37448892	Yes	
row_15	IFNA1	na	5168	0.055548593401908875	0.39479113	Yes	
row_16	HLA-E	na	5284	0.05483235418796539	0.41573432	Yes	
row_17	HLA-DOA	na	7263	0.043900903314352036	0.39834803	Yes	
row_18	FASLG	na	7896	0.04068027436733246	0.4039854	Yes	
row_19	GZMB	na	8476	0.037863511592149734	0.40939978	Yes	
row_20	IFNA21	na	8583	0.037362825125455856	0.42316994	Yes	
row_21	HLA-A	na	8592	0.03732425346970558	0.43869868	Yes	
row_22	IFNA6	na	8834	0.036187607795000076	0.44953048	Yes	
row_23	IFNA17	na	9122	0.03482503816485405	0.45895702	Yes	
row_24	HLA-DQA2	na	9444	0.033335745334625244	0.46714243	Yes	
row_25	IFNA16	na	9493	0.03309967741370201	0.48017272	Yes	
row_26	IFNA2	na	11336	0.025188082829117775	0.45739132	No	
row_27	HLA-F	na	11756	0.0234841275960207	0.45966494	No	
row_28	FAS	na	12881	0.019102031365036964	0.4473308	No	
row_29	HLA-DRB5	na	12909	0.018978506326675415	0.45481148	No	
row_30	IL4	na	13115	0.018141232430934906	0.45871702	No	
row_31	HLA-DOB	na	15524	0.009637676179409027	0.4191552	No	
row_32	IFNA14	na	15897	0.008471663109958172	0.41597578	No	
row_33	IFNA4	na	17491	0.003694933606311679	0.38867813	No	
row_34	IFNA7	na	17561	0.003499648068100214	0.38889813	No	
row_35	CD28	na	17938	0.0025016753934323788	0.3831393	No	
row_36	IFNA8	na	21731	-0.002059090184047818	0.3153307	No	
row_37	CD80	na	22908	-0.005192755721509457	0.29621392	No	
row_38	HLA-G	na	24237	-0.008765176869928837	0.27584454	No	
row_39	CGA	na	29245	-0.022655608132481575	0.1946814	No	
row_40	CTLA4	na	30163	-0.025106817483901978	0.18861765	No	
row_41	CD40LG	na	33271	-0.03373684361577034	0.14651692	No	
row_42	IL2	na	33454	-0.03420943394303322	0.15758651	No	
row_43	TG	na	37579	-0.04512842372059822	0.10185156	No	
row_44	IFNA13	na	39594	-0.050430286675691605	0.086555205	No	
row_45	IFNA5	na	40529	-0.05297722667455673	0.091887236	No	
row_46	IL5	na	46231	-0.06978172808885574	0.017945455	No	
row_47	IFNA10	na	48919	-0.07901278138160706	0.0024637363	No	
row_48	TSHB	na	54284	-0.11648788303136826	-0.04576158	No	
row_49	TPO	na	55148	-0.15132391452789307	0.0021551251	No	
