NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FZD2	na	767	0.10292182117700577	0.033037797	No	
row_1	WNT10B	na	1074	0.09574222564697266	0.07115138	No	
row_2	WNT7B	na	1639	0.08583267033100128	0.10007368	No	
row_3	APC2	na	1671	0.08535534143447876	0.13843185	No	
row_4	BMP2	na	7089	0.044734105467796326	0.060718384	No	
row_5	FZD5	na	7116	0.04462169483304024	0.08059372	No	
row_6	WNT6	na	8684	0.03682148456573486	0.06900228	No	
row_7	HHIP	na	8793	0.036363385617733	0.0836269	No	
row_8	TP53	na	11306	0.02533186972141266	0.049680986	No	
row_9	DVL1	na	11383	0.025016499683260918	0.05971132	No	
row_10	WNT3	na	11848	0.023097535595297813	0.061839323	No	
row_11	SMO	na	12387	0.02090734988451004	0.061628405	No	
row_12	DVL2	na	12404	0.020830892026424408	0.07083692	No	
row_13	FZD6	na	12474	0.020601613447070122	0.07898097	No	
row_14	DVL3	na	12520	0.020408909767866135	0.08747183	No	
row_15	WNT5B	na	12938	0.018894800916314125	0.08853476	No	
row_16	WNT1	na	13126	0.018097732216119766	0.093399934	No	
row_17	TCF7L1	na	13386	0.017167091369628906	0.09653672	No	
row_18	GLI1	na	13799	0.0156467966735363	0.096209206	No	
row_19	PTCH2	na	14738	0.012230000458657742	0.08479699	No	
row_20	WNT5A	na	14765	0.012141055427491665	0.08986206	No	
row_21	WNT8B	na	14911	0.0115966210141778	0.092523605	No	
row_22	WNT16	na	15032	0.011298734694719315	0.09550211	No	
row_23	BMP4	na	15188	0.010736707597970963	0.09759043	No	
row_24	FZD7	na	16974	0.0051496331579983234	0.067609176	No	
row_25	STK36	na	20833	-4.9705351557349786E-5	-0.0022430113	No	
row_26	WNT9A	na	21053	-5.929078324697912E-4	-0.0059391195	No	
row_27	SUFU	na	22967	-0.005323433317244053	-0.038159423	No	
row_28	CTNNB1	na	23324	-0.006297759711742401	-0.04173558	No	
row_29	WNT4	na	23489	-0.0067588211968541145	-0.04162406	No	
row_30	WNT11	na	27104	-0.016679435968399048	-0.09947431	No	
row_31	WNT3A	na	27849	-0.018656233325600624	-0.10444268	No	
row_32	FZD3	na	28110	-0.019388217478990555	-0.100311235	No	
row_33	AXIN1	na	28245	-0.019800661131739616	-0.093709655	No	
row_34	FZD1	na	30436	-0.02586062066257	-0.121582516	No	
row_35	LEF1	na	31839	-0.02970985323190689	-0.13342823	No	
row_36	WNT9B	na	32596	-0.03188624605536461	-0.13258143	No	
row_37	GSK3B	na	34182	-0.036142498254776	-0.14480847	No	
row_38	WNT2	na	34691	-0.0375271774828434	-0.13689788	No	
row_39	GLI2	na	35361	-0.039300866425037384	-0.1310945	No	
row_40	FZD4	na	37035	-0.04360896348953247	-0.14151087	No	
row_41	WNT7A	na	38165	-0.04663684219121933	-0.14069387	No	
row_42	FZD8	na	39321	-0.049729663878679276	-0.13893753	No	
row_43	AXIN2	na	41814	-0.05646748095750809	-0.15832424	No	
row_44	SHH	na	43079	-0.06015775725245476	-0.15378717	No	
row_45	WNT10A	na	45336	-0.0669349655508995	-0.16412665	Yes	
row_46	APC	na	45673	-0.06798544526100159	-0.13921273	Yes	
row_47	WNT2B	na	45744	-0.06819934397935867	-0.10938356	Yes	
row_48	PTCH1	na	46660	-0.0711318776011467	-0.09352162	Yes	
row_49	WNT8A	na	47771	-0.07486516237258911	-0.07948917	Yes	
row_50	TCF7	na	49277	-0.08039533346891403	-0.070089236	Yes	
row_51	FZD9	na	51555	-0.09176690131425858	-0.0694864	Yes	
row_52	GLI3	na	51760	-0.09292137622833252	-0.03081165	Yes	
row_53	FZD10	na	51938	-0.09386781603097916	0.008783665	Yes	
row_54	TCF7L2	na	54045	-0.11292774230241776	0.022132343	Yes	
