NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DRD5	na	84	0.14127150177955627	0.017475601	No	
row_1	PTGER3	na	1076	0.09569882601499557	0.012358225	No	
row_2	CALM3	na	1139	0.09451375156641006	0.02394447	No	
row_3	GRIN2A	na	1215	0.09298865497112274	0.03508962	No	
row_4	NTSR1	na	1235	0.0926717147231102	0.04720865	No	
row_5	TACR3	na	1283	0.09159965813159943	0.058675237	No	
row_6	CAMK2D	na	1363	0.09012041985988617	0.069362015	No	
row_7	SLC25A5	na	2054	0.08076161891222	0.06769934	No	
row_8	ADRA1B	na	2400	0.07690015435218811	0.07177968	No	
row_9	P2RX4	na	2502	0.07589332014322281	0.08015365	No	
row_10	SLC25A6	na	3201	0.06984193623065948	0.07687712	No	
row_11	NOS1	na	3337	0.0687187984585762	0.083668984	No	
row_12	GRM1	na	3441	0.06797485053539276	0.090941645	No	
row_13	TACR2	na	3522	0.06730201095342636	0.098541304	No	
row_14	P2RX2	na	3593	0.06680605560541153	0.10625578	No	
row_15	SLC25A31	na	3713	0.06581445783376694	0.11294746	No	
row_16	BST1	na	3734	0.06560003012418747	0.121407315	No	
row_17	OXTR	na	4686	0.058568526059389114	0.112022154	No	
row_18	NOS2	na	4874	0.057399213314056396	0.1163477	No	
row_19	CACNA1B	na	5272	0.05490371584892273	0.11652573	No	
row_20	BDKRB2	na	6065	0.050169773399829865	0.10889711	No	
row_21	CHRM2	na	6227	0.049252577126026154	0.11259892	No	
row_22	PRKACA	na	6513	0.0477605015039444	0.11384922	No	
row_23	CACNA1G	na	7294	0.043745338916778564	0.10557437	No	
row_24	CALM2	na	7610	0.04217022657394409	0.10552826	No	
row_25	NOS3	na	7789	0.041296374052762985	0.10785141	No	
row_26	ADCY7	na	8439	0.038082465529441833	0.10119281	No	
row_27	CACNA1S	na	8833	0.03619061037898064	0.098926626	No	
row_28	HRH1	na	9020	0.03534515202045441	0.10030415	No	
row_29	CALML3	na	9270	0.03407895937561989	0.100367814	No	
row_30	CHRNA7	na	9371	0.033614933490753174	0.10307369	No	
row_31	SPHK1	na	9500	0.03307581692934036	0.1051988	No	
row_32	P2RX3	na	9507	0.03301379457116127	0.10953009	No	
row_33	ATP2B3	na	9598	0.03265467658638954	0.11228833	No	
row_34	PDE1A	na	10024	0.030824290588498116	0.10871954	No	
row_35	PPP3CC	na	10404	0.029110129922628403	0.105755195	No	
row_36	CAMK2A	na	10804	0.027416182681918144	0.10219998	No	
row_37	GRM5	na	10878	0.02709655836224556	0.104519255	No	
row_38	CYSLTR1	na	10891	0.02700481377542019	0.107933454	No	
row_39	TBXA2R	na	10938	0.02677798457443714	0.11069999	No	
row_40	VDAC1	na	10955	0.026693454012274742	0.1139997	No	
row_41	GRIN2C	na	11442	0.02475833334028721	0.10850781	No	
row_42	AGTR1	na	11793	0.023323088884353638	0.10529154	No	
row_43	CALM1	na	12002	0.022405168041586876	0.10452936	No	
row_44	ERBB2	na	12042	0.022255925461649895	0.10681475	No	
row_45	PHKA1	na	12381	0.02092020958662033	0.10349312	No	
row_46	AVPR1A	na	13549	0.016581449657678604	0.084540114	No	
row_47	PLCD3	na	13562	0.01654941588640213	0.08654811	No	
row_48	SPHK2	na	13785	0.015715016052126884	0.08463201	No	
row_49	CHP2	na	13868	0.015416691079735756	0.08521704	No	
row_50	ADRB1	na	13904	0.015313447453081608	0.08664131	No	
row_51	CACNA1F	na	14003	0.014912473037838936	0.08686809	No	
row_52	ADORA2B	na	14134	0.014454265125095844	0.086452395	No	
row_53	ADRB2	na	14225	0.014065653085708618	0.0867105	No	
row_54	AVPR1B	na	14290	0.013797400519251823	0.08740447	No	
row_55	CD38	na	14344	0.013617686927318573	0.088273935	No	
row_56	ITPR3	na	14583	0.01275273971259594	0.085668996	No	
row_57	CALML5	na	14712	0.01232401467859745	0.085003085	No	
row_58	GRIN1	na	15093	0.01108583528548479	0.0795964	No	
row_59	CYSLTR2	na	15196	0.010698872618377209	0.07918387	No	
row_60	TACR1	na	15314	0.010359995067119598	0.07845348	No	
row_61	PRKACB	na	15984	0.00823516771197319	0.06741753	No	
row_62	TRPC1	na	16130	0.00774024473503232	0.06582654	No	
row_63	MYLK3	na	16203	0.0075344485230743885	0.06553297	No	
row_64	PLCD1	na	16748	0.005829859059303999	0.056442484	No	
row_65	PTGER1	na	16953	0.005208543036133051	0.053440046	No	
row_66	PLCZ1	na	17046	0.004925902932882309	0.05243259	No	
row_67	P2RX6	na	17406	0.0039372737519443035	0.046445645	No	
row_68	EDNRA	na	17441	0.003836862277239561	0.046344522	No	
row_69	PTAFR	na	17634	0.00328939501196146	0.04330179	No	
row_70	PTGFR	na	17686	0.0031763501465320587	0.042803254	No	
row_71	ITPKA	na	17888	0.002623066771775484	0.039507534	No	
row_72	CACNA1I	na	18132	0.0020234754774719477	0.0353688	No	
row_73	TNNC1	na	18346	0.0014391993172466755	0.031696033	No	
row_74	PDE1B	na	18420	0.00128190650139004	0.030543365	No	
row_75	ATP2A1	na	21411	-0.0013017919845879078	-0.023555387	No	
row_76	PPP3CA	na	21719	-0.002022412372753024	-0.02885598	No	
row_77	P2RX1	na	21781	-0.00220043258741498	-0.02966729	No	
row_78	PHKB	na	22144	-0.0030947416089475155	-0.035822008	No	
row_79	P2RX5	na	22228	-0.0032997033558785915	-0.03688481	No	
row_80	CCKAR	na	22517	-0.004107195418328047	-0.04156013	No	
row_81	GNAL	na	22547	-0.0042289793491363525	-0.04151775	No	
row_82	PRKACG	na	22835	-0.005000471603125334	-0.046054773	No	
row_83	GNA15	na	24093	-0.008400503545999527	-0.06774174	No	
row_84	ATP2A2	na	24425	-0.00931459479033947	-0.07249721	No	
row_85	BDKRB1	na	24561	-0.009687145240604877	-0.073644824	No	
row_86	PTK2B	na	24659	-0.009966293349862099	-0.07406513	No	
row_87	DRD1	na	24746	-0.010216969065368176	-0.07425205	No	
row_88	GNA11	na	24794	-0.010320390574634075	-0.07371714	No	
row_89	ADCY9	na	24862	-0.010521911084651947	-0.07351816	No	
row_90	F2R	na	25087	-0.011172798462212086	-0.07608147	No	
row_91	RYR1	na	25172	-0.011378861032426357	-0.076075815	No	
row_92	LTB4R2	na	25722	-0.012768077664077282	-0.0843239	No	
row_93	PLCB3	na	25772	-0.012897374108433723	-0.083478704	No	
row_94	CACNA1H	na	26093	-0.013813205063343048	-0.087429464	No	
row_95	SLC25A4	na	26148	-0.013970822095870972	-0.08653065	No	
row_96	P2RX7	na	26232	-0.01420485507696867	-0.08612676	No	
row_97	PDGFRB	na	26430	-0.014748657122254372	-0.08771904	No	
row_98	ADRA1D	na	26910	-0.016138341277837753	-0.09424321	No	
