NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BAD	na	799	0.10205044597387314	0.023210129	Yes	
row_1	KRAS	na	1433	0.08919183909893036	0.044678997	Yes	
row_2	ARAF	na	1647	0.08574581891298294	0.072483264	Yes	
row_3	APC2	na	1671	0.08535534143447876	0.10358499	Yes	
row_4	CASP9	na	2617	0.07472947984933853	0.11406193	Yes	
row_5	TGFB1	na	3259	0.06933842599391937	0.12805481	Yes	
row_6	MYC	na	4368	0.06083260476589203	0.1304476	Yes	
row_7	RAC2	na	5310	0.05469382926821709	0.13359861	Yes	
row_8	RAC3	na	5872	0.05120766907930374	0.14234564	Yes	
row_9	TGFB3	na	6308	0.0488610677421093	0.15250853	Yes	
row_10	RALGDS	na	6334	0.04866516962647438	0.1700258	Yes	
row_11	AKT2	na	7025	0.04511663690209389	0.17418694	Yes	
row_12	BAX	na	9352	0.033673886209726334	0.14448828	No	
row_13	TP53	na	11306	0.02533186972141266	0.118465744	No	
row_14	PIK3R5	na	11413	0.024858376011252403	0.12572488	No	
row_15	RAF1	na	12300	0.021209903061389923	0.117507875	No	
row_16	RHOA	na	12980	0.01870686188340187	0.11211619	No	
row_17	TCF7L1	na	13386	0.017167091369628906	0.11111916	No	
row_18	PIK3CD	na	13702	0.015981502830982208	0.111314595	No	
row_19	PIK3R3	na	13890	0.01536552980542183	0.11360116	No	
row_20	SMAD3	na	16940	0.005270366091281176	0.060317796	No	
row_21	MSH6	na	17707	0.0031053803395479918	0.047589187	No	
row_22	MAPK8	na	18521	0.0010677893878892064	0.033256818	No	
row_23	SMAD4	na	22993	-0.005403285846114159	-0.045735534	No	
row_24	CCND1	na	23061	-0.0056083626113832	-0.044878226	No	
row_25	TGFB2	na	23289	-0.006205731071531773	-0.046698567	No	
row_26	CTNNB1	na	23324	-0.006297759711742401	-0.04498893	No	
row_27	AKT1	na	23629	-0.007166148629039526	-0.0478494	No	
row_28	BIRC5	na	24135	-0.008514773100614548	-0.05385279	No	
row_29	CASP3	na	24855	-0.010504855774343014	-0.062997706	No	
row_30	MAP2K1	na	25365	-0.011875503696501255	-0.06783257	No	
row_31	AXIN1	na	28245	-0.019800661131739616	-0.11267109	No	
row_32	LEF1	na	31839	-0.02970985323190689	-0.16678393	No	
row_33	BCL2	na	32032	-0.030213037505745888	-0.15910533	No	
row_34	MAPK9	na	32100	-0.030444057658314705	-0.14907718	No	
row_35	JUN	na	32224	-0.03083374910056591	-0.13991952	No	
row_36	MAPK10	na	32612	-0.03195933625102043	-0.1351283	No	
row_37	MSH2	na	33009	-0.03297966346144676	-0.13012335	No	
row_38	MAPK1	na	33245	-0.03365760296583176	-0.121951714	No	
row_39	DCC	na	33532	-0.03440484777092934	-0.11442796	No	
row_40	GSK3B	na	34182	-0.036142498254776	-0.11283794	No	
row_41	MAPK3	na	35627	-0.040046121925115585	-0.12420707	No	
row_42	TGFBR2	na	38548	-0.04768562316894531	-0.15949145	No	
row_43	AKT3	na	38800	-0.04834846407175064	-0.14618489	No	
row_44	CYCS	na	39615	-0.050495076924562454	-0.14228383	No	
row_45	PIK3CG	na	39795	-0.0510360486805439	-0.12668064	No	
row_46	PIK3CB	na	39858	-0.05118050426244736	-0.10890477	No	
row_47	FOS	na	40157	-0.05196312069892883	-0.09511481	No	
row_48	PIK3R2	na	40426	-0.052715227007865906	-0.08050371	No	
row_49	BRAF	na	40633	-0.05328519642353058	-0.06455907	No	
row_50	AXIN2	na	41814	-0.05646748095750809	-0.06508236	No	
row_51	PIK3R1	na	42920	-0.059657856822013855	-0.06306901	No	
row_52	SMAD2	na	43045	-0.06004829332232475	-0.04314168	No	
row_53	MSH3	na	43328	-0.06089591234922409	-0.025763372	No	
row_54	TGFBR1	na	45266	-0.06673154979944229	-0.036208816	No	
row_55	APC	na	45673	-0.06798544526100159	-0.018458756	No	
row_56	RAC1	na	46582	-0.07089586555957794	-0.008727206	No	
row_57	MLH1	na	47234	-0.07296311855316162	0.006422991	No	
row_58	TCF7	na	49277	-0.08039533346891403	-8.78928E-4	No	
row_59	PIK3CA	na	49464	-0.08113931119441986	0.025713408	No	
row_60	APPL1	na	53063	-0.10200377553701401	-0.0017947069	No	
row_61	TCF7L2	na	54045	-0.11292774230241776	0.02213523	No	
