NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LDHB	na	926	0.09888072311878204	0.04604975	Yes	
row_1	CTH	na	1501	0.08783227205276489	0.09145377	Yes	
row_2	AHCYL1	na	1839	0.08327436447143555	0.13825317	Yes	
row_3	LDHA	na	2289	0.07803268730640411	0.17969503	Yes	
row_4	SMS	na	3378	0.06838198751211166	0.20343722	Yes	
row_5	BHMT	na	3565	0.06706082820892334	0.24267067	Yes	
row_6	AHCY	na	4280	0.061428580433130264	0.26876685	Yes	
row_7	DNMT3L	na	4985	0.056742746382951736	0.29206738	Yes	
row_8	MAT1A	na	6087	0.05009176582098007	0.3039552	Yes	
row_9	TRDMT1	na	6737	0.04659034311771393	0.32180208	Yes	
row_10	AMD1	na	6745	0.04655689746141434	0.351251	Yes	
row_11	MTAP	na	7293	0.043750960379838943	0.36914083	Yes	
row_12	MAT2B	na	8836	0.03617780655622482	0.36420548	Yes	
row_13	DNMT3B	na	9182	0.03455135226249695	0.37990838	Yes	
row_14	SRM	na	10677	0.027944037690758705	0.3706115	Yes	
row_15	MAT2A	na	11210	0.02569390833377838	0.377302	Yes	
row_16	SDS	na	11972	0.02255767211318016	0.3778542	Yes	
row_17	LDHC	na	12033	0.02228306047618389	0.3909234	Yes	
row_18	GOT2	na	13481	0.01681680604815483	0.3754088	No	
row_19	CDO1	na	15834	0.008691762574017048	0.33834785	No	
row_20	IL4I1	na	16524	0.006532668601721525	0.33002356	No	
row_21	ENOPH1	na	18268	0.0016428042436018586	0.2995105	No	
row_22	LDHAL6A	na	23466	-0.006684024818241596	0.20966601	No	
row_23	MPST	na	23953	-0.008024054579436779	0.20596443	No	
row_24	CBS	na	27243	-0.017055680975317955	0.15725252	No	
row_25	DNMT1	na	28521	-0.02062463015317917	0.14723468	No	
row_26	APIP	na	30404	-0.02579343505203724	0.12954694	No	
row_27	ADI1	na	32984	-0.03291282430291176	0.10376283	No	
row_28	DNMT3A	na	35318	-0.03921941667795181	0.08643881	No	
row_29	TAT	na	42449	-0.05822376161813736	-0.0056612305	No	
row_30	AHCYL2	na	48907	-0.07896160334348679	-0.072402865	No	
row_31	GOT1	na	50837	-0.08770815283060074	-0.051609688	No	
row_32	LDHAL6B	na	51459	-0.09116687625646591	-0.004938259	No	
row_33	MTR	na	54274	-0.1162727028131485	0.017978039	No	
