NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRAS	na	1433	0.08919183909893036	0.05346516	No	
row_1	GRB2	na	7203	0.04418264701962471	-0.011628076	No	
row_2	PIWIL3	na	10476	0.02885601297020912	-0.045166645	No	
row_3	NOTCH1	na	12112	0.021970190107822418	-0.055203263	No	
row_4	PIWIL2	na	16646	0.006105897948145866	-0.13182154	No	
row_5	ETV7	na	17407	0.003932727035135031	-0.1420775	No	
row_6	CPEB1	na	22653	-0.004531165584921837	-0.23298599	No	
row_7	MAP2K1	na	25365	-0.011875503696501255	-0.27148682	No	
row_8	SPIRE1	na	26670	-0.015473133884370327	-0.28131595	No	
row_9	NOTCH4	na	28167	-0.019520653411746025	-0.2910172	No	
row_10	MAPK1	na	33245	-0.03365760296583176	-0.3529543	Yes	
row_11	NOTCH3	na	33278	-0.033757079392671585	-0.3234807	Yes	
row_12	ETV6	na	33291	-0.033804286271333694	-0.29360306	Yes	
row_13	FMN2	na	35583	-0.03988311439752579	-0.29956695	Yes	
row_14	MAPK3	na	35627	-0.040046121925115585	-0.26469356	Yes	
row_15	ETS2	na	37849	-0.0458512157201767	-0.26407716	Yes	
row_16	EGFR	na	38054	-0.04635145142674446	-0.22650465	Yes	
row_17	PIWIL4	na	38560	-0.04772902652621269	-0.19315429	Yes	
row_18	NOTCH2	na	38943	-0.048706743866205215	-0.15670702	Yes	
row_19	SOS2	na	39248	-0.049553193151950836	-0.118094265	Yes	
row_20	ETS1	na	42078	-0.057187408208847046	-0.118391335	Yes	
row_21	SOS1	na	47435	-0.07368779182434082	-0.14974116	Yes	
row_22	PIWIL1	na	53762	-0.10907108336687088	-0.16714884	Yes	
row_23	SPIRE2	na	55267	-0.21833163499832153	1.3437239E-7	Yes	
