NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V0D2	na	435	0.11360614001750946	0.031495873	Yes	
row_1	MAP3K14	na	519	0.11050599813461304	0.06829404	Yes	
row_2	ATP6V0E1	na	716	0.10436097532510757	0.10091521	Yes	
row_3	ATP6V1F	na	723	0.10407930612564087	0.13688079	Yes	
row_4	ATP6AP1	na	1412	0.08946197479963303	0.15542488	Yes	
row_5	IKBKG	na	1483	0.08814225345849991	0.1847072	Yes	
row_6	ATP6V1B2	na	1573	0.08665011078119278	0.21312812	Yes	
row_7	PAK1	na	1683	0.08520245552062988	0.24068497	Yes	
row_8	RELA	na	2388	0.07704254239797592	0.25463456	Yes	
row_9	ATP6V0C	na	2816	0.07283546775579453	0.2721441	Yes	
row_10	ATP6V0D1	na	3172	0.07009982317686081	0.2900098	Yes	
row_11	ATP6V0B	na	3302	0.069032683968544	0.31159982	Yes	
row_12	SRC	na	3702	0.06591716408729553	0.3272187	Yes	
row_13	CDC42	na	3783	0.06521628051996231	0.34837362	Yes	
row_14	ATP6V0E2	na	4687	0.05856698751449585	0.35231447	Yes	
row_15	CSK	na	5530	0.05333371460437775	0.3555465	Yes	
row_16	ATP6V1G3	na	10379	0.02921689860522747	0.2778471	No	
row_17	GIT1	na	10821	0.027333486825227737	0.27933186	No	
row_18	ATP6V1H	na	11509	0.024472754448652267	0.27536857	No	
row_19	ATP6V1D	na	11936	0.022676093503832817	0.2755108	No	
row_20	MAPK13	na	12000	0.02240733802318573	0.28213596	No	
row_21	ATP6V1C2	na	12893	0.01905560865998268	0.27258128	No	
row_22	LYN	na	13201	0.017764706164598465	0.273177	No	
row_23	CCL5	na	13226	0.01770649291574955	0.27887934	No	
row_24	MAPK12	na	13724	0.0159278716892004	0.2753964	No	
row_25	NOD1	na	15850	0.008632903918623924	0.23989221	No	
row_26	ATP6V1A	na	16135	0.007727750111371279	0.23742576	No	
row_27	MAPK11	na	18129	0.0020307213999330997	0.20202453	No	
row_28	MAPK8	na	18521	0.0010677893878892064	0.19531131	No	
row_29	CXCL1	na	21797	-0.002265326213091612	0.13676676	No	
row_30	NFKBIA	na	21850	-0.0023979211691766977	0.13665587	No	
row_31	ATP6V0A1	na	22833	-0.004995009396225214	0.1205973	No	
row_32	IKBKB	na	23343	-0.006348063703626394	0.11357655	No	
row_33	CASP3	na	24855	-0.010504855774343014	0.08984438	No	
row_34	MAPK14	na	24933	-0.01072324812412262	0.09216617	No	
row_35	TCIRG1	na	25630	-0.012518295086920261	0.08389637	No	
row_36	CXCR1	na	25720	-0.01276781503111124	0.08670942	No	
row_37	PTPRZ1	na	26284	-0.014393677935004234	0.08149905	No	
row_38	ATP6V1C1	na	26979	-0.016321688890457153	0.07458374	No	
row_39	MET	na	27197	-0.016933612525463104	0.076521836	No	
row_40	PLCG1	na	27958	-0.018974466249346733	0.06933034	No	
row_41	PTPN11	na	28262	-0.019849851727485657	0.07072124	No	
row_42	NFKB1	na	28384	-0.020201092585921288	0.07553098	No	
row_43	ADAM17	na	28423	-0.02032012864947319	0.08188561	No	
row_44	HBEGF	na	28943	-0.021793125197291374	0.08003701	No	
row_45	ATP6V1E2	na	29965	-0.024583976715803146	0.070061535	No	
row_46	ATP6V0A4	na	30915	-0.027138251811265945	0.062275726	No	
row_47	MAPK9	na	32100	-0.030444057658314705	0.051378477	No	
row_48	JUN	na	32224	-0.03083374910056591	0.059837308	No	
row_49	CXCL8	na	32343	-0.03114457242190838	0.06849445	No	
row_50	MAPK10	na	32612	-0.03195933625102043	0.0747166	No	
row_51	ATP6V0A2	na	33290	-0.03379855304956436	0.07416681	No	
row_52	MAP2K4	na	33864	-0.035318173468112946	0.07602779	No	
row_53	ATP6V1E1	na	34579	-0.037203844636678696	0.075987995	No	
row_54	CXCR2	na	35179	-0.03888391703367233	0.078613855	No	
row_55	F11R	na	35374	-0.0393340103328228	0.088732675	No	
row_56	JAM3	na	35465	-0.03957682475447655	0.100819714	No	
row_57	ATP6V1B1	na	36141	-0.041464027017354965	0.10296304	No	
row_58	CHUK	na	38041	-0.04632407799363136	0.08461697	No	
row_59	EGFR	na	38054	-0.04635145142674446	0.100465156	No	
row_60	ATP6V1G1	na	39768	-0.050961047410964966	0.087095834	No	
row_61	JAM2	na	41242	-0.05493664741516113	0.0794523	No	
row_62	IGSF5	na	46378	-0.07022745162248611	0.010768037	No	
row_63	RAC1	na	46582	-0.07089586555957794	0.03166327	No	
row_64	PLCG2	na	47713	-0.07467527687549591	0.037074983	No	
row_65	ATP6V1G2	na	48470	-0.07744932919740677	0.050223555	No	
row_66	TJP1	na	50417	-0.08560264110565186	0.044640128	No	
row_67	ADAM10	na	54665	-0.12464950233697891	0.0109057035	No	
