NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FCER1G	na	1362	0.09013231098651886	0.0026644485	No	
row_1	KRAS	na	1433	0.08919183909893036	0.02845405	No	
row_2	MAP2K2	na	2771	0.07329757511615753	0.026464362	No	
row_3	FCER1A	na	3290	0.06910011917352676	0.03804121	No	
row_4	MAP2K3	na	3706	0.06589051336050034	0.050510686	No	
row_5	NRAS	na	4243	0.06178661808371544	0.059542704	No	
row_6	PLA2G2E	na	4486	0.05979280173778534	0.07329701	No	
row_7	RAC2	na	5310	0.05469382926821709	0.07497699	No	
row_8	PLA2G2D	na	5581	0.0529678612947464	0.08615347	No	
row_9	RAC3	na	5872	0.05120766907930374	0.09643358	No	
row_10	AKT2	na	7025	0.04511663690209389	0.08924681	No	
row_11	CSF2	na	7037	0.0450592115521431	0.10271703	No	
row_12	PLA2G12A	na	7184	0.04428648203611374	0.11350669	No	
row_13	GRB2	na	7203	0.04418264701962471	0.12658414	No	
row_14	GAB2	na	8551	0.03750620037317276	0.1135553	No	
row_15	MAP2K7	na	9377	0.03358621522784233	0.10879566	No	
row_16	IL13	na	10092	0.03047344647347927	0.10510297	No	
row_17	PLA2G4E	na	10567	0.02845868654549122	0.105147764	No	
row_18	VAV1	na	11353	0.025113549083471298	0.09854257	No	
row_19	BTK	na	11407	0.024889115244150162	0.105132796	No	
row_20	PIK3R5	na	11413	0.024858376011252403	0.11258344	No	
row_21	MAPK13	na	12000	0.02240733802318573	0.10876306	No	
row_22	RAF1	na	12300	0.021209903061389923	0.10977972	No	
row_23	IL4	na	13115	0.018141232430934906	0.10053388	No	
row_24	LYN	na	13201	0.017764706164598465	0.10438297	No	
row_25	MAP2K6	na	13469	0.016852591186761856	0.10465758	No	
row_26	LCP2	na	13539	0.016620252281427383	0.10844939	No	
row_27	PIK3CD	na	13702	0.015981502830982208	0.110362306	No	
row_28	MAPK12	na	13724	0.0159278716892004	0.114813805	No	
row_29	PIK3R3	na	13890	0.01536552980542183	0.11648549	No	
row_30	LAT	na	14287	0.013807591050863266	0.11349893	No	
row_31	HRAS	na	14496	0.01305173896253109	0.11368955	No	
row_32	PLA2G1B	na	16328	0.007138519082218409	0.08267824	No	
row_33	MAPK11	na	18129	0.0020307213999330997	0.050679106	No	
row_34	MAPK8	na	18521	0.0010677893878892064	0.043918293	No	
row_35	PLA2G5	na	23064	-0.005622108466923237	-0.036675148	No	
row_36	AKT1	na	23629	-0.007166148629039526	-0.044720594	No	
row_37	VAV3	na	23679	-0.007290421053767204	-0.04339677	No	
row_38	PLA2G12B	na	24475	-0.009487302973866463	-0.05492367	No	
row_39	PLA2G4B	na	24763	-0.01024997141212225	-0.057014465	No	
row_40	MAPK14	na	24933	-0.01072324812412262	-0.056823578	No	
row_41	MS4A2	na	25050	-0.011051267385482788	-0.05557284	No	
row_42	MAP2K1	na	25365	-0.011875503696501255	-0.057659734	No	
row_43	PLA2G6	na	26374	-0.014592085964977741	-0.07149747	No	
row_44	PLCG1	na	27958	-0.018974466249346733	-0.09442447	No	
row_45	JMJD7-PLA2G4B	na	28303	-0.01997194066643715	-0.09459875	No	
row_46	PRKCB	na	29388	-0.02302488684654236	-0.107255325	No	
row_47	PRKCA	na	29393	-0.023036574944853783	-0.100339234	No	
row_48	PLA2G4A	na	31114	-0.027698533609509468	-0.12310201	No	
row_49	MAPK9	na	32100	-0.030444057658314705	-0.13171402	No	
row_50	PRKCD	na	32225	-0.03083457425236702	-0.12460661	No	
row_51	MAPK10	na	32612	-0.03195933625102043	-0.121905304	No	
row_52	MAPK1	na	33245	-0.03365760296583176	-0.12314622	No	
row_53	PLA2G3	na	33531	-0.034404221922159195	-0.11787314	No	
row_54	PLA2G2F	na	33637	-0.03470488637685776	-0.109247334	No	
row_55	MAP2K4	na	33864	-0.035318173468112946	-0.10262794	No	
row_56	MAPK3	na	35627	-0.040046121925115585	-0.12240588	No	
row_57	AKT3	na	38800	-0.04834846407175064	-0.16521372	Yes	
row_58	SOS2	na	39248	-0.049553193151950836	-0.15828028	Yes	
row_59	PIK3CG	na	39795	-0.0510360486805439	-0.15269084	Yes	
row_60	PIK3CB	na	39858	-0.05118050426244736	-0.13828772	Yes	
row_61	PIK3R2	na	40426	-0.052715227007865906	-0.13256939	Yes	
row_62	PDPK1	na	41401	-0.055323611944913864	-0.1334344	Yes	
row_63	VAV2	na	42379	-0.05798642709851265	-0.13354596	Yes	
row_64	PIK3R1	na	42920	-0.059657856822013855	-0.12523222	Yes	
row_65	INPP5D	na	44777	-0.06520512700080872	-0.13908096	Yes	
row_66	SYK	na	45105	-0.0661940723657608	-0.12492487	Yes	
row_67	IL5	na	46231	-0.06978172808885574	-0.1241398	Yes	
row_68	PRKCE	na	46392	-0.07024877518415451	-0.10572769	Yes	
row_69	RAC1	na	46582	-0.07089586555957794	-0.087644726	Yes	
row_70	PLA2G2C	na	47209	-0.07288247346878052	-0.07687734	Yes	
row_71	SOS1	na	47435	-0.07368779182434082	-0.058599703	Yes	
row_72	PLCG2	na	47713	-0.07467527687549591	-0.04096471	Yes	
row_73	PIK3CA	na	49464	-0.08113931119441986	-0.04805884	Yes	
row_74	PLA2G2A	na	50179	-0.08438098430633545	-0.035397694	Yes	
row_75	FYN	na	51576	-0.0919126570224762	-0.03280921	Yes	
row_76	TNF	na	51972	-0.09411042183637619	-0.01141632	Yes	
row_77	PLA2G10	na	53724	-0.10872373729944229	-0.010160329	Yes	
row_78	IL3	na	54698	-0.12559135258197784	0.010309774	Yes	
