NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PFKFB3	na	1369	0.09005635976791382	0.044009563	Yes	
row_1	PFKP	na	1439	0.08914858847856522	0.110861056	Yes	
row_2	ALDOC	na	1845	0.08320201188325882	0.16708696	Yes	
row_3	PFKFB4	na	3284	0.0691487118601799	0.19387597	Yes	
row_4	FBP2	na	3644	0.06639619916677475	0.23809668	Yes	
row_5	KHK	na	4887	0.057352617383003235	0.25942308	Yes	
row_6	PFKL	na	5752	0.051892757415771484	0.28342202	Yes	
row_7	GMDS	na	8240	0.03909683600068092	0.26826313	Yes	
row_8	FPGT	na	8284	0.03890988603234291	0.29720795	Yes	
row_9	SORD	na	8478	0.03784944489598274	0.32262707	Yes	
row_10	TPI1	na	8728	0.03664134442806244	0.34610948	Yes	
row_11	MTMR1	na	9006	0.03541635721921921	0.36814922	Yes	
row_12	PMM1	na	9718	0.03218013048171997	0.3798596	Yes	
row_13	HK3	na	10319	0.029455823823809624	0.39149845	Yes	
row_14	HK2	na	10491	0.028774065896868706	0.41038316	Yes	
row_15	MPI	na	11100	0.026171855628490448	0.41936857	Yes	
row_16	FBP1	na	11862	0.023031046614050865	0.42318475	Yes	
row_17	AKR1B10	na	12722	0.019722281023859978	0.42269915	Yes	
row_18	ALDOA	na	12790	0.019483812153339386	0.4363699	Yes	
row_19	MTMR7	na	13222	0.017712073400616646	0.44209728	Yes	
row_20	GMPPB	na	13378	0.017202923074364662	0.45243245	Yes	
row_21	AKR1B1	na	13706	0.01597684994339943	0.45871714	Yes	
row_22	MTMR2	na	16834	0.0055624498054385185	0.40635467	No	
row_23	MTMR6	na	20881	-1.9379986042622477E-4	0.33325338	No	
row_24	PFKM	na	22925	-0.0052278293296694756	0.3002602	No	
row_25	PHPT1	na	23551	-0.006966196931898594	0.29426658	No	
row_26	GMPPA	na	24079	-0.008358556777238846	0.2911108	No	
row_27	HK1	na	38220	-0.04679908975958824	0.07086821	No	
row_28	ALDOB	na	42544	-0.05853237584233284	0.037316963	No	
row_29	PFKFB2	na	46080	-0.06931232661008835	0.026266586	No	
row_30	PFKFB1	na	47152	-0.07268092781305313	0.062398072	No	
row_31	PMM2	na	53875	-0.11061475425958633	0.025200779	No	
