NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GGT5	na	580	0.10829579830169678	0.04333937	Yes	
row_1	GSTM3	na	985	0.09762642532587051	0.08456141	Yes	
row_2	GGT1	na	1688	0.0851820781826973	0.11419961	Yes	
row_3	GSTA1	na	1868	0.08292493969202042	0.15218697	Yes	
row_4	GCLM	na	2274	0.07820460945367813	0.18373467	Yes	
row_5	GPX3	na	3074	0.07090198248624802	0.20451638	Yes	
row_6	ANPEP	na	3223	0.06963279843330383	0.2364565	Yes	
row_7	GSTM4	na	3288	0.0691080093383789	0.26965693	Yes	
row_8	SMS	na	3378	0.06838198751211166	0.30204362	Yes	
row_9	GPX1	na	3500	0.06746411323547363	0.33339447	Yes	
row_10	MGST3	na	3549	0.06712643802165985	0.36589944	Yes	
row_11	GPX7	na	3892	0.06436929106712341	0.39170933	Yes	
row_12	GSTA2	na	4233	0.061888739466667175	0.41632217	Yes	
row_13	GPX5	na	4688	0.058554716408252716	0.43721285	Yes	
row_14	G6PD	na	5545	0.053210534155368805	0.4481664	Yes	
row_15	GSTO1	na	6572	0.04744185507297516	0.4531732	Yes	
row_16	LAP3	na	7056	0.044942669570446014	0.466771	Yes	
row_17	GPX6	na	8187	0.039293501526117325	0.46584317	Yes	
row_18	GSTM2	na	8921	0.03573286160826683	0.4703346	Yes	
row_19	GSTM5	na	9267	0.03410283103585243	0.48104215	Yes	
row_20	GGT7	na	9647	0.03247752785682678	0.49032587	Yes	
row_21	GSR	na	10321	0.02945268154144287	0.49278146	Yes	
row_22	SRM	na	10677	0.027944037690758705	0.50024587	Yes	
row_23	GSTA3	na	11118	0.026087863370776176	0.50524807	Yes	
row_24	GPX4	na	11152	0.025948844850063324	0.51755184	Yes	
row_25	GSTM1	na	11200	0.02575063519179821	0.52950346	Yes	
row_26	TXNDC12	na	11208	0.025697773322463036	0.54215324	Yes	
row_27	GSTZ1	na	12319	0.021142618730664253	0.53256327	No	
row_28	IDH1	na	12430	0.02074206806719303	0.54088384	No	
row_29	RRM2B	na	13680	0.016075056046247482	0.5262571	No	
row_30	GGT6	na	14248	0.013989862985908985	0.5229444	No	
row_31	PGD	na	15372	0.010158112272620201	0.50765765	No	
row_32	GSTT2	na	18771	4.2047264287248254E-4	0.44632992	No	
row_33	GSS	na	21736	-0.002068387111648917	0.3936811	No	
row_34	MGST2	na	22341	-0.0036236164160072803	0.38454446	No	
row_35	GSTA5	na	22830	-0.004989857319742441	0.3781878	No	
row_36	GPX2	na	23283	-0.006182035431265831	0.3730758	No	
row_37	GGCT	na	23504	-0.006841335911303759	0.3724931	No	
row_38	RRM2	na	23943	-0.008001565933227539	0.3685393	No	
row_39	GSTA4	na	24030	-0.008240318857133389	0.37107882	No	
row_40	GSTO2	na	24467	-0.009455407969653606	0.36788407	No	
row_41	MGST1	na	31002	-0.027408190071582794	0.26318216	No	
row_42	GSTK1	na	32945	-0.03281720355153084	0.24432932	No	
row_43	GSTP1	na	34398	-0.03673544153571129	0.23629831	No	
row_44	GCLC	na	34490	-0.037005715072155	0.25304902	No	
row_45	OPLAH	na	34564	-0.03717195615172386	0.27020833	No	
row_46	IDH2	na	40575	-0.05311596766114235	0.1877774	No	
row_47	RRM1	na	48239	-0.07649655640125275	0.08703561	No	
row_48	ODC1	na	49399	-0.08089789748191833	0.106267646	No	
