NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLA2G15	na	838	0.10099110007286072	0.015086045	No	
row_1	GPAT3	na	1029	0.09686974436044693	0.040677857	No	
row_2	PLPP2	na	1222	0.09290941804647446	0.065046415	No	
row_3	LPCAT1	na	1849	0.08316206932067871	0.07862984	No	
row_4	DGKI	na	3399	0.0682300478219986	0.071014	No	
row_5	LPCAT3	na	3809	0.06503734737634659	0.08309677	No	
row_6	PLPP1	na	4403	0.06048528850078583	0.090481296	No	
row_7	PLA2G2E	na	4486	0.05979280173778534	0.106917016	No	
row_8	CHAT	na	4932	0.0570623017847538	0.11595717	No	
row_9	PLA2G2D	na	5581	0.0529678612947464	0.12009199	No	
row_10	ADPRM	na	6268	0.049048297107219696	0.122363485	No	
row_11	PTDSS2	na	6481	0.04793005436658859	0.13288817	No	
row_12	PLA2G12A	na	7184	0.04428648203611374	0.13344252	No	
row_13	PLPP3	na	7674	0.04187497869133949	0.13713342	No	
row_14	LYPLA2	na	8720	0.036669470369815826	0.12918997	No	
row_15	AGPAT3	na	9359	0.03363363444805145	0.127711	No	
row_16	GPD1	na	9861	0.0314839631319046	0.12807	No	
row_17	ETNK1	na	10369	0.02926027402281761	0.12765379	No	
row_18	PLA2G4E	na	10567	0.02845868654549122	0.13261418	No	
row_19	PTDSS1	na	11555	0.024314619600772858	0.12201855	No	
row_20	CDS1	na	12278	0.02130010537803173	0.11532091	No	
row_21	CHKA	na	13066	0.018340500071644783	0.10655847	No	
row_22	LYPLA1	na	13547	0.01658802665770054	0.10283326	No	
row_23	PCYT1B	na	13662	0.016139475628733635	0.10560513	No	
row_24	MBOAT7	na	13995	0.014953876845538616	0.10407173	No	
row_25	CDIPT	na	14374	0.013519151136279106	0.10127483	No	
row_26	AGPAT2	na	15280	0.010458037257194519	0.08801178	No	
row_27	PLA2G1B	na	16328	0.007138519082218409	0.071180895	No	
row_28	AGPAT1	na	16825	0.00560070900246501	0.0638726	No	
row_29	TAZ	na	17249	0.00434156646952033	0.057509586	No	
row_30	PCYT1A	na	17633	0.003293870249763131	0.05155731	No	
row_31	PLA2G5	na	23064	-0.005622108466923237	-0.04514321	No	
row_32	AGPAT4	na	23086	-0.005693183280527592	-0.043817308	No	
row_33	GPAT2	na	23208	-0.005971601698547602	-0.044219848	No	
row_34	ETNK2	na	23238	-0.006060165818780661	-0.042928908	No	
row_35	PISD	na	23381	-0.006461499258875847	-0.04356511	No	
row_36	PGS1	na	24377	-0.00918393675237894	-0.058840744	No	
row_37	PLA2G12B	na	24475	-0.009487302973866463	-0.057754684	No	
row_38	PLA2G4B	na	24763	-0.01024997141212225	-0.059882622	No	
row_39	PEMT	na	25520	-0.012270228937268257	-0.0699028	No	
row_40	PLA2G6	na	26374	-0.014592085964977741	-0.080984585	No	
row_41	GPD1L	na	27969	-0.018996121361851692	-0.104172476	No	
row_42	JMJD7-PLA2G4B	na	28303	-0.01997194066643715	-0.10421995	No	
row_43	CDS2	na	29047	-0.02209368720650673	-0.11106024	No	
row_44	GPD2	na	29133	-0.022334007546305656	-0.105906256	No	
row_45	DGKZ	na	30374	-0.02570437081158161	-0.12066941	No	
row_46	MBOAT2	na	30967	-0.02730383537709713	-0.12321212	No	
row_47	LPCAT4	na	31106	-0.02767723798751831	-0.11741694	No	
row_48	PLA2G4A	na	31114	-0.027698533609509468	-0.10924179	No	
row_49	LCAT	na	31824	-0.029660791158676147	-0.113197975	No	
row_50	LPCAT2	na	33066	-0.033156685531139374	-0.1257456	No	
row_51	PLA2G3	na	33531	-0.034404221922159195	-0.12384092	No	
row_52	PLA2G2F	na	33637	-0.03470488637685776	-0.11534144	No	
row_53	DGKG	na	33888	-0.03536943718791008	-0.109270014	No	
row_54	PLD2	na	35307	-0.039190564304590225	-0.12321617	No	
row_55	PHOSPHO1	na	35513	-0.03972658887505531	-0.11502344	No	
row_56	PCYT2	na	35937	-0.04094976186752319	-0.11041402	No	
row_57	DGKD	na	36402	-0.04206409305334091	-0.10621348	No	
row_58	PLD1	na	36583	-0.04247020184993744	-0.09674545	No	
row_59	DGKB	na	37461	-0.044773101806640625	-0.099216044	No	
row_60	CHKB	na	37813	-0.04575737565755844	-0.09186109	No	
row_61	MBOAT1	na	39219	-0.049491215497255325	-0.10248433	No	
row_62	ACHE	na	39709	-0.05077647790312767	-0.096125424	No	
row_63	CRLS1	na	41284	-0.05502762272953987	-0.10815135	No	
row_64	GPAT4	na	42681	-0.0589446984231472	-0.11577806	No	
row_65	LCLAT1	na	43973	-0.06290418654680252	-0.12031552	No	
row_66	DGKQ	na	45687	-0.06802791357040405	-0.13096344	No	
row_67	PLA2G2C	na	47209	-0.07288247346878052	-0.13667749	No	
row_68	DGKE	na	48161	-0.07622398436069489	-0.13106224	No	
row_69	PLA2G2A	na	50179	-0.08438098430633545	-0.14231686	Yes	
row_70	GPAM	na	50248	-0.08474335074424744	-0.11814915	Yes	
row_71	DGKA	na	51457	-0.09115446358919144	-0.112715386	Yes	
row_72	CHPT1	na	52661	-0.09868425875902176	-0.10493416	Yes	
row_73	DGKH	na	52779	-0.09959593415260315	-0.07720256	Yes	
row_74	PLA2G10	na	53724	-0.10872373729944229	-0.061719444	Yes	
row_75	GNPAT	na	54301	-0.1167074665427208	-0.03717564	Yes	
row_76	LPGAT1	na	55256	-0.18236781656742096	1.993494E-4	Yes	
