NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PGK1	na	312	0.12011957913637161	0.035029676	Yes	
row_1	LDHB	na	926	0.09888072311878204	0.057414025	Yes	
row_2	PGM1	na	947	0.0983165055513382	0.09034888	Yes	
row_3	PCK2	na	1384	0.08982516080141068	0.112872526	Yes	
row_4	PFKP	na	1439	0.08914858847856522	0.14208657	Yes	
row_5	ALDOC	na	1845	0.08320201188325882	0.16292867	Yes	
row_6	ALDH1B1	na	1980	0.081600122153759	0.18813714	Yes	
row_7	ADH5	na	2096	0.08013460785150528	0.21319345	Yes	
row_8	PGAM1	na	2124	0.07979283481836319	0.23972803	Yes	
row_9	LDHA	na	2289	0.07803268730640411	0.2631849	Yes	
row_10	ADH1C	na	2504	0.07585836946964264	0.28499967	Yes	
row_11	AKR1A1	na	2959	0.07181020081043243	0.30109608	Yes	
row_12	ENO1	na	3173	0.07009328901767731	0.3209765	Yes	
row_13	FBP2	na	3644	0.06639619916677475	0.33494952	Yes	
row_14	BPGM	na	3773	0.06528237462043762	0.3547403	Yes	
row_15	ENO2	na	5267	0.05492127686738968	0.3462965	Yes	
row_16	PFKL	na	5752	0.051892757415771484	0.355104	Yes	
row_17	GAPDH	na	6493	0.047832027077674866	0.35789907	Yes	
row_18	PGAM4	na	6687	0.04687551036477089	0.3702785	Yes	
row_19	ALDH7A1	na	7417	0.04316313937306404	0.3716916	Yes	
row_20	TPI1	na	8728	0.03664134442806244	0.36037174	Yes	
row_21	ALDH3A2	na	8991	0.03547335043549538	0.36763975	Yes	
row_22	ALDH1A3	na	9931	0.03117217682301998	0.36118788	Yes	
row_23	HK3	na	10319	0.029455823823809624	0.36415365	Yes	
row_24	HK2	na	10491	0.028774065896868706	0.37080118	Yes	
row_25	ADH4	na	10764	0.027587322518229485	0.37521726	Yes	
row_26	PKM	na	10819	0.027345869690179825	0.3835004	Yes	
row_27	PKLR	na	10956	0.026693424209952354	0.39007723	Yes	
row_28	DLD	na	11762	0.023465225473046303	0.38344252	Yes	
row_29	FBP1	na	11862	0.023031046614050865	0.3894492	Yes	
row_30	LDHC	na	12033	0.02228306047618389	0.39391652	Yes	
row_31	ENO3	na	12088	0.022061331197619438	0.40040994	Yes	
row_32	ACSS1	na	12632	0.020003193989396095	0.39734858	Yes	
row_33	ALDOA	na	12790	0.019483812153339386	0.40110332	Yes	
row_34	GALM	na	14579	0.012777669355273247	0.373043	No	
row_35	G6PC	na	14764	0.012142429128289223	0.37382233	No	
row_36	ADH7	na	15491	0.00975187961012125	0.36397427	No	
row_37	PGAM2	na	20218	0.0	0.27836764	No	
row_38	PFKM	na	22925	-0.0052278293296694756	0.23112176	No	
row_39	GCK	na	23318	-0.0062799351289868355	0.22614793	No	
row_40	LDHAL6A	na	23466	-0.006684024818241596	0.22574887	No	
row_41	ALDH2	na	23667	-0.00726665323600173	0.2245871	No	
row_42	ACSS2	na	23710	-0.007378088776022196	0.22632506	No	
row_43	PCK1	na	24905	-0.010661503300070763	0.20830774	No	
row_44	ALDH3B2	na	27241	-0.017046790570020676	0.17178491	No	
row_45	ADH1B	na	27480	-0.017709238454699516	0.1734714	No	
row_46	GPI	na	27626	-0.018064716830849648	0.17696291	No	
row_47	ALDH9A1	na	32604	-0.03192931041121483	0.09762326	No	
row_48	DLAT	na	33885	-0.03535821661353111	0.08641224	No	
row_49	PDHA1	na	34096	-0.03587742894887924	0.09475902	No	
row_50	ADH6	na	35076	-0.03853283077478409	0.090075456	No	
row_51	ADH1A	na	37616	-0.045243799686431885	0.05940693	No	
row_52	PDHA2	na	38193	-0.046714525669813156	0.06479422	No	
row_53	HK1	na	38220	-0.04679908975958824	0.08017284	No	
row_54	ALDOB	na	42544	-0.05853237584233284	0.021689452	No	
row_55	PGK2	na	45009	-0.0659017562866211	-6.242435E-4	No	
row_56	PGM2	na	45912	-0.06877588480710983	0.006329476	No	
row_57	G6PC2	na	45971	-0.06897243857383728	0.028637955	No	
row_58	PDHB	na	49468	-0.08115371316671371	-0.007203938	No	
row_59	LDHAL6B	na	51459	-0.09116687625646591	-0.012375002	No	
row_60	ALDH3A1	na	53933	-0.11144917458295822	-0.019426052	No	
row_61	ALDH3B1	na	54773	-0.1286552995443344	0.008948378	No	
