NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	B4GAT1	na	1847	0.08319031447172165	0.12575726	Yes	
row_1	B4GALT2	na	3232	0.06956859678030014	0.23382889	Yes	
row_2	B4GALT3	na	3854	0.06462851911783218	0.34625685	Yes	
row_3	CHST4	na	6888	0.045804403722286224	0.37901098	Yes	
row_4	B3GNT2	na	7074	0.04485303536057472	0.46148938	Yes	
row_5	B3GNT7	na	8818	0.0362497977912426	0.49930784	Yes	
row_6	B4GALT1	na	9338	0.03372829779982567	0.554454	Yes	
row_7	ST3GAL3	na	11556	0.024314481765031815	0.56085545	Yes	
row_8	B4GALT4	na	11691	0.023770861327648163	0.603916	Yes	
row_9	CHST1	na	15058	0.011219058185815811	0.564464	No	
row_10	ST3GAL2	na	21710	-0.0020088686142116785	0.44793442	No	
row_11	FUT8	na	23435	-0.006606708746403456	0.4293745	No	
row_12	CHST2	na	25447	-0.012094169855117798	0.41612056	No	
row_13	ST3GAL1	na	29364	-0.022954819723963737	0.3891708	No	
row_14	CHST6	na	36203	-0.04160851985216141	0.34503102	No	
