NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRF1	na	659	0.10599404573440552	0.043243974	Yes	
row_1	HLA-DQB1	na	925	0.09889347851276398	0.08992539	Yes	
row_2	KIR3DL2	na	1011	0.09721968322992325	0.13899454	Yes	
row_3	HLA-DPA1	na	1514	0.08763239532709122	0.1755229	Yes	
row_4	HLA-C	na	1723	0.08469133079051971	0.21584335	Yes	
row_5	HLA-DRB1	na	1941	0.08202904462814331	0.25461498	Yes	
row_6	HLA-DMA	na	2408	0.07682263851165771	0.28616807	Yes	
row_7	KIR3DL1	na	2774	0.07329056411981583	0.3177112	Yes	
row_8	HLA-DMB	na	2939	0.07193764299154282	0.3521893	Yes	
row_9	HLA-DRA	na	3181	0.07003717124462128	0.384284	Yes	
row_10	HLA-DQA1	na	4223	0.06193564459681511	0.39767674	Yes	
row_11	HLA-B	na	4474	0.059858642518520355	0.42431	Yes	
row_12	HLA-DPB1	na	4587	0.05923929810523987	0.45311943	Yes	
row_13	CD86	na	5000	0.056655317544937134	0.47515205	Yes	
row_14	HLA-E	na	5284	0.05483235418796539	0.49857134	Yes	
row_15	KIR2DL1	na	5465	0.05377500504255295	0.5233051	Yes	
row_16	HLA-DOA	na	7263	0.043900903314352036	0.51362187	Yes	
row_17	FASLG	na	7896	0.04068027436733246	0.5233553	Yes	
row_18	GZMB	na	8476	0.037863511592149734	0.5325821	Yes	
row_19	HLA-A	na	8592	0.03732425346970558	0.5499292	Yes	
row_20	HLA-DQA2	na	9444	0.033335745334625244	0.5518743	Yes	
row_21	HLA-F	na	11756	0.0234841275960207	0.5222566	No	
row_22	FAS	na	12881	0.019102031365036964	0.5118494	No	
row_23	HLA-DRB5	na	12909	0.018978506326675415	0.5212399	No	
row_24	KIR2DL3	na	13039	0.01842312701046467	0.5284945	No	
row_25	HLA-DOB	na	15524	0.009637676179409027	0.48853666	No	
row_26	IFNG	na	16868	0.005484763067215681	0.46707574	No	
row_27	CD28	na	17938	0.0025016753934323788	0.44902292	No	
row_28	CD80	na	22908	-0.005192755721509457	0.36175844	No	
row_29	HLA-G	na	24237	-0.008765176869928837	0.34227672	No	
row_30	IL6	na	30779	-0.026764631271362305	0.23777932	No	
row_31	KLRD1	na	33047	-0.0330880731344223	0.21395767	No	
row_32	IL2	na	33454	-0.03420943394303322	0.2244146	No	
row_33	IL1B	na	44474	-0.06428319960832596	0.05837	No	
row_34	KLRC1	na	45627	-0.06783557683229446	0.07282426	No	
row_35	TNF	na	51972	-0.09411042183637619	0.006950847	No	
row_36	IL1A	na	52974	-0.10121826082468033	0.04151659	No	
