NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT10B	na	1074	0.09574222564697266	0.024812188	No	
row_1	WNT7B	na	1639	0.08583267033100128	0.054280013	No	
row_2	LRP2	na	5726	0.052001580595970154	0.0043162378	No	
row_3	PRKACA	na	6513	0.0477605015039444	0.012161303	No	
row_4	CSNK1D	na	6523	0.04771941900253296	0.0340604	No	
row_5	BMP8B	na	6840	0.046083781868219376	0.049642913	No	
row_6	BMP5	na	6873	0.04588333144783974	0.07027656	No	
row_7	BMP2	na	7089	0.044734105467796326	0.087064385	No	
row_8	WNT6	na	8684	0.03682148456573486	0.075217515	No	
row_9	HHIP	na	8793	0.036363385617733	0.090073295	No	
row_10	DHH	na	8977	0.03553364798426628	0.10318706	No	
row_11	CSNK1E	na	9086	0.03498286381363869	0.11740458	No	
row_12	BMP6	na	10025	0.03081359900534153	0.11466157	No	
row_13	WNT3	na	11848	0.023097535595297813	0.09234017	No	
row_14	SMO	na	12387	0.02090734988451004	0.092262	No	
row_15	WNT5B	na	12938	0.018894800916314125	0.09103603	No	
row_16	RAB23	na	13116	0.01813536323606968	0.09621472	No	
row_17	WNT1	na	13126	0.018097732216119766	0.10441884	No	
row_18	GLI1	na	13799	0.0156467966735363	0.099481545	No	
row_19	PTCH2	na	14738	0.012230000458657742	0.088146776	No	
row_20	WNT5A	na	14765	0.012141055427491665	0.09328904	No	
row_21	WNT8B	na	14911	0.0115966210141778	0.09602426	No	
row_22	WNT16	na	15032	0.011298734694719315	0.09907456	No	
row_23	CSNK1G2	na	15038	0.011280328966677189	0.10419923	No	
row_24	BMP4	na	15188	0.010736707597970963	0.106464446	No	
row_25	PRKACB	na	15984	0.00823516771197319	0.09587276	No	
row_26	STK36	na	20833	-4.9705351557349786E-5	0.008088742	No	
row_27	WNT9A	na	21053	-5.929078324697912E-4	0.004396332	No	
row_28	PRKACG	na	22835	-0.005000471603125334	-0.025549281	No	
row_29	SUFU	na	22967	-0.005323433317244053	-0.025460774	No	
row_30	WNT4	na	23489	-0.0067588211968541145	-0.031772323	No	
row_31	BMP8A	na	26348	-0.014535165391862392	-0.076816395	No	
row_32	WNT11	na	27104	-0.016679435968399048	-0.08277956	No	
row_33	FBXW11	na	27547	-0.017878714948892593	-0.0825192	No	
row_34	WNT3A	na	27849	-0.018656233325600624	-0.079345584	No	
row_35	CSNK1G3	na	30099	-0.0249155405908823	-0.10856029	No	
row_36	WNT9B	na	32596	-0.03188624605536461	-0.1390259	No	
row_37	CSNK1A1	na	32656	-0.03210604190826416	-0.12525092	No	
row_38	IHH	na	32932	-0.032792817801237106	-0.115070626	No	
row_39	GSK3B	na	34182	-0.036142498254776	-0.12098277	No	
row_40	WNT2	na	34691	-0.0375271774828434	-0.11283374	No	
row_41	GLI2	na	35361	-0.039300866425037384	-0.10678071	No	
row_42	PRKX	na	35880	-0.04078446701169014	-0.097306855	No	
row_43	BMP7	na	37274	-0.04426336660981178	-0.10207261	No	
row_44	WNT7A	na	38165	-0.04663684219121933	-0.09663069	No	
row_45	SHH	na	43079	-0.06015775725245476	-0.15780225	No	
row_46	WNT10A	na	45336	-0.0669349655508995	-0.1677169	Yes	
row_47	WNT2B	na	45744	-0.06819934397935867	-0.1435579	Yes	
row_48	CSNK1G1	na	46082	-0.06931543350219727	-0.11761507	Yes	
row_49	PTCH1	na	46660	-0.0711318776011467	-0.09517931	Yes	
row_50	WNT8A	na	47771	-0.07486516237258911	-0.08067125	Yes	
row_51	CSNK1A1L	na	48041	-0.07588038593530655	-0.05046162	Yes	
row_52	BTRC	na	50258	-0.08481206744909286	-0.05138668	Yes	
row_53	GLI3	na	51760	-0.09292137622833252	-0.035612483	Yes	
row_54	ZIC2	na	52767	-0.09954765439033508	-0.007809317	Yes	
row_55	GAS1	na	54180	-0.11479055136442184	0.019687617	Yes	
