NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UROC1	na	1021	0.09703423082828522	0.049261987	No	
row_1	ALDH1B1	na	1980	0.081600122153759	0.08888901	No	
row_2	HNMT	na	3594	0.06680387258529663	0.106328346	No	
row_3	ALDH7A1	na	7417	0.04316313937306404	0.06727282	No	
row_4	METTL6	na	8287	0.03889550268650055	0.07869642	No	
row_5	CNDP1	na	8920	0.03573440760374069	0.09220352	No	
row_6	ALDH3A2	na	8991	0.03547335043549538	0.11570233	No	
row_7	HDC	na	9114	0.0348876416683197	0.13785087	No	
row_8	ALDH1A3	na	9931	0.03117217682301998	0.14484182	No	
row_9	METTL2B	na	10233	0.029832592234015465	0.16022067	No	
row_10	AMDHD1	na	12768	0.019549550488591194	0.12799597	No	
row_11	AOC1	na	16659	0.0060680764727294445	0.06181119	No	
row_12	DDC	na	17862	0.0026970149483531713	0.041934144	No	
row_13	LCMT1	na	21467	-0.0014087667223066092	-0.02232607	No	
row_14	ALDH2	na	23667	-0.00726665323600173	-0.057061624	No	
row_15	ASPA	na	25778	-0.012917930260300636	-0.08624051	No	
row_16	ALDH3B2	na	27241	-0.017046790570020676	-0.100805946	No	
row_17	MAOB	na	31318	-0.028272800147533417	-0.15485549	No	
row_18	LCMT2	na	31635	-0.029170237481594086	-0.14021063	No	
row_19	ALDH9A1	na	32604	-0.03192931041121483	-0.13544275	No	
row_20	FTCD	na	38642	-0.047915730625391006	-0.21127869	No	
row_21	BUD23	na	40472	-0.05282013863325119	-0.20751251	No	
row_22	HEMK1	na	44493	-0.0643235370516777	-0.23537913	No	
row_23	TRMT11	na	45849	-0.06855706870555878	-0.21204518	No	
row_24	ACY3	na	51015	-0.08874256163835526	-0.24359156	Yes	
row_25	MAOA	na	52500	-0.0975765734910965	-0.20233269	Yes	
row_26	ALDH3A1	na	53933	-0.11144917458295822	-0.15044717	Yes	
row_27	HAL	na	54537	-0.12137439846992493	-0.07662478	Yes	
row_28	ALDH3B1	na	54773	-0.1286552995443344	0.008942812	Yes	
