NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLD4	na	2698	0.07400847971439362	0.013201438	No	
row_1	RPA1	na	3029	0.07126473635435104	0.06697022	No	
row_2	RAD51D	na	5921	0.050934799015522	0.057334665	No	
row_3	MUS81	na	9139	0.034744180738925934	0.028224653	No	
row_4	NBN	na	15024	0.011318697594106197	-0.06880367	No	
row_5	SSBP1	na	15181	0.010764281265437603	-0.06260379	No	
row_6	XRCC3	na	15922	0.008416964672505856	-0.068943754	No	
row_7	POLD2	na	16010	0.008138217963278294	-0.063696265	No	
row_8	RAD51B	na	18211	0.001787669607438147	-0.10202383	No	
row_9	RPA2	na	23168	-0.005883542355149984	-0.18680914	No	
row_10	RAD50	na	24929	-0.010719471611082554	-0.20968375	No	
row_11	POLD1	na	26017	-0.013585502281785011	-0.21797252	No	
row_12	POLD3	na	26707	-0.015555402263998985	-0.21740493	No	
row_13	RAD54B	na	30859	-0.02697841450572014	-0.2699332	No	
row_14	RAD51	na	32706	-0.03221024200320244	-0.2763485	Yes	
row_15	RPA3	na	33517	-0.03435743972659111	-0.2622092	Yes	
row_16	SEM1	na	35063	-0.03849640488624573	-0.25790575	Yes	
row_17	MRE11	na	35503	-0.03969700261950493	-0.23257405	Yes	
row_18	EME1	na	36456	-0.04217978194355965	-0.21444774	Yes	
row_19	RAD54L	na	37170	-0.04396574944257736	-0.19049765	Yes	
row_20	TOP3A	na	41950	-0.056843411177396774	-0.22935803	Yes	
row_21	RAD51C	na	44294	-0.06381188333034515	-0.21827811	Yes	
row_22	XRCC2	na	45822	-0.0684518814086914	-0.18853648	Yes	
row_23	RAD52	na	45877	-0.06867873668670654	-0.1319392	Yes	
row_24	TOP3B	na	47990	-0.07568220794200897	-0.10672639	Yes	
row_25	BRCA2	na	49335	-0.08062630891799927	-0.06346587	Yes	
row_26	RPA4	na	51961	-0.0940353125333786	-0.032154016	Yes	
row_27	BLM	na	53815	-0.10972398519515991	0.026285365	Yes	
