NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INPP5K	na	4800	0.05774467810988426	-0.0578749	No	
row_1	ITPK1	na	5860	0.05125458538532257	-0.051261332	No	
row_2	PIP4K2B	na	5982	0.05063798651099205	-0.02796962	No	
row_3	ISYNA1	na	6030	0.05039031058549881	-0.0034623083	No	
row_4	TPI1	na	8728	0.03664134442806244	-0.033869132	No	
row_5	MINPP1	na	9098	0.0349469892680645	-0.022965413	No	
row_6	PI4KB	na	11011	0.026509011164307594	-0.04425385	No	
row_7	IPPK	na	11310	0.02532435767352581	-0.03690674	No	
row_8	PLCD3	na	13562	0.01654941588640213	-0.06934702	No	
row_9	PIK3CD	na	13702	0.015981502830982208	-0.06382192	No	
row_10	CDIPT	na	14374	0.013519151136279106	-0.06917123	No	
row_11	MIOX	na	15217	0.010608796961605549	-0.07908218	No	
row_12	INPPL1	na	15592	0.009421161375939846	-0.0811147	No	
row_13	PIP5K1C	na	15637	0.009264151565730572	-0.07724948	No	
row_14	INPP1	na	16340	0.007106313016265631	-0.086387455	No	
row_15	PLCD1	na	16748	0.005829859059303999	-0.09082494	No	
row_16	PLCZ1	na	17046	0.004925902932882309	-0.093725085	No	
row_17	ITPKA	na	17888	0.002623066771775484	-0.10763669	No	
row_18	PIK3C2G	na	18201	0.0018160928739234805	-0.11237349	No	
row_19	IMPA2	na	21674	-0.0019017389276996255	-0.17429906	No	
row_20	INPP5J	na	21694	-0.0019636922515928745	-0.17365496	No	
row_21	INPP5B	na	22678	-0.004582681693136692	-0.18915223	No	
row_22	INPP4B	na	25346	-0.011829341761767864	-0.23150216	No	
row_23	PLCB3	na	25772	-0.012897374108433723	-0.23270898	No	
row_24	PLCB2	na	26949	-0.01624459959566593	-0.24583295	No	
row_25	PIP5K1A	na	27000	-0.016399672254920006	-0.2384855	No	
row_26	PLCG1	na	27958	-0.018974466249346733	-0.2462693	No	
row_27	PLCB4	na	28699	-0.02109789475798607	-0.24905434	No	
row_28	INPP5E	na	29056	-0.02211378701031208	-0.2443734	No	
row_29	PLCD4	na	29764	-0.024048499763011932	-0.24507588	No	
row_30	PIP4K2A	na	32134	-0.030524203553795815	-0.2726206	Yes	
row_31	ALDH6A1	na	32912	-0.03271356225013733	-0.27023026	Yes	
row_32	PLCE1	na	33571	-0.034542765468358994	-0.26476413	Yes	
row_33	PI4KA	na	34243	-0.03633569926023483	-0.2586312	Yes	
row_34	INPP4A	na	35652	-0.04012080281972885	-0.26394147	Yes	
row_35	PLCB1	na	35807	-0.040561504662036896	-0.24631836	Yes	
row_36	SYNJ2	na	38379	-0.047230616211891174	-0.26911417	Yes	
row_37	PIP4K2C	na	39499	-0.050152529031038284	-0.2641419	Yes	
row_38	PIK3CG	na	39795	-0.0510360486805439	-0.24380124	Yes	
row_39	PIK3CB	na	39858	-0.05118050426244736	-0.21916793	Yes	
row_40	OCRL	na	40043	-0.05162418633699417	-0.19652094	Yes	
row_41	PIP5K1B	na	40655	-0.05334075167775154	-0.18074363	Yes	
row_42	IMPA1	na	42978	-0.05984501540660858	-0.19268164	Yes	
row_43	SYNJ1	na	43024	-0.05998971313238144	-0.16330728	Yes	
row_44	INPP5A	na	43305	-0.060815777629613876	-0.13777338	Yes	
row_45	PIK3C3	na	44870	-0.06547938287258148	-0.13314752	Yes	
row_46	ITPKB	na	45622	-0.06780552864074707	-0.11262652	Yes	
row_47	PIK3C2B	na	45708	-0.0680922344326973	-0.07989908	Yes	
row_48	PIK3C2A	na	47343	-0.0733620673418045	-0.07257412	Yes	
row_49	PLCG2	na	47713	-0.07467527687549591	-0.04167743	Yes	
row_50	PIK3CA	na	49464	-0.08113931119441986	-0.032539543	Yes	
row_51	PIKFYVE	na	50474	-0.08587142080068588	-0.007599748	Yes	
row_52	PTEN	na	51527	-0.09155590832233429	0.019421935	Yes	
row_53	IPMK	na	52261	-0.0959702804684639	0.05444264	Yes	
