NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFSF13	na	187	0.13014423847198486	0.056898244	Yes	
row_1	AICDA	na	513	0.11073388159275055	0.102306336	Yes	
row_2	MAP3K14	na	519	0.11050599813461304	0.15340367	Yes	
row_3	HLA-DQB1	na	925	0.09889347851276398	0.19187842	Yes	
row_4	HLA-DPA1	na	1514	0.08763239532709122	0.221823	Yes	
row_5	HLA-DRB1	na	1941	0.08202904462814331	0.25210565	Yes	
row_6	HLA-DMA	na	2408	0.07682263851165771	0.27925226	Yes	
row_7	IL10	na	2919	0.07211967557668686	0.30342364	Yes	
row_8	HLA-DMB	na	2939	0.07193764299154282	0.33640206	Yes	
row_9	HLA-DRA	na	3181	0.07003717124462128	0.36448002	Yes	
row_10	TGFB1	na	3259	0.06933842599391937	0.39520416	Yes	
row_11	HLA-DQA1	na	4223	0.06193564459681511	0.40645486	Yes	
row_12	CD40	na	4363	0.06085295230150223	0.43212566	Yes	
row_13	HLA-DPB1	na	4587	0.05923929810523987	0.45552787	Yes	
row_14	CD86	na	5000	0.056655317544937134	0.47431058	Yes	
row_15	HLA-DOA	na	7263	0.043900903314352036	0.45368412	No	
row_16	ITGB7	na	9281	0.03402475267648697	0.43291956	No	
row_17	HLA-DQA2	na	9444	0.033335745334625244	0.4454275	No	
row_18	IL15RA	na	11065	0.026308545842766762	0.42827785	No	
row_19	HLA-DRB5	na	12909	0.018978506326675415	0.40369457	No	
row_20	IL4	na	13115	0.018141232430934906	0.40838555	No	
row_21	CCL25	na	14783	0.012088576331734657	0.38379788	No	
row_22	CCL28	na	15001	0.01138786505907774	0.3851433	No	
row_23	HLA-DOB	na	15524	0.009637676179409027	0.38015488	No	
row_24	TNFRSF17	na	16180	0.007589295040816069	0.37180912	No	
row_25	CD28	na	17938	0.0025016753934323788	0.34115088	No	
row_26	CCR10	na	21178	-8.52199736982584E-4	0.28289148	No	
row_27	TNFSF13B	na	21248	-9.705325355753303E-4	0.28209156	No	
row_28	CD80	na	22908	-0.005192755721509457	0.25445452	No	
row_29	ICOS	na	26860	-0.015983805060386658	0.19031087	No	
row_30	ICOSLG	na	29474	-0.023231204599142075	0.15375377	No	
row_31	CXCL12	na	29922	-0.024491285905241966	0.15700386	No	
row_32	IL15	na	30077	-0.02485894039273262	0.16573012	No	
row_33	IL6	na	30779	-0.026764631271362305	0.16543365	No	
row_34	CCL27	na	32314	-0.03108060173690319	0.15205182	No	
row_35	LTBR	na	32388	-0.031290892511606216	0.16522424	No	
row_36	CD40LG	na	33271	-0.03373684361577034	0.16487971	No	
row_37	IL2	na	33454	-0.03420943394303322	0.1774302	No	
row_38	PIGR	na	36377	-0.04201449453830719	0.14397818	No	
row_39	ITGA4	na	37841	-0.04583184793591499	0.13871504	No	
row_40	CXCR4	na	38064	-0.04638057202100754	0.15617903	No	
row_41	TNFRSF13C	na	40038	-0.051610540598630905	0.1443572	No	
row_42	TNFRSF13B	na	43419	-0.06118234992027283	0.111490205	No	
row_43	MADCAM1	na	45565	-0.06763064861297607	0.103974424	No	
row_44	IL5	na	46231	-0.06978172808885574	0.12425596	No	
row_45	CCR9	na	50290	-0.08496324717998505	0.09012688	No	
