NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DQB1	na	925	0.09889347851276398	0.016302992	Yes	
row_1	TAB1	na	1184	0.09361963719129562	0.042926673	Yes	
row_2	HLA-DPA1	na	1514	0.08763239532709122	0.06626249	Yes	
row_3	HLA-DRB1	na	1941	0.08202904462814331	0.08596776	Yes	
row_4	RELA	na	2388	0.07704254239797592	0.10364366	Yes	
row_5	HLA-DMA	na	2408	0.07682263851165771	0.12898184	Yes	
row_6	IFNGR1	na	2423	0.0766843855381012	0.15436439	Yes	
row_7	IL10	na	2919	0.07211967557668686	0.16950683	Yes	
row_8	HLA-DMB	na	2939	0.07193764299154282	0.19321193	Yes	
row_9	HLA-DRA	na	3181	0.07003717124462128	0.21225978	Yes	
row_10	TGFB1	na	3259	0.06933842599391937	0.23404518	Yes	
row_11	ITGB2	na	3502	0.06745035201311111	0.25221014	Yes	
row_12	IRAK1	na	3619	0.06659062951803207	0.27237037	Yes	
row_13	HLA-DQA1	na	4223	0.06193564459681511	0.2821516	Yes	
row_14	FCGR2A	na	4337	0.06105632334947586	0.30051604	Yes	
row_15	FCGR1A	na	4565	0.059360239654779434	0.31624815	Yes	
row_16	HLA-DPB1	na	4587	0.05923929810523987	0.33567184	Yes	
row_17	NCF4	na	4717	0.058416228741407394	0.3528638	Yes	
row_18	NOS2	na	4874	0.057399213314056396	0.3692266	Yes	
row_19	TLR2	na	5011	0.05656106024980545	0.38567156	Yes	
row_20	IL12A	na	5265	0.054958246648311615	0.399461	Yes	
row_21	ELK1	na	5728	0.051991935819387436	0.40847245	Yes	
row_22	TGFB3	na	6308	0.0488610677421093	0.41431755	Yes	
row_23	HLA-DOA	na	7263	0.043900903314352036	0.41171074	Yes	
row_24	FCGR3A	na	7586	0.04227030277252197	0.42000848	Yes	
row_25	HLA-DQA2	na	9444	0.033335745334625244	0.39751035	No	
row_26	STAT1	na	10837	0.02729032002389431	0.3814154	No	
row_27	NCF1	na	11360	0.025091160088777542	0.38034672	No	
row_28	MAPK13	na	12000	0.02240733802318573	0.37626114	No	
row_29	HLA-DRB5	na	12909	0.018978506326675415	0.36615592	No	
row_30	IL4	na	13115	0.018141232430934906	0.3685068	No	
row_31	NCF2	na	13555	0.016564274206757545	0.36609116	No	
row_32	MAPK12	na	13724	0.0159278716892004	0.36837238	No	
row_33	FCGR3B	na	14442	0.013246551156044006	0.3598112	No	
row_34	MYD88	na	14690	0.01238675694912672	0.3594774	No	
row_35	CR1	na	15100	0.011068124324083328	0.35576785	No	
row_36	HLA-DOB	na	15524	0.009637676179409027	0.3513265	No	
row_37	PTPN6	na	15917	0.008432387374341488	0.34704378	No	
row_38	IFNG	na	16868	0.005484763067215681	0.33166662	No	
row_39	MAPK11	na	18129	0.0020307213999330997	0.3095186	No	
row_40	MARCKSL1	na	21573	-0.0016778032295405865	0.24770406	No	
row_41	NFKBIA	na	21850	-0.0023979211691766977	0.24350551	No	
row_42	ITGAM	na	21938	-0.002619351027533412	0.24280503	No	
row_43	TGFB2	na	23289	-0.006205731071531773	0.22042225	No	
row_44	CYBA	na	23714	-0.007390132639557123	0.21521139	No	
row_45	IFNGR2	na	24229	-0.008747865445911884	0.20882395	No	
row_46	MAPK14	na	24933	-0.01072324812412262	0.19967283	No	
row_47	TLR4	na	25652	-0.01256152056157589	0.19086453	No	
row_48	ITGB1	na	26635	-0.015342529863119125	0.17820317	No	
row_49	JAK2	na	28083	-0.019331194460392	0.158451	No	
row_50	NFKB1	na	28384	-0.020201092585921288	0.15976942	No	
row_51	NFKBIB	na	28671	-0.021022800356149673	0.16161615	No	
row_52	PTGS2	na	29063	-0.02213420160114765	0.16193219	No	
row_53	PRKCB	na	29388	-0.02302488684654236	0.16375981	No	
row_54	JUN	na	32224	-0.03083374910056591	0.12270721	No	
row_55	MAPK1	na	33245	-0.03365760296583176	0.115480274	No	
row_56	IRAK4	na	34705	-0.03755617514252663	0.10160348	No	
row_57	MAPK3	na	35627	-0.040046121925115585	0.098305814	No	
row_58	TRAF6	na	37288	-0.044288624078035355	0.083038285	No	
row_59	C3	na	37611	-0.045231472700834274	0.09232597	No	
row_60	ITGA4	na	37841	-0.04583184793591499	0.103499204	No	
row_61	FCGR2C	na	40110	-0.0518340989947319	0.079739295	No	
row_62	FOS	na	40157	-0.05196312069892883	0.0962776	No	
row_63	TAB2	na	40308	-0.05238468945026398	0.11107272	No	
row_64	MAP3K7	na	43325	-0.06088371202349663	0.07678695	No	
row_65	IL1B	na	44474	-0.06428319960832596	0.07747946	No	
row_66	JAK1	na	44783	-0.06521794199943542	0.093702406	No	
row_67	IL12B	na	51680	-0.09236378967761993	-3.5173245E-4	No	
row_68	TNF	na	51972	-0.09411042183637619	0.025838172	No	
row_69	IL1A	na	52974	-0.10121826082468033	0.041541494	No	
