NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNASE2	na	7	0.17999504506587982	0.02629599	Yes	
row_1	CTSC	na	20	0.16509650647640228	0.050314236	Yes	
row_2	CTSD	na	25	0.16194680333137512	0.07401518	Yes	
row_3	PSAP	na	45	0.15070292353630066	0.095793545	Yes	
row_4	LIPA	na	106	0.13819684088230133	0.114992574	Yes	
row_5	ABCB9	na	186	0.1301508992910385	0.13266593	Yes	
row_6	FUCA1	na	294	0.12096858769655228	0.14848362	Yes	
row_7	CTSG	na	304	0.12033296376466751	0.16598506	Yes	
row_8	ACP5	na	380	0.11684277653694153	0.18177736	Yes	
row_9	ATP6V0D2	na	435	0.11360614001750946	0.19747533	Yes	
row_10	CTSB	na	472	0.11205903440713882	0.21327257	Yes	
row_11	TPP1	na	539	0.10948950052261353	0.22814861	Yes	
row_12	CD68	na	713	0.10439955443143845	0.2403372	Yes	
row_13	PLA2G15	na	838	0.10099110007286072	0.25291395	Yes	
row_14	CTSH	na	864	0.10023752599954605	0.2671753	Yes	
row_15	GAA	na	943	0.09840230643749237	0.28020617	Yes	
row_16	PPT1	na	959	0.09811907261610031	0.29433787	Yes	
row_17	GLA	na	1041	0.09661979228258133	0.30705264	Yes	
row_18	CTSA	na	1094	0.0953867956995964	0.32011232	Yes	
row_19	NAGA	na	1197	0.09332878142595291	0.3319632	Yes	
row_20	ACP2	na	1293	0.09135565161705017	0.34365135	Yes	
row_21	LGMN	na	1375	0.08996263891458511	0.3553889	Yes	
row_22	ATP6AP1	na	1412	0.08946197479963303	0.36786896	Yes	
row_23	M6PR	na	1430	0.08929158747196198	0.38066852	Yes	
row_24	HEXB	na	1446	0.08906500041484833	0.3934711	Yes	
row_25	CD63	na	1597	0.08633960038423538	0.40342557	Yes	
row_26	IDS	na	1606	0.08627482503652573	0.41594547	Yes	
row_27	CTSO	na	1644	0.08576652407646179	0.4278649	Yes	
row_28	GLB1	na	1684	0.0851999819278717	0.4396649	Yes	
row_29	MCOLN1	na	1733	0.08454518765211105	0.45120555	Yes	
row_30	AP1S3	na	1792	0.08385337889194489	0.46246335	Yes	
row_31	CTSZ	na	1894	0.08258212357759476	0.47275478	Yes	
row_32	MANBA	na	2302	0.0778539776802063	0.4768033	Yes	
row_33	LAPTM5	na	2592	0.0749649703502655	0.4825675	Yes	
row_34	LAMP2	na	2655	0.07443308085203171	0.49236986	Yes	
row_35	SMPD1	na	2813	0.0728527382016182	0.50021756	Yes	
row_36	ATP6V0C	na	2816	0.07283546775579453	0.5108734	Yes	
row_37	GALC	na	2839	0.07269167900085449	0.52114546	Yes	
row_38	AP1S2	na	2936	0.07197850197553635	0.52997094	Yes	
row_39	ATP6V0D1	na	3172	0.07009982317686081	0.53600013	Yes	
row_40	ATP6V0B	na	3302	0.069032683968544	0.5437948	Yes	
row_41	NPC1	na	3714	0.06581353396177292	0.5460033	Yes	
row_42	GM2A	na	4162	0.06236875429749489	0.5470533	Yes	
row_43	CTSK	na	4242	0.06178741157054901	0.554691	Yes	
row_44	AP1S1	na	4614	0.05907692015171051	0.5566359	Yes	
row_45	NEU1	na	4752	0.05812978744506836	0.562685	Yes	
row_46	DNASE2B	na	4885	0.057361532002687454	0.56871194	Yes	
row_47	CTSF	na	5008	0.05657958984375	0.5748055	Yes	
row_48	CTNS	na	5208	0.055336035788059235	0.57932013	Yes	
row_49	MAN2B1	na	5226	0.05520102381706238	0.5871153	Yes	
row_50	LAPTM4B	na	5641	0.05255530774593353	0.5873231	Yes	
row_51	SCARB2	na	5821	0.05144575238227844	0.5916294	Yes	
row_52	AP1M1	na	6026	0.05040151625871658	0.595329	Yes	
row_53	SGSH	na	6234	0.04922576621174812	0.5988017	Yes	
row_54	NAGLU	na	6568	0.04745740815997124	0.5997299	Yes	
row_55	NAPSA	na	6879	0.04586363211274147	0.6008413	Yes	
row_56	AP3S1	na	7279	0.04382999241352081	0.6000402	Yes	
row_57	CTSS	na	7309	0.0436643585562706	0.6059242	Yes	
