NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLD4	na	2698	0.07400847971439362	0.039728425	No	
row_1	RPA1	na	3029	0.07126473635435104	0.11903704	No	
row_2	RFC5	na	14980	0.011426053941249847	-0.08359865	No	
row_3	SSBP1	na	15181	0.010764281265437603	-0.07433735	No	
row_4	POLD2	na	16010	0.008138217963278294	-0.07958618	No	
row_5	MSH6	na	17707	0.0031053803395479918	-0.1065696	No	
row_6	PMS2	na	22583	-0.0043308618478477	-0.18963018	No	
row_7	RPA2	na	23168	-0.005883542355149984	-0.19316047	No	
row_8	POLD1	na	26017	-0.013585502281785011	-0.22845498	No	
row_9	PCNA	na	26281	-0.014380550011992455	-0.21600649	No	
row_10	POLD3	na	26707	-0.015555402263998985	-0.20508444	No	
row_11	LIG1	na	32228	-0.030842814594507217	-0.26809362	Yes	
row_12	MSH2	na	33009	-0.03297966346144676	-0.24274601	Yes	
row_13	RFC4	na	33244	-0.03365412726998329	-0.20670803	Yes	
row_14	RPA3	na	33517	-0.03435743972659111	-0.17051625	Yes	
row_15	RFC1	na	34783	-0.03774251416325569	-0.14824805	Yes	
row_16	RFC2	na	36628	-0.04257312789559364	-0.13067967	Yes	
row_17	EXO1	na	36792	-0.043031223118305206	-0.08213501	Yes	
row_18	MLH3	na	38024	-0.04627453163266182	-0.04904116	Yes	
row_19	MSH3	na	43328	-0.06089591234922409	-0.07215804	Yes	
row_20	MLH1	na	47234	-0.07296311855316162	-0.055528723	Yes	
row_21	RFC3	na	47477	-0.07384337484836578	0.028458633	Yes	
row_22	RPA4	na	51961	-0.0940353125333786	0.05984241	Yes	
