NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MLST8	na	507	0.11092247813940048	0.035635132	No	
row_1	EIF4E1B	na	637	0.10640779137611389	0.076291986	No	
row_2	VEGFB	na	1224	0.09288173168897629	0.10320717	No	
row_3	RPS6KB2	na	1238	0.09260865300893784	0.14038944	No	
row_4	RPS6KA1	na	1762	0.08412716537714005	0.1649084	No	
row_5	HIF1A	na	4001	0.06356370449066162	0.15005903	No	
row_6	AKT2	na	7025	0.04511663690209389	0.11353938	No	
row_7	RPS6	na	9534	0.03292689099907875	0.081421584	No	
row_8	EIF4E2	na	9658	0.03244824334979057	0.09230439	No	
row_9	PGF	na	10281	0.02966092899441719	0.093023784	No	
row_10	DDIT4	na	11379	0.02502400241792202	0.08326708	No	
row_11	PIK3R5	na	11413	0.024858376011252403	0.09271324	No	
row_12	ULK3	na	12090	0.022046877071261406	0.08937825	No	
row_13	IGF1	na	13694	0.01604548655450344	0.06682985	No	
row_14	PIK3CD	na	13702	0.015981502830982208	0.07316026	No	
row_15	PIK3R3	na	13890	0.01536552980542183	0.07598187	No	
row_16	EIF4E	na	16807	0.005657754838466644	0.025457056	No	
row_17	EIF4B	na	18142	0.002003573114052415	0.0021069169	No	
row_18	AKT1	na	23629	-0.007166148629039526	-0.09435293	No	
row_19	STK11	na	27046	-0.016503063961863518	-0.14955114	No	
row_20	RHEB	na	27652	-0.01811542920768261	-0.15318872	No	
row_21	PRKAA2	na	27759	-0.01839643344283104	-0.14767554	No	
row_22	VEGFA	na	28299	-0.019950922578573227	-0.14937621	No	
row_23	EIF4EBP1	na	30063	-0.02481062524020672	-0.17128085	No	
row_24	ULK1	na	30893	-0.027070118114352226	-0.17535716	No	
row_25	INS	na	30964	-0.02729753591120243	-0.16559559	No	
row_26	VEGFC	na	32948	-0.032823409885168076	-0.18824708	Yes	
row_27	MAPK1	na	33245	-0.03365760296583176	-0.18000878	Yes	
row_28	STRADA	na	33856	-0.03530086949467659	-0.1767933	Yes	
row_29	VEGFD	na	34221	-0.03626526519656181	-0.16873293	Yes	
row_30	TSC2	na	35355	-0.03929124027490616	-0.17337707	Yes	
row_31	MAPK3	na	35627	-0.040046121925115585	-0.16210479	Yes	
row_32	RPS6KA6	na	36089	-0.04133415222167969	-0.1537531	Yes	
row_33	RPTOR	na	37088	-0.043739862740039825	-0.15415487	Yes	
row_34	ULK2	na	37542	-0.04502265900373459	-0.144168	Yes	
row_35	AKT3	na	38800	-0.04834846407175064	-0.14739837	Yes	
row_36	PIK3CG	na	39795	-0.0510360486805439	-0.14477973	Yes	
row_37	PIK3CB	na	39858	-0.05118050426244736	-0.12522356	Yes	
row_38	PIK3R2	na	40426	-0.052715227007865906	-0.1141932	Yes	
row_39	BRAF	na	40633	-0.05328519642353058	-0.09639458	Yes	
row_40	PDPK1	na	41401	-0.055323611944913864	-0.08793247	Yes	
row_41	TSC1	na	42257	-0.057630736380815506	-0.08013191	Yes	
row_42	PIK3R1	na	42920	-0.059657856822013855	-0.06801696	Yes	
row_43	CAB39	na	44776	-0.06520246714353561	-0.07526781	Yes	
row_44	MTOR	na	45198	-0.06650453805923462	-0.056021836	Yes	
row_45	RPS6KA3	na	46725	-0.07133323699235916	-0.054837186	Yes	
row_46	RPS6KA2	na	47292	-0.07318779826164246	-0.035516948	Yes	
row_47	CAB39L	na	48120	-0.07612291723489761	-0.019737694	Yes	
row_48	PRKAA1	na	49134	-0.07984308153390884	-0.00582393	Yes	
row_49	PIK3CA	na	49464	-0.08113931119441986	0.02100128	Yes	
row_50	RPS6KB1	na	49912	-0.08315130323171616	0.046502355	Yes	
row_51	RICTOR	na	54677	-0.1248936653137207	0.010685203	Yes	
