NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NT5E	na	486	0.11161785572767258	0.10477333	Yes	
row_1	NT5C1A	na	2780	0.0732332095503807	0.13778101	Yes	
row_2	BST1	na	3734	0.06560003012418747	0.187278	Yes	
row_3	NNMT	na	4014	0.06340815871953964	0.2467452	Yes	
row_4	NUDT12	na	7897	0.04067414253950119	0.21786088	No	
row_5	PNP	na	13600	0.016415568068623543	0.13134882	No	
row_6	CD38	na	14344	0.013617686927318573	0.13175532	No	
row_7	NADSYN1	na	16351	0.007066150661557913	0.10263346	No	
row_8	NT5C	na	16437	0.006810529623180628	0.10802452	No	
row_9	NADK	na	16781	0.005726284813135862	0.10764217	No	
row_10	NT5C3A	na	17589	0.003432848956435919	0.09652716	No	
row_11	NMNAT1	na	21727	-0.002038693754002452	0.023715558	No	
row_12	NT5M	na	22716	-0.004704626742750406	0.0106182005	No	
row_13	NAMPT	na	22845	-0.0050185974687337875	0.013407607	No	
row_14	NMNAT3	na	23153	-0.005836323369294405	0.013788875	No	
row_15	ENPP3	na	25709	-0.01272870134562254	-0.019509096	No	
row_16	NNT	na	28906	-0.02165490947663784	-0.05532776	No	
row_17	AOX1	na	31908	-0.029875533655285835	-0.07925218	No	
row_18	NT5C1B	na	36053	-0.04121251776814461	-0.1123313	No	
row_19	QPRT	na	40787	-0.053668659180402756	-0.14339814	No	
row_20	ENPP1	na	45101	-0.06618596613407135	-0.15412605	No	
row_21	NMRK1	na	52003	-0.09427712857723236	-0.18311803	No	
row_22	NT5C2	na	53675	-0.10824230313301086	-0.103229605	No	
row_23	NMNAT2	na	54805	-0.12975886464118958	0.008362841	No	
