NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MGAT1	na	21	0.16394101083278656	0.08540841	Yes	
row_1	DDOST	na	383	0.11663398891687393	0.13990457	Yes	
row_2	MGAT4B	na	821	0.10134517401456833	0.18502398	Yes	
row_3	RPN2	na	1216	0.09298629313707352	0.22654794	Yes	
row_4	ALG8	na	3028	0.07127223163843155	0.23104909	Yes	
row_5	B4GALT2	na	3232	0.06956859678030014	0.26377758	Yes	
row_6	B4GALT3	na	3854	0.06462851911783218	0.2863515	Yes	
row_7	RPN1	na	3953	0.06385394185781479	0.317991	Yes	
row_8	GANAB	na	4644	0.05881136283278465	0.33627138	Yes	
row_9	MAN1B1	na	5372	0.05436037853360176	0.35155258	Yes	
row_10	ALG9	na	5830	0.05142281949520111	0.37018594	Yes	
row_11	ALG12	na	7012	0.045188210904598236	0.37244606	Yes	
row_12	TUSC3	na	7318	0.04362337291240692	0.3897506	Yes	
row_13	MGAT5B	na	8914	0.03574533015489578	0.37957236	Yes	
row_14	B4GALT1	na	9338	0.03372829779982567	0.38956204	Yes	
row_15	ALG14	na	9514	0.03298589959740639	0.40365422	Yes	
row_16	MGAT2	na	9952	0.031098270788788795	0.4120141	Yes	
row_17	MOGS	na	10734	0.027712799608707428	0.41237304	Yes	
row_18	ALG10B	na	12375	0.020939573645591736	0.3936322	No	
row_19	DAD1	na	13185	0.017830517143011093	0.38831276	No	
row_20	ALG10	na	13200	0.017768075689673424	0.3973571	No	
row_21	ALG3	na	15042	0.011276856996119022	0.36992002	No	
row_22	DPAGT1	na	15472	0.009835639037191868	0.36729825	No	
row_23	ALG6	na	16808	0.005655625835061073	0.34608263	No	
row_24	MAN2A2	na	17031	0.004967940039932728	0.34466216	No	
row_25	ALG1	na	18173	0.0018837524112313986	0.32498586	No	
row_26	MAN1A1	na	22154	-0.003123670816421509	0.25454772	No	
row_27	MAN2A1	na	22217	-0.0032841672655194998	0.25514355	No	
row_28	ST6GAL1	na	23430	-0.006601155269891024	0.2366501	No	
row_29	FUT8	na	23435	-0.006606708746403456	0.2400349	No	
row_30	MGAT5	na	25509	-0.012246308848261833	0.20890388	No	
row_31	MAN1C1	na	25575	-0.012378805316984653	0.21420452	No	
row_32	STT3B	na	27506	-0.01777949184179306	0.1885585	No	
row_33	ALG2	na	29505	-0.023321496322751045	0.16458118	No	
row_34	DPM3	na	29610	-0.02358059398829937	0.17503735	No	
row_35	ALG5	na	30355	-0.025652579963207245	0.17498821	No	
row_36	RFT1	na	30407	-0.025796057656407356	0.18756348	No	
row_37	STT3A	na	30488	-0.026000862941145897	0.19972079	No	
row_38	DOLPP1	na	33226	-0.03361411765217781	0.16774714	No	
row_39	DPM1	na	36984	-0.043475441634655	0.12246292	No	
row_40	ALG13	na	37653	-0.0453355498611927	0.13408993	No	
row_41	MAN1A2	na	37803	-0.045733995735645294	0.15532388	No	
row_42	MGAT4A	na	41347	-0.05518018826842308	0.1200399	No	
row_43	MGAT3	na	43677	-0.06195327267050743	0.11028422	No	
row_44	DPM2	na	49739	-0.08241044729948044	0.0436518	No	
row_45	ALG11	na	53642	-0.10784661769866943	0.02942662	No	
