NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GART	na	9311	0.033872365951538086	-0.10619585	No	
row_1	MTHFD1	na	13342	0.017324471846222878	-0.14725825	No	
row_2	SHMT2	na	15335	0.010270306840538979	-0.16441429	No	
row_3	MTFMT	na	15956	0.008309822529554367	-0.16034552	No	
row_4	MTHFD2	na	17208	0.004511756356805563	-0.1746859	No	
row_5	MTHFD1L	na	18621	8.142412989400327E-4	-0.19874378	No	
row_6	MTHFS	na	22745	-0.004790885373950005	-0.26455152	No	
row_7	SHMT1	na	28211	-0.01970076560974121	-0.32721385	Yes	
row_8	DHFR	na	29837	-0.02426106296479702	-0.31198412	Yes	
row_9	ATIC	na	32522	-0.03167619928717613	-0.30227745	Yes	
row_10	ALDH1L1	na	33088	-0.03323396295309067	-0.25135222	Yes	
row_11	TYMS	na	36816	-0.043081581592559814	-0.23953684	Yes	
row_12	MTHFR	na	36981	-0.04345303773880005	-0.16255046	Yes	
row_13	AMT	na	37783	-0.04569311439990997	-0.09297148	Yes	
row_14	FTCD	na	38642	-0.047915730625391006	-0.020334495	Yes	
row_15	MTHFD2L	na	42469	-0.05828908458352089	0.017671235	Yes	
row_16	MTR	na	54274	-0.1162727028131485	0.017972665	Yes	
