NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FUCA1	na	294	0.12096858769655228	0.16096611	Yes	
row_1	HEXB	na	1446	0.08906500041484833	0.26256582	Yes	
row_2	GLB1	na	1684	0.0851999819278717	0.3753949	Yes	
row_3	MANBA	na	2302	0.0778539776802063	0.4712484	Yes	
row_4	NEU1	na	4752	0.05812978744506836	0.5068312	Yes	
row_5	MAN2B1	na	5226	0.05520102381706238	0.5741515	Yes	
row_6	NEU4	na	9603	0.032633550465106964	0.5398098	No	
row_7	GBA	na	12462	0.020648805424571037	0.5164677	No	
row_8	NEU3	na	13855	0.015459170565009117	0.51252466	No	
row_9	HEXA	na	13940	0.0151405343785882	0.531817	No	
row_10	FUCA2	na	15068	0.011190112680196762	0.5268019	No	
row_11	MAN2B2	na	22636	-0.004479730501770973	0.3960055	No	
row_12	MAN2C1	na	25638	-0.012530466541647911	0.3589155	No	
row_13	AGA	na	33403	-0.0340818427503109	0.26524568	No	
row_14	ENGASE	na	35824	-0.0406201146543026	0.27728403	No	
row_15	NEU2	na	41026	-0.05426526069641113	0.25774643	No	
