NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GALNT6	na	311	0.12014302611351013	0.09949724	Yes	
row_1	C1GALT1C1	na	2150	0.07947222143411636	0.13576272	Yes	
row_2	GALNT11	na	2410	0.07678265124559402	0.19826019	Yes	
row_3	GALNTL5	na	2763	0.07339435070753098	0.2561092	Yes	
row_4	GALNT8	na	3567	0.06704187393188477	0.30023503	Yes	
row_5	GALNT14	na	4598	0.05918985232710838	0.33338067	Yes	
row_6	B4GALT5	na	4754	0.05812285840511322	0.38143322	Yes	
row_7	GALNT10	na	6984	0.04529479518532753	0.3807144	Yes	
row_8	GALNT18	na	7337	0.04353214055299759	0.4124334	Yes	
row_9	GALNT1	na	9198	0.034475453197956085	0.4089276	Yes	
row_10	GCNT4	na	10472	0.028873417526483536	0.41114664	Yes	
row_11	GALNTL6	na	11528	0.02438974753022194	0.41338897	Yes	
row_12	GCNT1	na	13309	0.017415853217244148	0.39640397	No	
row_13	C1GALT1	na	13916	0.015262427739799023	0.39878818	No	
row_14	ST6GALNAC1	na	14517	0.012993072159588337	0.39929527	No	
row_15	B3GNT6	na	15284	0.010452361777424812	0.39457402	No	
row_16	GALNT15	na	16566	0.0063969409093260765	0.3769809	No	
row_17	GALNT2	na	16606	0.0062561663798987865	0.38174912	No	
row_18	GCNT3	na	17846	0.002719192299991846	0.36169827	No	
row_19	GALNT3	na	17906	0.002583013381808996	0.36289036	No	
row_20	GALNT5	na	18327	0.0014809641288593411	0.35658276	No	
row_21	ST3GAL2	na	21710	-0.0020088686142116785	0.29711458	No	
row_22	GALNT12	na	25490	-0.012197577394545078	0.23937465	No	
row_23	GALNT13	na	26221	-0.014178048819303513	0.23856518	No	
row_24	GALNT7	na	28288	-0.019922327250242233	0.2185958	No	
row_25	GALNT17	na	28980	-0.021906305104494095	0.22525473	No	
row_26	ST3GAL1	na	29364	-0.022954819723963737	0.23840699	No	
row_27	GALNT16	na	41106	-0.054512422531843185	0.073553436	No	
row_28	GALNT9	na	52751	-0.09942499548196793	-0.05024473	No	
row_29	GALNT4	na	53795	-0.10945480316877365	0.026648358	No	
