NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TKT	na	601	0.10765364021062851	0.07447285	Yes	
row_1	PGM1	na	947	0.0983165055513382	0.14617705	Yes	
row_2	PFKP	na	1439	0.08914858847856522	0.20796958	Yes	
row_3	PRPS1	na	1599	0.0863293707370758	0.27353695	Yes	
row_4	ALDOC	na	1845	0.08320201188325882	0.33506796	Yes	
row_5	FBP2	na	3644	0.06639619916677475	0.35516146	Yes	
row_6	G6PD	na	5545	0.053210534155368805	0.36295432	Yes	
row_7	PFKL	na	5752	0.051892757415771484	0.400368	Yes	
row_8	PGLS	na	5823	0.0514412522315979	0.43988568	Yes	
row_9	TKTL2	na	11548	0.024341803044080734	0.35556623	No	
row_10	FBP1	na	11862	0.023031046614050865	0.36816016	No	
row_11	ALDOA	na	12790	0.019483812153339386	0.36682674	No	
row_12	TKTL1	na	12815	0.01938747987151146	0.38176352	No	
row_13	RPEL1	na	15250	0.010533204302191734	0.3460532	No	
row_14	PGD	na	15372	0.010158112272620201	0.3519166	No	
row_15	PFKM	na	22925	-0.0052278293296694756	0.2193514	No	
row_16	RPE	na	27556	-0.017903370782732964	0.1497314	No	
row_17	GPI	na	27626	-0.018064716830849648	0.16280481	No	
row_18	PRPS1L1	na	31104	-0.027669886127114296	0.12180031	No	
row_19	RPIA	na	32256	-0.030933326110243797	0.12548961	No	
row_20	TALDO1	na	32425	-0.031390927731990814	0.14733647	No	
row_21	RBKS	na	34959	-0.03820687532424927	0.1317749	No	
row_22	DERA	na	36522	-0.042331159114837646	0.13706078	No	
row_23	PRPS2	na	38931	-0.048686541616916656	0.13207076	No	
row_24	ALDOB	na	42544	-0.05853237584233284	0.11309153	No	
row_25	PGM2	na	45912	-0.06877588480710983	0.10666891	No	
row_26	H6PD	na	48931	-0.07903409004211426	0.11469722	No	
