NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AOC2	na	986	0.09762551635503769	0.08651392	No	
row_1	NAA80	na	8602	0.03728749230504036	-0.011454411	No	
row_2	ALDH1A3	na	9931	0.03117217682301998	-0.002168066	No	
row_3	GOT2	na	13481	0.01681680604815483	-0.048426468	No	
row_4	IL4I1	na	16524	0.006532668601721525	-0.096501976	No	
row_5	DDC	na	17862	0.0026970149483531713	-0.117818005	No	
row_6	ALDH3B2	na	27241	-0.017046790570020676	-0.26933283	No	
row_7	MIF	na	28748	-0.021234480664134026	-0.27389142	No	
row_8	MAOB	na	31318	-0.028272800147533417	-0.290166	No	
row_9	AOC3	na	31547	-0.028909308835864067	-0.2633891	No	
row_10	PAH	na	33565	-0.034501705318689346	-0.26301414	No	
row_11	TAT	na	42449	-0.05822376161813736	-0.36155218	Yes	
row_12	PRDX6	na	44031	-0.06304942816495895	-0.32276875	Yes	
row_13	HPD	na	45258	-0.06670891493558884	-0.27364805	Yes	
row_14	GOT1	na	50837	-0.08770815283060074	-0.28084877	Yes	
row_15	MAOA	na	52500	-0.0975765734910965	-0.20662245	Yes	
row_16	ALDH3A1	na	53933	-0.11144917458295822	-0.11340366	Yes	
row_17	ALDH3B1	na	54773	-0.1286552995443344	0.008941219	Yes	
