NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CALM3	na	1139	0.09451375156641006	0.010873752	No	
row_1	DGKI	na	3399	0.0682300478219986	-0.0073082545	No	
row_2	INPP5K	na	4800	0.05774467810988426	-0.013422225	No	
row_3	ITPK1	na	5860	0.05125458538532257	-0.015521553	No	
row_4	PIP4K2B	na	5982	0.05063798651099205	-8.3124056E-4	No	
row_5	CALM2	na	7610	0.04217022657394409	-0.016250635	No	
row_6	CALML3	na	9270	0.03407895937561989	-0.034947444	No	
row_7	PI4KB	na	11011	0.026509011164307594	-0.05763567	No	
row_8	IPPK	na	11310	0.02532435767352581	-0.054591883	No	
row_9	PIK3R5	na	11413	0.024858376011252403	-0.048152216	No	
row_10	CALM1	na	12002	0.022405168041586876	-0.051336072	No	
row_11	CDS1	na	12278	0.02130010537803173	-0.049217243	No	
row_12	PLCD3	na	13562	0.01654941588640213	-0.066945806	No	
row_13	PIK3CD	na	13702	0.015981502830982208	-0.064136066	No	
row_14	PIK3R3	na	13890	0.01536552980542183	-0.062401384	No	
row_15	CDIPT	na	14374	0.013519151136279106	-0.06664538	No	
row_16	ITPR3	na	14583	0.01275273971259594	-0.06616229	No	
row_17	CALML5	na	14712	0.01232401467859745	-0.06437265	No	
row_18	INPPL1	na	15592	0.009421161375939846	-0.07715786	No	
row_19	PIP5K1C	na	15637	0.009264151565730572	-0.07486642	No	
row_20	INPP1	na	16340	0.007106313016265631	-0.08521642	No	
row_21	PLCD1	na	16748	0.005829859059303999	-0.090647005	No	
row_22	PLCZ1	na	17046	0.004925902932882309	-0.09438593	No	
row_23	ITPKA	na	17888	0.002623066771775484	-0.108749114	No	
row_24	PIK3C2G	na	18201	0.0018160928739234805	-0.11379662	No	
row_25	IMPA2	na	21674	-0.0019017389276996255	-0.17607026	No	
row_26	INPP5J	na	21694	-0.0019636922515928745	-0.1757598	No	
row_27	INPP5B	na	22678	-0.004582681693136692	-0.1920425	No	
row_28	INPP4B	na	25346	-0.011829341761767864	-0.23642083	No	
row_29	PLCB3	na	25772	-0.012897374108433723	-0.23982126	No	
row_30	PLCB2	na	26949	-0.01624459959566593	-0.25571275	No	
row_31	PIP5K1A	na	27000	-0.016399672254920006	-0.25115106	No	
row_32	PLCG1	na	27958	-0.018974466249346733	-0.26216444	No	
row_33	PLCB4	na	28699	-0.02109789475798607	-0.26853815	No	
row_34	CDS2	na	29047	-0.02209368720650673	-0.2674593	No	
row_35	INPP5E	na	29056	-0.02211378701031208	-0.26023152	No	
row_36	PRKCB	na	29388	-0.02302488684654236	-0.25855228	No	
row_37	PRKCA	na	29393	-0.023036574944853783	-0.25094438	No	
row_38	PLCD4	na	29764	-0.024048499763011932	-0.24963051	No	
row_39	DGKZ	na	30374	-0.02570437081158161	-0.2520949	No	
row_40	PIP4K2A	na	32134	-0.030524203553795815	-0.27378872	No	
row_41	PLCE1	na	33571	-0.034542765468358994	-0.28829047	Yes	
row_42	DGKG	na	33888	-0.03536943718791008	-0.2822238	Yes	
row_43	PI4KA	na	34243	-0.03633569926023483	-0.27652347	Yes	
row_44	PRKCG	na	34922	-0.03811021149158478	-0.27610195	Yes	
row_45	INPP4A	na	35652	-0.04012080281972885	-0.27593413	Yes	
row_46	PLCB1	na	35807	-0.040561504662036896	-0.26520124	Yes	
row_47	ITPR2	na	36056	-0.041219454258680344	-0.25595212	Yes	
row_48	DGKD	na	36402	-0.04206409305334091	-0.24817888	Yes	
row_49	DGKB	na	37461	-0.044773101806640625	-0.25242102	Yes	
row_50	SYNJ2	na	38379	-0.047230616211891174	-0.2532891	Yes	
row_51	PIP4K2C	na	39499	-0.050152529031038284	-0.25684297	Yes	
row_52	CALML6	na	39536	-0.05025714263319969	-0.24073954	Yes	
row_53	PIK3CG	na	39795	-0.0510360486805439	-0.22839876	Yes	
row_54	PIK3CB	na	39858	-0.05118050426244736	-0.21245858	Yes	
row_55	OCRL	na	40043	-0.05162418633699417	-0.19858094	Yes	
row_56	PIK3R2	na	40426	-0.052715227007865906	-0.18792702	Yes	
row_57	PIP5K1B	na	40655	-0.05334075167775154	-0.1742743	Yes	
row_58	PIK3R1	na	42920	-0.059657856822013855	-0.19540486	Yes	
row_59	IMPA1	na	42978	-0.05984501540660858	-0.17648534	Yes	
row_60	SYNJ1	na	43024	-0.05998971313238144	-0.15730016	Yes	
row_61	INPP5A	na	43305	-0.060815777629613876	-0.14209743	Yes	
row_62	INPP5D	na	44777	-0.06520512700080872	-0.1470105	Yes	
row_63	PIK3C3	na	44870	-0.06547938287258148	-0.12684666	Yes	
row_64	ITPR1	na	45471	-0.0673331469297409	-0.115268975	Yes	
row_65	ITPKB	na	45622	-0.06780552864074707	-0.09538046	Yes	
row_66	DGKQ	na	45687	-0.06802791357040405	-0.0738596	Yes	
row_67	PIK3C2B	na	45708	-0.0680922344326973	-0.051520083	Yes	
row_68	PIK3C2A	na	47343	-0.0733620673418045	-0.05666697	Yes	
row_69	PLCG2	na	47713	-0.07467527687549591	-0.038456053	Yes	
row_70	DGKE	na	48161	-0.07622398436069489	-0.021142041	Yes	
row_71	PIK3CA	na	49464	-0.08113931119441986	-0.017680641	Yes	
row_72	PIKFYVE	na	50474	-0.08587142080068588	-0.0073328204	Yes	
row_73	DGKA	na	51457	-0.09115446358919144	0.0052655637	Yes	
row_74	PTEN	na	51527	-0.09155590832233429	0.034540042	Yes	
row_75	DGKH	na	52779	-0.09959593415260315	0.04507891	Yes	
