NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMOX1	na	93	0.14011789858341217	0.072831124	Yes	
row_1	FTH1	na	877	0.09996494650840759	0.11181515	Yes	
row_2	UGT1A5	na	1488	0.08802720159292221	0.14758311	Yes	
row_3	UROD	na	2286	0.07810858637094498	0.17469037	Yes	
row_4	MMAB	na	2360	0.07730882614850998	0.2144816	Yes	
row_5	FECH	na	2703	0.07391365617513657	0.24759656	Yes	
row_6	HMOX2	na	3215	0.0697023794054985	0.2754119	Yes	
row_7	UGT1A9	na	3858	0.06458664685487747	0.2981347	Yes	
row_8	ALAS1	na	4498	0.059677623212337494	0.31830123	Yes	
row_9	CPOX	na	4659	0.05872572585940361	0.34663463	Yes	
row_10	UGT1A4	na	4812	0.05770110711455345	0.374568	Yes	
row_11	ALAS2	na	5184	0.0554511658847332	0.39733946	Yes	
row_12	FTMT	na	5268	0.05491219088435173	0.42503905	Yes	
row_13	BLVRB	na	5307	0.054706793278455734	0.45344418	Yes	
row_14	UGT1A8	na	7039	0.045048780739307404	0.44605845	Yes	
row_15	GUSB	na	7460	0.04294115677475929	0.46128982	Yes	
row_16	UGT1A10	na	8395	0.038299087435007095	0.46474567	Yes	
row_17	HCCS	na	8762	0.03649715334177017	0.4775279	Yes	
row_18	EARS2	na	10308	0.029525162652134895	0.4652545	No	
row_19	HMBS	na	13170	0.017880210652947426	0.4229598	No	
row_20	UGT2A3	na	15377	0.010103702545166016	0.38838947	No	
row_21	COX10	na	15446	0.009924698621034622	0.3924362	No	
row_22	UGT1A3	na	17919	0.002544088289141655	0.34902924	No	
row_23	UGT1A6	na	21205	-9.098731679841876E-4	0.29003242	No	
row_24	CP	na	21986	-0.0027366538997739553	0.2773645	No	
row_25	BLVRA	na	23805	-0.0076498300768435	0.24851462	No	
row_26	UROS	na	24222	-0.008732577785849571	0.24562621	No	
row_27	UGT2B4	na	25385	-0.011926291510462761	0.2309286	No	
row_28	ALAD	na	27137	-0.016761502251029015	0.20813747	No	
row_29	PPOX	na	28624	-0.020901942625641823	0.19234654	No	
row_30	COX15	na	30886	-0.027057558298110962	0.16579644	No	
row_31	UGT2B11	na	31490	-0.02875981293618679	0.1701726	No	
row_32	UGT2B10	na	33818	-0.03518657758831978	0.1467505	No	
row_33	UGT2B17	na	39227	-0.04951386898756027	0.07516076	No	
row_34	UGT2B15	na	40567	-0.05307818204164505	0.07914292	No	
row_35	UGT2B7	na	40863	-0.053865112364292145	0.102447025	No	
row_36	UGT1A1	na	44409	-0.06411536782979965	0.072355285	No	
row_37	UGT2B28	na	45814	-0.06841646134853363	0.083317444	No	
row_38	UGT1A7	na	49731	-0.08237449824810028	0.056218352	No	
row_39	UGT2A1	na	49825	-0.08274251222610474	0.0985371	No	
