NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LDHB	na	926	0.09888072311878204	0.062008176	Yes	
row_1	ALDH1B1	na	1980	0.081600122153759	0.107950665	Yes	
row_2	LDHA	na	2289	0.07803268730640411	0.16453877	Yes	
row_3	PCCB	na	4120	0.06265866011381149	0.18132477	Yes	
row_4	ALDH7A1	na	7417	0.04316313937306404	0.15603913	Yes	
row_5	ALDH3A2	na	8991	0.03547335043549538	0.15582092	Yes	
row_6	SUCLG1	na	9695	0.032296761870384216	0.16882269	Yes	
row_7	ACAT1	na	10496	0.02874157577753067	0.17723615	Yes	
row_8	SUCLG2P2	na	12018	0.0223564300686121	0.16750985	Yes	
row_9	LDHC	na	12033	0.02228306047618389	0.18500803	Yes	
row_10	ACSS1	na	12632	0.020003193989396095	0.19011717	Yes	
row_11	PCCA	na	15980	0.008242238312959671	0.13608874	No	
row_12	ABAT	na	17355	0.004080166574567556	0.1144641	No	
row_13	HADHA	na	20837	-6.427850166801363E-5	0.051494814	No	
row_14	LDHAL6A	na	23466	-0.006684024818241596	0.00924193	No	
row_15	ALDH2	na	23667	-0.00726665323600173	0.01141003	No	
row_16	ACAT2	na	23701	-0.007359395269304514	0.016675401	No	
row_17	ACSS2	na	23710	-0.007378088776022196	0.02240827	No	
row_18	EHHADH	na	23811	-0.007672596722841263	0.026710175	No	
row_19	ACADM	na	25623	-0.012495151720941067	0.003877759	No	
row_20	ACACA	na	25883	-0.013236649334430695	0.0097336685	No	
row_21	HIBCH	na	28437	-0.02035878226161003	-0.02026751	No	
row_22	ACSS3	na	28879	-0.02159266173839569	-0.011049798	No	
row_23	ECHS1	na	31691	-0.029302606359124184	-0.03859681	No	
row_24	ALDH9A1	na	32604	-0.03192931041121483	-0.02967153	No	
row_25	ALDH6A1	na	32912	-0.03271356225013733	-0.009168477	No	
row_26	ACACB	na	38097	-0.04644845426082611	-0.066017486	No	
row_27	SUCLG2	na	45383	-0.06707270443439484	-0.14447312	No	
row_28	LDHAL6B	na	51459	-0.09116687625646591	-0.1818283	No	
row_29	MLYCD	na	51868	-0.09347470849752426	-0.11474885	No	
row_30	MCEE	na	53682	-0.10835820436477661	-0.06124887	No	
row_31	SUCLA2	na	54039	-0.11288099735975266	0.022231886	No	
