NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMA8	na	220	0.12582236528396606	0.063940294	Yes	
row_1	PSMD3	na	1052	0.09623690694570541	0.10084469	Yes	
row_2	PSMB3	na	1581	0.08658037334680557	0.13802302	Yes	
row_3	PSMB10	na	1859	0.0830526128411293	0.1778422	Yes	
row_4	PSME1	na	2536	0.07553371787071228	0.20637698	Yes	
row_5	PSMB2	na	2757	0.07342123240232468	0.24202895	Yes	
row_6	PSMA7	na	3655	0.06630750745534897	0.261581	Yes	
row_7	PSME3	na	3767	0.06533689796924591	0.29484254	Yes	
row_8	PSMA6	na	3842	0.06472532451152802	0.32844397	Yes	
row_9	PSMD11	na	3878	0.06445915997028351	0.36260793	Yes	
row_10	PSMF1	na	5187	0.055435385555028915	0.3688481	Yes	
row_11	PSMD13	na	5190	0.055423881858587265	0.398732	Yes	
row_12	PSMA1	na	5706	0.05209795758128166	0.4175307	Yes	
row_13	PSMB4	na	5859	0.05125913769006729	0.44245002	Yes	
row_14	PSMB6	na	6062	0.05018019676208496	0.46588144	Yes	
row_15	PSMC1	na	6205	0.0494067519903183	0.48998183	Yes	
row_16	PSMB9	na	6562	0.04750799015164375	0.509182	Yes	
row_17	PSMC4	na	6749	0.04653504490852356	0.5309353	Yes	
row_18	PSMA5	na	7065	0.044919226318597794	0.5494804	Yes	
row_19	PSMB8	na	7404	0.04323086142539978	0.5666975	Yes	
row_20	PSMB5	na	7854	0.04094631224870682	0.5806712	Yes	
row_21	PSMA3	na	7924	0.040561359375715256	0.6013184	Yes	
row_22	PSMC1P4	na	9373	0.03360528126358986	0.59323853	Yes	
row_23	PSMA6P4	na	10074	0.03055531159043312	0.59705746	Yes	
row_24	PSMB1	na	10204	0.030008647590875626	0.6109214	Yes	
row_25	PSMC6	na	11168	0.025864478200674057	0.6074454	No	
row_26	PSMD8	na	12192	0.021655889227986336	0.6006109	No	
row_27	PSMD7	na	13078	0.018288446590304375	0.59445757	No	
row_28	PSMD2	na	14580	0.012775945477187634	0.5741734	No	
row_29	PSMC3	na	15261	0.010519644245505333	0.5675384	No	
row_30	PSME2	na	16318	0.007171633653342724	0.55228716	No	
row_31	PSMA2	na	16664	0.006053534802049398	0.5493076	No	
row_32	IFNG	na	16868	0.005484763067215681	0.5485924	No	
row_33	PSMD1	na	17041	0.004941632971167564	0.5481454	No	
row_34	PSMD12	na	17645	0.003270641667768359	0.5389915	No	
row_35	PSMC2	na	18829	2.94400000711903E-4	0.5177278	No	
row_36	PSMD14	na	21170	-8.402556995861232E-4	0.47580698	No	
row_37	PSMD4	na	21755	-0.002123943530023098	0.4663781	No	
row_38	PSMC5	na	26481	-0.014874693006277084	0.38884434	No	
row_39	PSMB11	na	26794	-0.01580054499208927	0.39172423	No	
row_40	PSMA4	na	26844	-0.015932345762848854	0.39943784	No	
row_41	PSMB7	na	31047	-0.02757776342332363	0.3382326	No	
row_42	PSME4	na	32309	-0.031069226562976837	0.33217	No	
row_43	POMP	na	32576	-0.03181604668498039	0.3445287	No	
row_44	SEM1	na	35063	-0.03849640488624573	0.3202924	No	
row_45	PSMD6	na	50183	-0.08439139276742935	0.09206463	No	
