NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ME2	na	296	0.1206921637058258	0.065034054	Yes	
row_1	ME1	na	910	0.09920559823513031	0.11179623	Yes	
row_2	LDHB	na	926	0.09888072311878204	0.16919677	Yes	
row_3	PCK2	na	1384	0.08982516080141068	0.21331246	Yes	
row_4	ALDH1B1	na	1980	0.081600122153759	0.25013217	Yes	
row_5	LDHA	na	2289	0.07803268730640411	0.29006782	Yes	
row_6	GRHPR	na	2665	0.07435394078493118	0.3266447	Yes	
row_7	ACOT12	na	2725	0.0737290233373642	0.3685788	Yes	
row_8	LDHD	na	7128	0.044559430330991745	0.31486213	Yes	
row_9	ALDH7A1	na	7417	0.04316313937306404	0.33482227	Yes	
row_10	MDH2	na	8663	0.036952607333660126	0.33383194	Yes	
row_11	ALDH3A2	na	8991	0.03547335043549538	0.34860083	Yes	
row_12	GLO1	na	9001	0.035428598523139954	0.36910158	Yes	
row_13	ACAT1	na	10496	0.02874157577753067	0.3588136	Yes	
row_14	PKM	na	10819	0.027345869690179825	0.3689327	Yes	
row_15	ME3	na	10832	0.02730446867644787	0.38464072	Yes	
row_16	PKLR	na	10956	0.026693424209952354	0.39798254	Yes	
row_17	DLD	na	11762	0.023465225473046303	0.39709267	Yes	
row_18	LDHC	na	12033	0.02228306047618389	0.40520042	Yes	
row_19	ACSS1	na	12632	0.020003193989396095	0.40603945	Yes	
row_20	AKR1B1	na	13706	0.01597684994339943	0.3959294	No	
row_21	MDH1	na	22475	-0.003991399891674519	0.23949732	No	
row_22	LDHAL6A	na	23466	-0.006684024818241596	0.22547008	No	
row_23	ALDH2	na	23667	-0.00726665323600173	0.226087	No	
row_24	ACAT2	na	23701	-0.007359395269304514	0.22978185	No	
row_25	ACSS2	na	23710	-0.007378088776022196	0.23394026	No	
row_26	HAGHL	na	24448	-0.009392674081027508	0.22607386	No	
row_27	PCK1	na	24905	-0.010661503300070763	0.22403549	No	
row_28	ACACA	na	25883	-0.013236649334430695	0.21406546	No	
row_29	HAGH	na	27760	-0.018398767337203026	0.19082825	No	
row_30	ACYP2	na	29228	-0.022589776664972305	0.17744112	No	
row_31	ALDH9A1	na	32604	-0.03192931041121483	0.13495357	No	
row_32	DLAT	na	33885	-0.03535821661353111	0.13239959	No	
row_33	PDHA1	na	34096	-0.03587742894887924	0.14952266	No	
row_34	ACACB	na	38097	-0.04644845426082611	0.10418667	No	
row_35	PDHA2	na	38193	-0.046714525669813156	0.12971275	No	
row_36	PC	na	42226	-0.057556599378585815	0.09027617	No	
row_37	ACYP1	na	48522	-0.07765733450651169	0.021587735	No	
row_38	PDHB	na	49468	-0.08115371316671371	0.051809713	No	
row_39	LDHAL6B	na	51459	-0.09116687625646591	0.06895031	No	
