NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENO1	na	3173	0.07009328901767731	-0.031325296	No	
row_1	XRN2	na	3649	0.06634943932294846	-0.01517833	No	
row_2	ENO2	na	5267	0.05492127686738968	-0.0239795	No	
row_3	LSM2	na	7801	0.04123032093048096	-0.054479364	No	
row_4	LSM7	na	8069	0.03984904661774635	-0.044450462	No	
row_5	HSPA9	na	10405	0.029107840731739998	-0.07588606	No	
row_6	LSM6	na	10451	0.028961075469851494	-0.065897666	No	
row_7	EXOSC4	na	11178	0.025825992226600647	-0.06941371	No	
row_8	C1DP2	na	11223	0.02564856968820095	-0.060642872	No	
row_9	LSM3	na	11543	0.0243491493165493	-0.057337843	No	
row_10	EXOSC3	na	11921	0.0227347519248724	-0.05568559	No	
row_11	ENO3	na	12088	0.022061331197619438	-0.050462708	No	
row_12	LSM5	na	12452	0.020670529454946518	-0.0493269	No	
row_13	CNOT2	na	13457	0.016880318522453308	-0.0612154	No	
row_14	CNOT7	na	14620	0.012598692439496517	-0.07756294	No	
row_15	EXOSC7	na	15412	0.010016176849603653	-0.08815394	No	
row_16	MTREX	na	15716	0.009075295180082321	-0.09025678	No	
row_17	EXOSC2	na	16701	0.005965502932667732	-0.10585462	No	
row_18	LSM1	na	17513	0.003643605625256896	-0.11918506	No	
row_19	WDR61	na	17975	0.002395874122157693	-0.12664141	No	
row_20	EXOSC5	na	18249	0.0016922085778787732	-0.130955	No	
row_21	TENT4A	na	21213	-9.188745752908289E-4	-0.18428102	No	
row_22	PNPT1	na	21723	-0.002026163972914219	-0.1927447	No	
row_23	PATL1	na	22247	-0.003360810922458768	-0.2009641	No	
row_24	HSPD1	na	22580	-0.004321028478443623	-0.20536572	No	
row_25	DCP1B	na	23279	-0.006174602545797825	-0.21570523	No	
row_26	C1D	na	24053	-0.008295884355902672	-0.22661193	No	
row_27	EDC4	na	25043	-0.0110253244638443	-0.24041285	No	
row_28	PAPOLA	na	25234	-0.01150218490511179	-0.2395636	No	
row_29	SKIV2L	na	27119	-0.016711808741092682	-0.2674544	No	
row_30	CNOT1	na	27438	-0.017587285488843918	-0.26665366	No	
row_31	CNOT9	na	28371	-0.020176103338599205	-0.27600858	No	
row_32	EDC3	na	28388	-0.020207330584526062	-0.26876035	No	
row_33	EXOSC10	na	28955	-0.021831268444657326	-0.27086848	No	
row_34	EXOSC9	na	33854	-0.035293158143758774	-0.34642035	No	
row_35	CNOT3	na	34240	-0.03632250800728798	-0.3398443	No	
row_36	TTC37	na	34261	-0.036388080567121506	-0.32663253	No	
row_37	LSM4	na	36797	-0.043037693947553635	-0.35649443	No	
row_38	CNOT4	na	38697	-0.048067979514598846	-0.37295997	No	
row_39	ZCCHC7	na	39138	-0.049218494445085526	-0.36256948	No	
row_40	DCP1A	na	39987	-0.05145656690001488	-0.35873422	No	
row_41	CNOT6	na	40200	-0.0520954504609108	-0.34314078	No	
row_42	DCPS	na	40266	-0.052295293658971786	-0.32481015	No	
row_43	CNOT8	na	44850	-0.06542246043682098	-0.38341716	No	
row_44	LSM8	na	45960	-0.06895367801189423	-0.37778234	No	
row_45	DDX6	na	48311	-0.07679019123315811	-0.39170247	Yes	
row_46	CNOT6L	na	49324	-0.08058873564004898	-0.37997043	Yes	
row_47	MPHOSPH6	na	50204	-0.08451520651578903	-0.36436465	Yes	
row_48	EXOSC6	na	50549	-0.08626431971788406	-0.33841595	Yes	
row_49	EXOSC1	na	52037	-0.09446743875741959	-0.33011034	Yes	
row_50	PAPOLB	na	52207	-0.09556841850280762	-0.2975211	Yes	
row_51	PAPOLG	na	52231	-0.09571818262338638	-0.26223153	Yes	
row_52	DCP2	na	52391	-0.09687402099370956	-0.22897415	Yes	
row_53	C1DP3	na	53012	-0.10150757431983948	-0.20233837	Yes	
row_54	XRN1	na	53584	-0.10722339898347855	-0.17268285	Yes	
row_55	CNOT10	na	53761	-0.10906291007995605	-0.1351865	Yes	
row_56	DIS3	na	55062	-0.1423262506723404	-0.10564078	Yes	
row_57	EXOSC8	na	55089	-0.14470504224300385	-0.05213173	Yes	
row_58	PARN	na	55133	-0.14834502339363098	0.0024272294	Yes	
