NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GGT5	na	580	0.10829579830169678	0.08523855	Yes	
row_1	CTH	na	1501	0.08783227205276489	0.14623195	Yes	
row_2	GGT1	na	1688	0.0851820781826973	0.21816921	Yes	
row_3	AHCYL1	na	1839	0.08327436447143555	0.28907165	Yes	
row_4	MARS2	na	3488	0.06753376871347427	0.31894225	Yes	
row_5	AHCY	na	4280	0.061428580433130264	0.35892892	Yes	
row_6	MAT1A	na	6087	0.05009176582098007	0.37052003	Yes	
row_7	METTL6	na	8287	0.03889550268650055	0.36509916	Yes	
row_8	PAPSS2	na	8662	0.036952950060367584	0.3909969	Yes	
row_9	MAT2B	na	8836	0.03617780655622482	0.41984785	Yes	
row_10	GGT7	na	9647	0.03247752785682678	0.43389672	Yes	
row_11	METTL2B	na	10233	0.029832592234015465	0.4496803	Yes	
row_12	MAT2A	na	11210	0.02569390833377838	0.4547273	Yes	
row_13	GGT6	na	14248	0.013989862985908985	0.4121196	No	
row_14	PAPSS1	na	14449	0.0132178645581007	0.4201843	No	
row_15	SEPHS2	na	15356	0.010203242301940918	0.4128041	No	
row_16	LCMT1	na	21467	-0.0014087667223066092	0.30344725	No	
row_17	SEPHS1	na	25806	-0.01297739613801241	0.23639399	No	
row_18	CBS	na	27243	-0.017055680975317955	0.22547762	No	
row_19	SCLY	na	30066	-0.024818621575832367	0.19633484	No	
row_20	LCMT2	na	31635	-0.029170237481594086	0.19373876	No	
row_21	BUD23	na	40472	-0.05282013863325119	0.0804859	No	
row_22	HEMK1	na	44493	-0.0643235370516777	0.06458097	No	
row_23	TRMT11	na	45849	-0.06855706870555878	0.10066004	No	
row_24	AHCYL2	na	48907	-0.07896160334348679	0.11512779	No	
