NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGA3	na	246	0.12397608160972595	0.028373023	Yes	
row_1	BCL2L1	na	420	0.11462058126926422	0.055591412	Yes	
row_2	LAMA1	na	860	0.1002960354089737	0.0741962	Yes	
row_3	TRAF4	na	1218	0.09294689446687698	0.092340745	Yes	
row_4	CDK4	na	1355	0.09022624790668488	0.113769606	Yes	
row_5	IKBKG	na	1483	0.08814225345849991	0.13480969	Yes	
row_6	CDK6	na	1537	0.08720118552446365	0.15694152	Yes	
row_7	RELA	na	2388	0.07704254239797592	0.1619406	Yes	
row_8	CASP9	na	2617	0.07472947984933853	0.17759852	Yes	
row_9	MYC	na	4368	0.06083260476589203	0.16199587	No	
row_10	NOS2	na	4874	0.057399213314056396	0.1680449	No	
row_11	RXRB	na	6486	0.04785880818963051	0.15152542	No	
row_12	AKT2	na	7025	0.04511663690209389	0.15372382	No	
row_13	LAMA5	na	7675	0.04186603054404259	0.15304996	No	
row_14	BIRC2	na	7935	0.04049728438258171	0.1590809	No	
row_15	LAMA3	na	7937	0.04049522057175636	0.16978656	No	
row_16	COL4A4	na	8915	0.03574459254741669	0.16154788	No	
row_17	LAMB2	na	9866	0.031464140862226486	0.15266496	No	
row_18	LAMB3	na	10420	0.029064858332276344	0.15034077	No	
row_19	TRAF3	na	10790	0.027483897283673286	0.15093222	No	
row_20	TP53	na	11306	0.02533186972141266	0.14830808	No	
row_21	PIK3R5	na	11413	0.024858376011252403	0.15297014	No	
row_22	MAX	na	13516	0.016679907217621803	0.11929649	No	
row_23	PIK3CD	na	13702	0.015981502830982208	0.120176226	No	
row_24	PIK3R3	na	13890	0.01536552980542183	0.1208566	No	
row_25	CDK2	na	14315	0.013712665997445583	0.11680455	No	
row_26	COL4A6	na	15341	0.010249675251543522	0.1009446	No	
row_27	RARB	na	16731	0.005875629838556051	0.07733022	No	
row_28	FN1	na	16757	0.005796639248728752	0.078412235	No	
row_29	RXRG	na	17048	0.004919858183711767	0.07445994	No	
row_30	PIAS4	na	18581	9.061573655344546E-4	0.046938237	No	
row_31	NFKBIA	na	21850	-0.0023979211691766977	-0.011646818	No	
row_32	LAMC3	na	21937	-0.0026128466706722975	-0.012513318	No	
row_33	CCND1	na	23061	-0.0056083626113832	-0.031378236	No	
row_34	LAMB1	na	23076	-0.005666465498507023	-0.030131362	No	
row_35	IKBKB	na	23343	-0.006348063703626394	-0.03327053	No	
row_36	AKT1	na	23629	-0.007166148629039526	-0.03653736	No	
row_37	ITGA6	na	23972	-0.008067966438829899	-0.040598284	No	
row_38	LAMC2	na	25761	-0.012865965254604816	-0.069591865	No	
row_39	E2F3	na	25890	-0.013246656395494938	-0.06840345	No	
row_40	CDKN1B	na	26331	-0.014512467198073864	-0.07253365	No	
row_41	ITGB1	na	26635	-0.015342529863119125	-0.07396142	No	
row_42	CKS1B	na	27007	-0.01642250455915928	-0.076335445	No	
row_43	RXRA	na	27787	-0.018472356721758842	-0.08556008	No	
row_44	NFKB1	na	28384	-0.020201092585921288	-0.09101074	No	
row_45	PTGS2	na	29063	-0.02213420160114765	-0.09743542	No	
row_46	ITGA2B	na	29408	-0.023064803332090378	-0.09756119	No	
row_47	APAF1	na	29668	-0.02373863197863102	-0.09596821	No	
row_48	TRAF5	na	31316	-0.028256703168153763	-0.11833099	No	
row_49	BCL2	na	32032	-0.030213037505745888	-0.123286754	No	
row_50	ITGA2	na	32811	-0.032484665513038635	-0.12878259	No	
row_51	SKP2	na	33103	-0.033276062458753586	-0.12524383	No	
row_52	LAMC1	na	35263	-0.039080407470464706	-0.15401837	No	
row_53	TRAF1	na	35955	-0.040983911603689194	-0.15568693	No	
row_54	TRAF6	na	37288	-0.044288624078035355	-0.16809602	No	
row_55	CHUK	na	38041	-0.04632407799363136	-0.16945581	No	
row_56	AKT3	na	38800	-0.04834846407175064	-0.17038824	No	
row_57	RB1	na	39389	-0.04987574368715286	-0.16783561	No	
row_58	FHIT	na	39404	-0.049914419651031494	-0.15487117	No	
row_59	CYCS	na	39615	-0.050495076924562454	-0.14530472	No	
row_60	LAMB4	na	39624	-0.05051243677735329	-0.1320732	No	
row_61	PIK3CG	na	39795	-0.0510360486805439	-0.12163863	No	
row_62	PIK3CB	na	39858	-0.05118050426244736	-0.10920874	No	
row_63	PIK3R2	na	40426	-0.052715227007865906	-0.10552362	No	
row_64	LAMA4	na	40558	-0.05304636061191559	-0.09384998	No	
row_65	BIRC3	na	42315	-0.057818736881017685	-0.110359475	No	
row_66	PIAS2	na	42492	-0.05837192013859749	-0.098091	No	
row_67	PIK3R1	na	42920	-0.059657856822013855	-0.090030394	No	
row_68	CCNE1	na	43405	-0.061119139194488525	-0.08261573	No	
row_69	PIAS3	na	43622	-0.06177346408367157	-0.07017132	No	
row_70	XIAP	na	44172	-0.06344916671514511	-0.06331751	No	
row_71	PTK2	na	44265	-0.06372328102588654	-0.048109714	No	
row_72	CDKN2B	na	44412	-0.06411948055028915	-0.03377555	No	
row_73	ITGAV	na	45552	-0.06760863214731216	-0.03651175	No	
row_74	PIAS1	na	45890	-0.06871657818555832	-0.024421347	No	
row_75	COL4A2	na	47233	-0.0729602500796318	-0.029418955	No	
row_76	LAMA2	na	47708	-0.07466662675142288	-0.01823549	No	
row_77	TRAF2	na	48906	-0.07895414531230927	-0.019018244	No	
row_78	PIK3CA	na	49464	-0.08113931119441986	-0.007624769	No	
row_79	E2F1	na	49559	-0.08152280002832413	0.012260373	No	
row_80	COL4A1	na	49673	-0.08209393173456192	0.031952456	No	
row_81	E2F2	na	50159	-0.08430546522140503	0.045489106	No	
row_82	CCNE2	na	50513	-0.08606748282909393	0.061884362	No	
row_83	PTEN	na	51527	-0.09155590832233429	0.06777305	No	
