NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	USE1	na	562	0.10884761810302734	0.04463521	Yes	
row_1	BNIP1	na	1120	0.09486042708158493	0.08231763	Yes	
row_2	STX11	na	1333	0.0906636193394661	0.12413332	Yes	
row_3	STX1A	na	1714	0.08492597192525864	0.16001795	Yes	
row_4	STX10	na	1764	0.08411107957363129	0.20148538	Yes	
row_5	BET1L	na	1800	0.08372355997562408	0.24301113	Yes	
row_6	YKT6	na	4668	0.058672528713941574	0.22064583	Yes	
row_7	VAMP5	na	4811	0.057705480605363846	0.24713269	Yes	
row_8	VAMP7	na	4834	0.05759989842772484	0.2757391	Yes	
row_9	GOSR2	na	5394	0.05420668050646782	0.29291388	Yes	
row_10	STX3	na	6763	0.04646673798561096	0.29154333	Yes	
row_11	VAMP3	na	6780	0.04639515280723572	0.31461617	Yes	
row_12	STX12	na	7692	0.04176851361989975	0.3191543	Yes	
row_13	STX1B	na	8534	0.03759774565696716	0.32285962	Yes	
row_14	STX2	na	9834	0.03160235658288002	0.31525335	Yes	
row_15	BET1	na	9943	0.031119199469685555	0.32896814	Yes	
row_16	SNAP47	na	10416	0.029080618172883987	0.33506578	Yes	
row_17	STX8	na	10585	0.028374694287776947	0.3463122	Yes	
row_18	VTI1B	na	10848	0.027230607345700264	0.35528052	Yes	
row_19	TSNARE1	na	11876	0.022966546937823296	0.34825048	No	
row_20	STX5	na	14822	0.011923537589609623	0.30093217	No	
row_21	STX4	na	14832	0.01189276110380888	0.3067579	No	
row_22	VAMP8	na	15541	0.00956967007368803	0.29875764	No	
row_23	SNAP25	na	16754	0.005806023254990578	0.2797367	No	
row_24	GOSR1	na	25174	-0.011387159116566181	0.1330355	No	
row_25	SEC22B	na	28970	-0.02187969908118248	0.07534048	No	
row_26	SNAP29	na	30371	-0.025691742077469826	0.06292916	No	
row_27	VAMP2	na	33218	-0.03358818590641022	0.028312715	No	
row_28	STX19	na	33786	-0.03510390222072601	0.035723325	No	
row_29	STX18	na	38383	-0.047244053333997726	-0.023702307	No	
row_30	SNAP23	na	38658	-0.04796181991696358	-0.004511929	No	
row_31	VAMP1	na	39786	-0.05101722851395607	7.725107E-4	No	
row_32	STX7	na	46145	-0.06946595013141632	-0.07936611	No	
row_33	STX16	na	49661	-0.08203645050525665	-0.101699136	No	
row_34	STX17	na	50277	-0.08489280194044113	-0.07008614	No	
row_35	VTI1A	na	51851	-0.09338919073343277	-0.05154037	No	
row_36	VAMP4	na	52788	-0.09968589246273041	-0.01829028	No	
row_37	STX6	na	54692	-0.12542249262332916	0.010411024	No	
