NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA8	na	902	0.0994451716542244	-6.065757E-4	No	
row_1	U2AF2	na	992	0.09756430983543396	0.013232952	No	
row_2	CTNNBL1	na	993	0.09755633026361465	0.028685259	No	
row_3	SRSF9	na	1628	0.08604264259338379	0.030816074	No	
row_4	PLRG1	na	2146	0.07951799035072327	0.034035258	No	
row_5	THOC3	na	2292	0.07798248529434204	0.04375757	No	
row_6	BCAS2	na	2855	0.07258212566375732	0.04506207	No	
row_7	EIF4A3	na	3040	0.07120296359062195	0.05300327	No	
row_8	CHERP	na	3600	0.06676133722066879	0.053440195	No	
row_9	SF3B5	na	3669	0.0661824494600296	0.06268988	No	
row_10	PPIL1	na	5680	0.05227230116724968	0.034517474	No	
row_11	PCBP1	na	5953	0.05077669024467468	0.037627373	No	
row_12	PPIH	na	6060	0.05018748715519905	0.04365441	No	
row_13	ALYREF	na	6061	0.05018438771367073	0.0516033	No	
row_14	PPIE	na	7208	0.04416476562619209	0.037815638	No	
row_15	EFTUD2	na	7437	0.04304630681872368	0.040499046	No	
row_16	LSM2	na	7801	0.04123032093048096	0.040446546	No	
row_17	LSM7	na	8069	0.03984904661774635	0.04191625	No	
row_18	SNRNP40	na	8259	0.03903563693165779	0.044671673	No	
row_19	SRSF8	na	8365	0.038422174751758575	0.048853293	No	
row_20	PHF5A	na	8900	0.035823386162519455	0.044843227	No	
row_21	PQBP1	na	8954	0.03560858219861984	0.049522232	No	
row_22	SNRPD2	na	9427	0.03339863568544388	0.04625249	No	
row_23	TXNL4A	na	9541	0.03288695961236954	0.049412284	No	
row_24	SNRPB	na	9696	0.03229494020342827	0.05173476	No	
row_25	PRPF4	na	9847	0.03155305236577988	0.054012265	No	
row_26	SF3A3	na	10391	0.02915634587407112	0.048782963	No	
row_27	LSM6	na	10451	0.028961075469851494	0.052300233	No	
row_28	PRPF31	na	11112	0.026110814884305	0.044466704	No	
row_29	WBP11	na	11466	0.024642422795295715	0.04196814	No	
row_30	LSM3	na	11543	0.0243491493165493	0.044446606	No	
row_31	SNRPC	na	11767	0.023437725380063057	0.044114817	No	
row_32	SNRPD1	na	12074	0.022114409133791924	0.04206819	No	
row_33	SNRPB2	na	12283	0.021260809153318405	0.04166362	No	
row_34	LSM5	na	12452	0.020670529454946518	0.041890968	No	
row_35	SNU13	na	12744	0.019627369940280914	0.03972244	No	
row_36	NCBP2	na	13432	0.016975194215774536	0.029952234	No	
row_37	SF3B3	na	13843	0.015520174987614155	0.024975048	No	
row_38	DDX23	na	14462	0.013167290017008781	0.015853032	No	
row_39	SRSF6	na	14619	0.012600190006196499	0.015019711	No	
row_40	HNRNPA1P60	na	15148	0.010885083116590977	0.0071683875	No	
row_41	ZMAT2	na	15369	0.01016160286962986	0.0047881496	No	
row_42	SF3B2	na	15768	0.00890419539064169	-0.0010193416	No	
row_43	DHX15	na	16048	0.007989270612597466	-0.0048136474	No	
row_44	SF3A1	na	16406	0.0069023906253278255	-0.010194664	No	
row_45	DHX8	na	16732	0.0058737765066325665	-0.015158275	No	
row_46	SNW1	na	16827	0.005598872434347868	-0.01597617	No	
row_47	CWC15	na	17256	0.004311709199100733	-0.023055142	No	
row_48	PRPF40B	na	17439	0.0038395775482058525	-0.025747607	No	
row_49	PRPF6	na	17546	0.0035550198517739773	-0.027106859	No	
row_50	PRPF19	na	17806	0.0028088288381695747	-0.031359006	No	
row_51	XAB2	na	18242	0.0017009371658787131	-0.038978457	No	
row_52	PUF60	na	18349	0.001434259582310915	-0.040673625	No	
row_53	SNRPG	na	22023	-0.002825600327923894	-0.106837116	No	
row_54	BUD31	na	22748	-0.004809849429875612	-0.119205244	No	
row_55	SRSF3	na	24576	-0.009723315946757793	-0.15079838	No	
row_56	SNRPF	na	24868	-0.010543444193899632	-0.15440574	No	
row_57	SART1	na	25185	-0.011403579264879227	-0.15833025	No	
row_58	MAGOH	na	26772	-0.01573408953845501	-0.1846007	No	
row_59	SRSF7	na	26807	-0.01581679843366146	-0.18271202	No	
row_60	HNRNPM	na	27152	-0.016816219314932823	-0.18628699	No	
row_61	DHX16	na	27732	-0.018298164010047913	-0.19388902	No	
row_62	PRPF38A	na	27962	-0.01898372545838356	-0.19503511	No	
row_63	SNRNP200	na	28930	-0.021738817915320396	-0.20912868	No	
row_64	ISY1	na	29146	-0.02236282452940941	-0.20948565	No	
row_65	RBM22	na	29854	-0.02430780977010727	-0.21845712	No	
row_66	PRPF38B	na	29921	-0.024490952491760254	-0.21577483	No	
row_67	HNRNPC	na	30398	-0.02576352097094059	-0.22032647	No	
row_68	SF3B4	na	30430	-0.02583893947303295	-0.21679594	No	
row_69	SRSF2	na	30459	-0.025925956666469574	-0.21319722	No	
row_70	DHX38	na	30598	-0.026293829083442688	-0.21153513	No	
row_71	PRPF8	na	30662	-0.02646898850798607	-0.20848513	No	
row_72	CRNKL1	na	31454	-0.02865021675825119	-0.21829215	No	
row_73	PRPF40A	na	32799	-0.03245213255286217	-0.23752582	No	
row_74	SNRNP70	na	33781	-0.03509023040533066	-0.2497585	No	
row_75	CDC40	na	33794	-0.0351286455988884	-0.24441198	No	
row_76	SNRNP27	na	33829	-0.03521415591239929	-0.23945087	No	
row_77	DDX5	na	34580	-0.03720540925860405	-0.24715926	No	
row_78	SF3A2	na	34800	-0.037793874740600586	-0.24514459	No	
row_79	HSPA1L	na	34825	-0.037863317877054214	-0.23958252	No	
row_80	LSM4	na	36797	-0.043037693947553635	-0.26851034	No	
row_81	SF3B6	na	37815	-0.04576445743441582	-0.27970517	No	
row_82	HNRNPA1	na	37863	-0.045875389128923416	-0.27329117	No	
row_83	RBM17	na	38179	-0.04667381942272186	-0.27161095	No	
row_84	SRSF4	na	38877	-0.04854445904493332	-0.27656215	No	
row_85	HSPA6	na	40049	-0.051638681441545486	-0.28961936	No	
row_86	HNRNPK	na	41148	-0.05462510883808136	-0.3008797	No	
row_87	HSPA2	na	42514	-0.05843518674373627	-0.31637865	No	
row_88	SMNDC1	na	42641	-0.058832183480262756	-0.30934504	No	
row_89	SNRPE	na	43058	-0.06009678170084953	-0.3073704	No	
row_90	CCDC12	na	43687	-0.06198522821068764	-0.3089413	No	
row_91	THOC1	na	43889	-0.06261434406042099	-0.30266878	No	
row_92	SNRPA	na	44560	-0.06453891098499298	-0.3045969	No	
row_93	RBMX	na	45870	-0.06865915656089783	-0.31746086	Yes	
row_94	LSM8	na	45960	-0.06895367801189423	-0.3081531	Yes	
row_95	SRSF5	na	45987	-0.06902919709682465	-0.2976908	Yes	
row_96	RBM25	na	46491	-0.07055728137493134	-0.29563704	Yes	
row_97	HNRNPA1L2	na	47067	-0.07241422683000565	-0.2945949	Yes	
row_98	TRA2A	na	47341	-0.07333925366401672	-0.2879294	Yes	
row_99	DDX39B	na	47585	-0.07422935962677002	-0.2805788	Yes	
row_100	DDX42	na	47649	-0.07445807009935379	-0.26992762	Yes	
row_101	NCBP1	na	47802	-0.07495243102312088	-0.26081222	Yes	
row_102	SNRPD3	na	48236	-0.07647952437400818	-0.25655094	Yes	
row_103	CDC5L	na	48857	-0.07874327898025513	-0.2553224	Yes	
row_104	HNRNPA3	na	49376	-0.08082705736160278	-0.251914	Yes	
row_105	THOC2	na	49705	-0.0822620689868927	-0.24483259	Yes	
row_106	DDX46	na	49807	-0.08270061016082764	-0.233565	Yes	
row_107	USP39	na	49934	-0.0832749605178833	-0.22265983	Yes	
row_108	TCERG1	na	50235	-0.08465707302093506	-0.21469128	Yes	
row_109	SLU7	na	50267	-0.08486393839120865	-0.20181155	Yes	
row_110	ACIN1	na	51104	-0.08922238647937775	-0.20284043	Yes	
row_111	U2AF1	na	51208	-0.08981700241565704	-0.19048192	Yes	
row_112	SRSF10	na	51729	-0.09269414097070694	-0.18523012	Yes	
row_113	TRA2B	na	51773	-0.09297037869691849	-0.17128402	Yes	
row_114	SYF2	na	51780	-0.09298965334892273	-0.15666385	Yes	
row_115	SF3B1	na	51902	-0.09368453174829483	-0.14401919	Yes	
row_116	SNRPA1	na	52531	-0.09779094904661179	-0.13991871	Yes	
row_117	MAGOHB	na	52942	-0.10096602141857147	-0.13136181	Yes	
row_118	RBM8A	na	53080	-0.10214988887310028	-0.11766645	Yes	
row_119	PRPF3	na	53101	-0.10233958810567856	-0.10181921	Yes	
row_120	PRPF18	na	53577	-0.10713551938533783	-0.093463905	Yes	
row_121	U2SURP	na	54452	-0.119931660592556	-0.090317756	Yes	
row_122	HSPA1B	na	54611	-0.12307141721248627	-0.0736894	Yes	
row_123	HSPA1A	na	54619	-0.12323052436113358	-0.054297414	Yes	
row_124	AQR	na	54643	-0.12399856746196747	-0.035073932	Yes	
row_125	SRSF1	na	54892	-0.13255929946899414	-0.018574936	Yes	
row_126	HNRNPU	na	55215	-0.16009317338466644	9.432373E-4	Yes	
