NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LIPA	na	106	0.13819684088230133	0.16618365	Yes	
row_1	CYP27B1	na	833	0.1011105328798294	0.27603415	Yes	
row_2	TM7SF2	na	1003	0.0973842516541481	0.39143324	Yes	
row_3	NSDHL	na	3611	0.06666619330644608	0.4253411	Yes	
row_4	SQLE	na	5122	0.05582280457019806	0.46591395	Yes	
row_5	DHCR24	na	6965	0.0454106405377388	0.48781255	Yes	
row_6	CYP51A1	na	8597	0.03731169551610947	0.50367856	Yes	
row_7	LSS	na	11372	0.02503952570259571	0.4839293	No	
row_8	MSMO1	na	13325	0.017373578622937202	0.4697328	No	
row_9	EBP	na	14518	0.012985032983124256	0.46395347	No	
row_10	SC5D	na	14865	0.011757288128137589	0.47199267	No	
row_11	DHCR7	na	18064	0.002185999182984233	0.4167704	No	
row_12	FDFT1	na	22449	-0.003907792270183563	0.34217685	No	
row_13	HSD17B7	na	29661	-0.023724572733044624	0.24052186	No	
row_14	CEL	na	33582	-0.03456324338912964	0.21161553	No	
row_15	SOAT1	na	43356	-0.06098182126879692	0.10890995	No	
row_16	SOAT2	na	50831	-0.08767843246459961	0.08028813	No	
