NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1QC	na	288	0.12139828503131866	0.041865245	Yes	
row_1	CTSG	na	304	0.12033296376466751	0.08826181	Yes	
row_2	C1QB	na	690	0.10503595322370529	0.12202449	Yes	
row_3	C1QA	na	856	0.10036277770996094	0.15795936	Yes	
row_4	HLA-DQB1	na	925	0.09889347851276398	0.19508122	Yes	
row_5	GRIN2A	na	1215	0.09298865497112274	0.22591035	Yes	
row_6	HLA-DPA1	na	1514	0.08763239532709122	0.2544992	Yes	
row_7	HLA-DRB1	na	1941	0.08202904462814331	0.2785966	Yes	
row_8	ACTN3	na	2358	0.07731267064809799	0.301046	Yes	
row_9	HLA-DMA	na	2408	0.07682263851165771	0.32995236	Yes	
row_10	IL10	na	2919	0.07211967557668686	0.3486853	Yes	
row_11	HLA-DMB	na	2939	0.07193764299154282	0.37624043	Yes	
row_12	TRIM21	na	3132	0.07039885967969894	0.4000655	Yes	
row_13	HLA-DRA	na	3181	0.07003717124462128	0.42635837	Yes	
row_14	HLA-DQA1	na	4223	0.06193564459681511	0.43152437	Yes	
row_15	FCGR2A	na	4337	0.06105632334947586	0.45315698	Yes	
row_16	CD40	na	4363	0.06085295230150223	0.47630456	Yes	
row_17	FCGR1A	na	4565	0.059360239654779434	0.49568555	Yes	
row_18	HLA-DPB1	na	4587	0.05923929810523987	0.51827973	Yes	
row_19	CD86	na	5000	0.056655317544937134	0.5327901	Yes	
row_20	C7	na	6861	0.04596281796693802	0.51692796	Yes	
row_21	HLA-DOA	na	7263	0.043900903314352036	0.5266911	Yes	
row_22	FCGR3A	na	7586	0.04227030277252197	0.53725266	Yes	
row_23	C1R	na	8134	0.03957065939903259	0.5426921	Yes	
row_24	HLA-DQA2	na	9444	0.033335745334625244	0.5319124	No	
row_25	SNRPB	na	9696	0.03229494020342827	0.5398912	No	
row_26	C2	na	12064	0.022159181535243988	0.50561476	No	
row_27	SNRPD1	na	12074	0.022114409133791924	0.51402825	No	
row_28	HLA-DRB5	na	12909	0.018978506326675415	0.5062835	No	
row_29	SSB	na	13367	0.017236854881048203	0.50469136	No	
row_30	FCGR3B	na	14442	0.013246551156044006	0.49037677	No	
row_31	HLA-DOB	na	15524	0.009637676179409027	0.4745358	No	
row_32	IFNG	na	16868	0.005484763067215681	0.45233893	No	
row_33	C4A	na	17085	0.0048217871226370335	0.45029682	No	
row_34	C6	na	17349	0.0040923720225691795	0.44712058	No	
row_35	CD28	na	17938	0.0025016753934323788	0.43744114	No	
row_36	C8B	na	18495	0.0011308600660413504	0.42780963	No	
row_37	C5	na	18741	5.17998356372118E-4	0.42357317	No	
row_38	GRIN2B	na	22670	-0.004565087147057056	0.35420093	No	
row_39	CD80	na	22908	-0.005192755721509457	0.35192236	No	
row_40	ACTN1	na	23143	-0.005814500153064728	0.34993926	No	
row_41	ACTN4	na	23416	-0.006562258116900921	0.34755787	No	
row_42	FCGR2B	na	26343	-0.014527063816785812	0.3001971	No	
row_43	C1S	na	27778	-0.018447602167725563	0.2813794	No	
row_44	ELANE	na	27900	-0.018831981346011162	0.28649142	No	
row_45	ACTN2	na	28985	-0.021925441920757294	0.27536163	No	
row_46	C4B	na	32290	-0.03102889470756054	0.22755444	No	
row_47	CD40LG	na	33271	-0.03373684361577034	0.22288902	No	
row_48	C9	na	35623	-0.04002715274691582	0.19583204	No	
row_49	C3	na	37611	-0.045231472700834274	0.17738608	No	
row_50	FCGR2C	na	40110	-0.0518340989947319	0.15224572	No	
row_51	C8A	na	45147	-0.06634610891342163	0.08676605	No	
row_52	SNRPD3	na	48236	-0.07647952437400818	0.060497932	No	
row_53	C8G	na	48667	-0.07815476506948471	0.08302036	No	
row_54	TNF	na	51972	-0.09411042183637619	0.05967784	No	
