NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TAS1R1	na	1886	0.08267410099506378	0.0012277631	No	
row_1	CACNA1B	na	5272	0.05490371584892273	-0.03657743	No	
row_2	GNB1	na	5363	0.054401397705078125	-0.014923961	No	
row_3	TAS1R3	na	5600	0.05285006761550903	0.003421436	No	
row_4	GNG13	na	5719	0.052035827189683914	0.023555366	No	
row_5	PRKACA	na	6513	0.0477605015039444	0.029634994	No	
row_6	PDE1A	na	10024	0.030824290588498116	-0.020739814	No	
row_7	TRPM5	na	10063	0.030617551878094673	-0.008323919	No	
row_8	SCNN1B	na	10467	0.02889273688197136	-0.003256515	No	
row_9	ITPR3	na	14583	0.01275273971259594	-0.072322585	No	
row_10	SCNN1G	na	15487	0.009775025770068169	-0.0844926	No	
row_11	PRKACB	na	15984	0.00823516771197319	-0.089950755	No	
row_12	TAS1R2	na	17756	0.002963567618280649	-0.12075582	No	
row_13	TAS2R5	na	18066	0.002183883683755994	-0.12541723	No	
row_14	TAS2R7	na	20941	-3.651120059657842E-4	-0.17731015	No	
row_15	TAS2R16	na	21486	-0.0014833679888397455	-0.18652733	No	
row_16	PRKACG	na	22835	-0.005000471603125334	-0.20879993	No	
row_17	TAS2R50	na	24493	-0.009546968154609203	-0.23472278	No	
row_18	TAS2R9	na	25964	-0.013465744443237782	-0.25558177	No	
row_19	TAS2R46	na	26723	-0.015597417019307613	-0.26263383	No	
row_20	PLCB2	na	26949	-0.01624459959566593	-0.25975612	No	
row_21	TAS2R19	na	28191	-0.019603479653596878	-0.27384093	No	
row_22	ADCY6	na	28969	-0.021877363324165344	-0.2785493	No	
row_23	TAS2R20	na	29660	-0.023720839992165565	-0.28089312	No	
row_24	TAS2R42	na	29723	-0.023936234414577484	-0.27177143	No	
row_25	TAS2R14	na	29979	-0.024616502225399017	-0.2658539	No	
row_26	TAS2R13	na	30065	-0.02481534704566002	-0.2567725	No	
row_27	TAS2R38	na	32272	-0.030988657847046852	-0.28346103	No	
row_28	TAS2R31	na	32409	-0.031335048377513885	-0.27251288	No	
row_29	TAS2R10	na	32696	-0.03219366446137428	-0.26391378	No	
row_30	ADCY4	na	34030	-0.03570276126265526	-0.27277437	No	
row_31	GNAS	na	35456	-0.03954804316163063	-0.28165537	No	
row_32	PRKX	na	35880	-0.04078446701169014	-0.2718606	No	
row_33	TAS2R1	na	41569	-0.05581362172961235	-0.35098454	No	
row_34	GRM4	na	44736	-0.0651078000664711	-0.3804563	Yes	
row_35	ASIC2	na	44848	-0.06541556864976883	-0.35446915	Yes	
row_36	ADCY8	na	45057	-0.06607730686664581	-0.3299555	Yes	
row_37	GNB3	na	45075	-0.0661206841468811	-0.3019642	Yes	
row_38	TAS2R8	na	45213	-0.06654816120862961	-0.2759632	Yes	
row_39	TAS2R43	na	46306	-0.07001598924398422	-0.2657734	Yes	
row_40	GNAT3	na	46348	-0.07014210522174835	-0.2364956	Yes	
row_41	SCNN1A	na	47874	-0.07521570473909378	-0.23192213	Yes	
row_42	TAS2R3	na	48464	-0.07744200527667999	-0.20944452	Yes	
row_43	CACNA1A	na	50341	-0.08521084487438202	-0.20694995	Yes	
row_44	TAS2R40	na	50408	-0.08552497625350952	-0.17154117	Yes	
row_45	TAS2R39	na	50421	-0.08561607450246811	-0.13511544	Yes	
row_46	TAS2R60	na	50908	-0.08818886429071426	-0.10617289	Yes	
row_47	TAS2R4	na	50932	-0.08825470507144928	-0.06881706	Yes	
row_48	KCNB1	na	53560	-0.10683295130729675	-0.07066926	Yes	
row_49	TAS2R41	na	53818	-0.10976473987102509	-0.02834512	Yes	
row_50	GNG3	na	54745	-0.12749981880187988	0.009453675	Yes	
