NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DHDDS	na	2995	0.07148560136556625	0.0816459	Yes	
row_1	MVK	na	4775	0.05796443298459053	0.15960406	Yes	
row_2	HMGCR	na	9994	0.03090689890086651	0.12390116	Yes	
row_3	ACAT1	na	10496	0.02874157577753067	0.16945422	Yes	
row_4	PDSS2	na	11451	0.024736080318689346	0.19919658	Yes	
row_5	IDI2	na	15888	0.008514834567904472	0.13509293	No	
row_6	HMGCS1	na	18529	0.0010472479043528438	0.089302905	No	
row_7	PDSS1	na	21440	-0.0013653336791321635	0.039230756	No	
row_8	FDPS	na	21469	-0.0014193473616614938	0.041421324	No	
row_9	ACAT2	na	23701	-0.007359395269304514	0.015029208	No	
row_10	HMGCS2	na	23724	-0.0074094547890126705	0.028711952	No	
row_11	PMVK	na	27681	-0.01816328428685665	-0.008368498	No	
row_12	IDI1	na	32193	-0.030717452988028526	-0.03163573	No	
row_13	MVD	na	48201	-0.07634827494621277	-0.17624734	No	
row_14	GGPS1	na	55213	-0.16002635657787323	9.774021E-4	No	
