NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WARS2	na	620	0.10699400305747986	0.04730249	Yes	
row_1	ASMT	na	765	0.10309954732656479	0.10109327	Yes	
row_2	HAAO	na	1118	0.09489844739437103	0.1466317	Yes	
row_3	HADH	na	1128	0.09467698633670807	0.19825949	Yes	
row_4	TPH2	na	1287	0.09146594256162643	0.2454329	Yes	
row_5	ALDH1B1	na	1980	0.081600122153759	0.27754062	Yes	
row_6	GCDH	na	3149	0.0702892541885376	0.29484233	Yes	
row_7	CYP1A2	na	3832	0.06481784582138062	0.3179508	Yes	
row_8	OGDHL	na	3951	0.06387452781200409	0.35075524	Yes	
row_9	TPH1	na	4156	0.062410030514001846	0.38120142	Yes	
row_10	ALDH7A1	na	7417	0.04316313937306404	0.3457858	Yes	
row_11	OGDH	na	7714	0.041628699749708176	0.36319828	Yes	
row_12	CAT	na	7746	0.04150332137942314	0.38534036	Yes	
row_13	ACMSD	na	8667	0.03693713620305061	0.388888	Yes	
row_14	TDO2	na	8675	0.03687822446227074	0.4089346	Yes	
row_15	ALDH3A2	na	8991	0.03547335043549538	0.4226359	Yes	
row_16	ACAT1	na	10496	0.02874157577753067	0.41112623	No	
row_17	CYP1A1	na	11867	0.023015083745121956	0.39891025	No	
row_18	IDO1	na	12282	0.021271828562021255	0.40305042	No	
row_19	IL4I1	na	16524	0.006532668601721525	0.3298346	No	
row_20	AOC1	na	16659	0.0060680764727294445	0.33072773	No	
row_21	DDC	na	17862	0.0026970149483531713	0.31043914	No	
row_22	HADHA	na	20837	-6.427850166801363E-5	0.25662577	No	
row_23	ALDH2	na	23667	-0.00726665323600173	0.20937774	No	
row_24	ACAT2	na	23701	-0.007359395269304514	0.212806	No	
row_25	EHHADH	na	23811	-0.007672596722841263	0.21502951	No	
row_26	KMO	na	24287	-0.008916061371564865	0.21130627	No	
row_27	AFMID	na	24952	-0.010778119787573814	0.20517951	No	
row_28	MAOB	na	31318	-0.028272800147533417	0.10539804	No	
row_29	ECHS1	na	31691	-0.029302606359124184	0.11469172	No	
row_30	AOX1	na	31908	-0.029875533655285835	0.12712342	No	
row_31	ALDH9A1	na	32604	-0.03192931041121483	0.1320056	No	
row_32	CYP1B1	na	35696	-0.04022738337516785	0.098044045	No	
row_33	AADAT	na	41476	-0.055536530911922455	0.0237869	No	
row_34	INMT	na	43366	-0.061005767434835434	0.02295558	No	
row_35	AANAT	na	48820	-0.07865855097770691	-0.032750532	No	
row_36	IDO2	na	48905	-0.07894691079854965	0.008914522	No	
row_37	KYNU	na	52365	-0.09664174169301987	-8.5009803E-4	No	
row_38	MAOA	na	52500	-0.0975765734910965	0.05010054	No	
