NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOCS1	na	725	0.10405351966619492	0.036096323	No	
row_1	SOCS3	na	1561	0.08679798990488052	0.06203745	No	
row_2	IRS4	na	1840	0.08327382802963257	0.096398115	No	
row_3	CACNA1B	na	5272	0.05490371584892273	0.06023967	No	
row_4	CACNA1G	na	7294	0.043745338916778564	0.044336215	No	
row_5	PRKCZ	na	7855	0.04094630107283592	0.053565923	No	
row_6	SOCS2	na	9252	0.034245725721120834	0.04448657	No	
row_7	MAFA	na	9694	0.0323038212954998	0.05178269	No	
row_8	HK3	na	10319	0.029455823823809624	0.054417532	No	
row_9	HK2	na	10491	0.028774065896868706	0.06493325	No	
row_10	PKM	na	10819	0.027345869690179825	0.071948305	No	
row_11	PKLR	na	10956	0.026693424209952354	0.082113534	No	
row_12	PIK3R5	na	11413	0.024858376011252403	0.08561575	No	
row_13	IRS1	na	11547	0.024343525990843773	0.09472362	No	
row_14	SLC2A2	na	12809	0.019406400620937347	0.081068836	No	
row_15	PIK3CD	na	13702	0.015981502830982208	0.07247605	No	
row_16	PIK3R3	na	13890	0.01536552980542183	0.07635875	No	
row_17	ADIPOQ	na	14991	0.011403841897845268	0.061833695	No	
row_18	MAPK8	na	18521	0.0010677893878892064	-0.001568006	No	
row_19	GCK	na	23318	-0.0062799351289868355	-0.08544812	No	
row_20	IKBKB	na	23343	-0.006348063703626394	-0.08287962	No	
row_21	CACNA1E	na	26915	-0.016157500445842743	-0.13990329	No	
row_22	CACNA1D	na	28232	-0.019757309928536415	-0.15438807	No	
row_23	KCNJ11	na	28633	-0.02091788873076439	-0.1517359	No	
row_24	SOCS4	na	29411	-0.02307193912565708	-0.15489182	No	
row_25	INS	na	30964	-0.02729753591120243	-0.17008321	No	
row_26	MAPK9	na	32100	-0.030444057658314705	-0.17623459	No	
row_27	PRKCD	na	32225	-0.03083457425236702	-0.16389297	No	
row_28	MAPK10	na	32612	-0.03195933625102043	-0.15576382	No	
row_29	MAPK1	na	33245	-0.03365760296583176	-0.15128608	No	
row_30	MAPK3	na	35627	-0.040046121925115585	-0.1754588	No	
row_31	PDX1	na	38155	-0.04661357030272484	-0.19916855	Yes	
row_32	HK1	na	38220	-0.04679908975958824	-0.17818792	Yes	
row_33	PIK3CG	na	39795	-0.0510360486805439	-0.18254757	Yes	
row_34	PIK3CB	na	39858	-0.05118050426244736	-0.15945798	Yes	
row_35	PIK3R2	na	40426	-0.052715227007865906	-0.14478742	Yes	
row_36	CACNA1C	na	40831	-0.0537894032895565	-0.12665692	Yes	
row_37	PIK3R1	na	42920	-0.059657856822013855	-0.13624582	Yes	
row_38	SLC2A4	na	43487	-0.06136323884129524	-0.11746597	Yes	
row_39	ABCC8	na	43567	-0.06158760190010071	-0.08976088	Yes	
row_40	MTOR	na	45198	-0.06650453805923462	-0.08781683	Yes	
row_41	PRKCE	na	46392	-0.07024877518415451	-0.076187804	Yes	
row_42	PIK3CA	na	49464	-0.08113931119441986	-0.09341551	Yes	
row_43	CACNA1A	na	50341	-0.08521084487438202	-0.06896771	Yes	
row_44	TNF	na	51972	-0.09411042183637619	-0.05396393	Yes	
row_45	INSR	na	53894	-0.1108868345618248	-0.036293343	Yes	
row_46	IRS2	na	54795	-0.12923675775527954	0.008547524	Yes	
