NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRF1	na	659	0.10599404573440552	0.04221891	Yes	
row_1	HLA-DQB1	na	925	0.09889347851276398	0.08794439	Yes	
row_2	HLA-DPA1	na	1514	0.08763239532709122	0.12206809	Yes	
row_3	HLA-C	na	1723	0.08469133079051971	0.16156992	Yes	
row_4	HLA-DRB1	na	1941	0.08202904462814331	0.19954863	Yes	
row_5	HLA-DMA	na	2408	0.07682263851165771	0.23035878	Yes	
row_6	HLA-DMB	na	2939	0.07193764299154282	0.2575144	Yes	
row_7	HLA-DRA	na	3181	0.07003717124462128	0.28893197	Yes	
row_8	HLA-DQA1	na	4223	0.06193564459681511	0.3017249	Yes	
row_9	HLA-B	na	4474	0.059858642518520355	0.3277794	Yes	
row_10	HLA-DPB1	na	4587	0.05923929810523987	0.3560163	Yes	
row_11	CD86	na	5000	0.056655317544937134	0.37750092	Yes	
row_12	IL12A	na	5265	0.054958246648311615	0.40079835	Yes	
row_13	HLA-E	na	5284	0.05483235418796539	0.4284858	Yes	
row_14	HLA-DOA	na	7263	0.043900903314352036	0.4150986	Yes	
row_15	FASLG	na	7896	0.04068027436733246	0.42443815	Yes	
row_16	GZMB	na	8476	0.037863511592149734	0.43329832	Yes	
row_17	HLA-A	na	8592	0.03732425346970558	0.45028466	Yes	
row_18	HLA-DQA2	na	9444	0.033335745334625244	0.45190647	Yes	
row_19	HLA-F	na	11756	0.0234841275960207	0.42205885	No	
row_20	FAS	na	12881	0.019102031365036964	0.41146556	No	
row_21	HLA-DRB5	na	12909	0.018978506326675415	0.42067263	No	
row_22	HLA-DOB	na	15524	0.009637676179409027	0.37826452	No	
row_23	IFNG	na	16868	0.005484763067215681	0.35674882	No	
row_24	GAD1	na	17831	0.0027599127497524023	0.34073982	No	
row_25	CD28	na	17938	0.0025016753934323788	0.34009856	No	
row_26	PTPRN	na	21936	-0.002612230833619833	0.2690591	No	
row_27	HSPD1	na	22580	-0.004321028478443623	0.25962383	No	
row_28	CD80	na	22908	-0.005192755721509457	0.25635576	No	
row_29	HLA-G	na	24237	-0.008765176869928837	0.2367876	No	
row_30	GAD2	na	28381	-0.020196694880723953	0.17208827	No	
row_31	LTA	na	29132	-0.022333482280373573	0.16991794	No	
row_32	ICA1	na	29288	-0.022764189168810844	0.17874138	No	
row_33	INS	na	30964	-0.02729753591120243	0.1623581	No	
row_34	IL2	na	33454	-0.03420943394303322	0.13476689	No	
row_35	PTPRN2	na	42363	-0.0579463355243206	0.00307328	No	
row_36	IL1B	na	44474	-0.06428319960832596	-0.0022909152	No	
row_37	IL12B	na	51680	-0.09236378967761993	-0.08556456	No	
row_38	TNF	na	51972	-0.09411042183637619	-0.04275349	No	
row_39	CPE	na	52724	-0.09917699545621872	-0.005683206	No	
row_40	IL1A	na	52974	-0.10121826082468033	0.0415197	No	
