NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TH	na	313	0.11998382210731506	0.053660654	No	
row_1	AOC2	na	986	0.09762551635503769	0.08976526	No	
row_2	ADH5	na	2096	0.08013460785150528	0.109308206	No	
row_3	ADH1C	na	2504	0.07585836946964264	0.13944809	No	
row_4	METTL6	na	8287	0.03889550268650055	0.053983644	No	
row_5	NAA80	na	8602	0.03728749230504036	0.066735424	No	
row_6	FAH	na	9125	0.03479520231485367	0.0744885	No	
row_7	ALDH1A3	na	9931	0.03117217682301998	0.075325705	No	
row_8	METTL2B	na	10233	0.029832592234015465	0.08462667	No	
row_9	HGD	na	10430	0.0290269423276186	0.09543053	No	
row_10	ADH4	na	10764	0.027587322518229485	0.103041835	No	
row_11	GSTZ1	na	12319	0.021142618730664253	0.085357286	No	
row_12	DBH	na	12467	0.02063458412885666	0.09289865	No	
row_13	GOT2	na	13481	0.01681680604815483	0.08287123	No	
row_14	TYR	na	13795	0.015661196783185005	0.084947586	No	
row_15	ADH7	na	15491	0.00975187961012125	0.05907752	No	
row_16	IL4I1	na	16524	0.006532668601721525	0.043620873	No	
row_17	DDC	na	17862	0.0026970149483531713	0.02074485	No	
row_18	LCMT1	na	21467	-0.0014087667223066092	-0.043817677	No	
row_19	COMT	na	22525	-0.004129895009100437	-0.06091511	No	
row_20	ALDH3B2	na	27241	-0.017046790570020676	-0.13786246	No	
row_21	ADH1B	na	27480	-0.017709238454699516	-0.13341536	No	
row_22	MIF	na	28748	-0.021234480664134026	-0.14585766	No	
row_23	MAOB	na	31318	-0.028272800147533417	-0.17839558	No	
row_24	AOC3	na	31547	-0.028909308835864067	-0.16822931	No	
row_25	LCMT2	na	31635	-0.029170237481594086	-0.15538089	No	
row_26	AOX1	na	31908	-0.029875533655285835	-0.14553358	No	
row_27	ADH6	na	35076	-0.03853283077478409	-0.18382648	No	
row_28	DCT	na	35787	-0.040498748421669006	-0.17665736	No	
row_29	ADH1A	na	37616	-0.045243799686431885	-0.18738607	No	
row_30	TYRP1	na	39863	-0.05119024217128754	-0.20274332	Yes	
row_31	BUD23	na	40472	-0.05282013863325119	-0.18763472	Yes	
row_32	TAT	na	42449	-0.05822376161813736	-0.19462512	Yes	
row_33	HEMK1	na	44493	-0.0643235370516777	-0.19981258	Yes	
row_34	HPD	na	45258	-0.06670891493558884	-0.18066116	Yes	
row_35	TRMT11	na	45849	-0.06855706870555878	-0.15744519	Yes	
row_36	PNMT	na	50569	-0.08636631816625595	-0.20018862	Yes	
row_37	GOT1	na	50837	-0.08770815283060074	-0.16165434	Yes	
row_38	MAOA	na	52500	-0.0975765734910965	-0.14350027	Yes	
row_39	ALDH3A1	na	53933	-0.11144917458295822	-0.11432194	Yes	
row_40	ALDH3B1	na	54773	-0.1286552995443344	-0.065898016	Yes	
row_41	TPO	na	55148	-0.15132391452789307	0.002154787	Yes	
