NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARHGDIA	na	462	0.11242616921663284	0.04654555	No	
row_1	RAB5C	na	559	0.10887899994850159	0.09798614	No	
row_2	CREB3	na	871	0.10009005665779114	0.14124078	No	
row_3	AQP4	na	3418	0.06815075874328613	0.128424	No	
row_4	AVPR2	na	3908	0.06418269127607346	0.15091743	No	
row_5	AQP2	na	4248	0.061718933284282684	0.17492372	No	
row_6	PRKACA	na	6513	0.0477605015039444	0.15725435	No	
row_7	RAB11B	na	12991	0.01867363601922989	0.049089022	No	
row_8	DYNLL1	na	14775	0.012110580690205097	0.022717418	No	
row_9	STX4	na	14832	0.01189276110380888	0.027512059	No	
row_10	PRKACB	na	15984	0.00823516771197319	0.010691914	No	
row_11	CREB5	na	16900	0.005390145815908909	-0.0032443	No	
row_12	NSF	na	17731	0.0030545098707079887	-0.016782105	No	
row_13	DCTN6	na	18840	2.7737245545722544E-4	-0.03671037	No	
row_14	ARHGDIB	na	21244	-9.633288718760014E-4	-0.07975355	No	
row_15	PRKACG	na	22835	-0.005000471603125334	-0.10610303	No	
row_16	ADCY9	na	24862	-0.010521911084651947	-0.13765085	No	
row_17	DCTN2	na	25977	-0.013488042168319225	-0.15123537	No	
row_18	DYNC2H1	na	27189	-0.01690605841577053	-0.16490693	No	
row_19	DCTN5	na	28966	-0.021866269409656525	-0.18638688	No	
row_20	ADCY6	na	28969	-0.021877363324165344	-0.17573771	No	
row_21	DYNC2LI1	na	29373	-0.02298741228878498	-0.17180769	No	
row_22	ADCY3	na	30182	-0.02515632100403309	-0.17415209	No	
row_23	AVP	na	30191	-0.02517521008849144	-0.1620008	No	
row_24	DYNC1I2	na	30222	-0.025266632437705994	-0.15020326	No	
row_25	DYNC1I1	na	32695	-0.032190266996622086	-0.17924395	No	
row_26	VAMP2	na	33218	-0.03358818590641022	-0.17229113	No	
row_27	RAB5B	na	33881	-0.03535396605730057	-0.16701101	No	
row_28	GNAS	na	35456	-0.03954804316163063	-0.17619695	No	
row_29	DYNC1H1	na	35806	-0.04055940359830856	-0.16270652	No	
row_30	DYNC1LI1	na	35876	-0.04077834263443947	-0.14403893	No	
row_31	PRKX	na	35880	-0.04078446701169014	-0.124173194	No	
row_32	CREB3L1	na	36962	-0.043400950729846954	-0.12255001	No	
row_33	DYNLL2	na	38833	-0.04843122512102127	-0.1327572	No	
row_34	DCTN1	na	41007	-0.054223425686359406	-0.14562209	No	
row_35	CREB1	na	44308	-0.06385880708694458	-0.17418863	No	
row_36	RAB11A	na	49031	-0.0794033333659172	-0.22091255	Yes	
row_37	CREB3L2	na	50208	-0.08453567326068878	-0.2009185	Yes	
row_38	DCTN4	na	50486	-0.08592940121889114	-0.16396458	Yes	
row_39	RAB5A	na	51649	-0.09222181141376495	-0.13996294	Yes	
row_40	CREB3L4	na	51862	-0.09345341473817825	-0.09815709	Yes	
row_41	DYNC1LI2	na	52059	-0.09463333338499069	-0.055485222	Yes	
row_42	CREB3L3	na	53461	-0.1060127392411232	-0.029075608	Yes	
row_43	AQP3	na	54719	-0.12644903361797333	0.009923113	Yes	
