NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRF1	na	659	0.10599404573440552	0.023467382	Yes	
row_1	HLA-DQB1	na	925	0.09889347851276398	0.051700603	Yes	
row_2	MYH6	na	1156	0.09405824542045593	0.078952745	Yes	
row_3	HLA-DPA1	na	1514	0.08763239532709122	0.10175769	Yes	
row_4	HLA-C	na	1723	0.08469133079051971	0.1262795	Yes	
row_5	HLA-DRB1	na	1941	0.08202904462814331	0.14974897	Yes	
row_6	HLA-DMA	na	2408	0.07682263851165771	0.16696844	Yes	
row_7	CASP9	na	2617	0.07472947984933853	0.18816262	Yes	
row_8	HLA-DMB	na	2939	0.07193764299154282	0.20637715	Yes	
row_9	HLA-DRA	na	3181	0.07003717124462128	0.22540611	Yes	
row_10	ITGB2	na	3502	0.06745035201311111	0.24213983	Yes	
row_11	ACTG1	na	3548	0.06713933497667313	0.26375154	Yes	
row_12	MYH15	na	3971	0.06371986865997314	0.2773913	Yes	
row_13	HLA-DQA1	na	4223	0.06193564459681511	0.29353294	Yes	
row_14	CD40	na	4363	0.06085295230150223	0.31134188	Yes	
row_15	HLA-B	na	4474	0.059858642518520355	0.32934403	Yes	
row_16	HLA-DPB1	na	4587	0.05923929810523987	0.3471031	Yes	
row_17	CD86	na	5000	0.056655317544937134	0.35856423	Yes	
row_18	HLA-E	na	5284	0.05483235418796539	0.37175336	Yes	
row_19	ICAM1	na	5293	0.05478616803884506	0.38990897	Yes	
row_20	RAC2	na	5310	0.05469382926821709	0.4078888	Yes	
row_21	RAC3	na	5872	0.05120766907930374	0.41483095	Yes	
row_22	CD55	na	6173	0.049632616341114044	0.42597523	Yes	
row_23	HLA-DOA	na	7263	0.043900903314352036	0.42091143	No	
row_24	HLA-A	na	8592	0.03732425346970558	0.4093211	No	
row_25	CAV1	na	9409	0.03346119448542595	0.4057157	No	
row_26	HLA-DQA2	na	9444	0.033335745334625244	0.4162351	No	
row_27	DAG1	na	10071	0.03056304343044758	0.41510367	No	
row_28	EIF4G2	na	10579	0.02838992513716221	0.4154021	No	
row_29	EIF4G1	na	10742	0.02766283042728901	0.42170772	No	
row_30	CXADR	na	11580	0.0242226030677557	0.4146359	No	
row_31	HLA-F	na	11756	0.0234841275960207	0.41931012	No	
row_32	HLA-DRB5	na	12909	0.018978506326675415	0.40478006	No	
row_33	HLA-DOB	na	15524	0.009637676179409027	0.3606443	No	
row_34	MYH7	na	15950	0.008317485451698303	0.35572338	No	
row_35	ACTB	na	16618	0.00621456652879715	0.34571594	No	
row_36	MYH1	na	17020	0.005004772450774908	0.3401232	No	
row_37	MYH13	na	17207	0.004511761479079723	0.33826074	No	
row_38	CD28	na	17938	0.0025016753934323788	0.32587177	No	
row_39	ITGAL	na	22007	-0.0027821953408420086	0.25310546	No	
row_40	DMD	na	22058	-0.0029057736974209547	0.25317028	No	
row_41	CD80	na	22908	-0.005192755721509457	0.23952442	No	
row_42	CCND1	na	23061	-0.0056083626113832	0.2386442	No	
row_43	BID	na	23117	-0.0057514444924890995	0.23956901	No	
row_44	SGCA	na	23240	-0.006062645930796862	0.239384	No	
row_45	MYH8	na	23329	-0.006310040131211281	0.23989758	No	
row_46	CASP8	na	23426	-0.006589408498257399	0.24035954	No	
row_47	HLA-G	na	24237	-0.008765176869928837	0.22861351	No	
row_48	MYH9	na	24697	-0.010068442672491074	0.22366151	No	
row_49	CASP3	na	24855	-0.010504855774343014	0.2243263	No	
row_50	MYH3	na	27488	-0.017725152894854546	0.18256597	No	
row_51	ABL1	na	29960	-0.02457238920032978	0.14600953	No	
row_52	CD40LG	na	33271	-0.03373684361577034	0.09731508	No	
row_53	EIF4G3	na	34301	-0.036474328488111496	0.090857506	No	
row_54	MYH14	na	34781	-0.03773804381489754	0.09478582	No	
row_55	MYH4	na	35540	-0.03978902846574783	0.09434489	No	
row_56	SGCB	na	36323	-0.041912741959095	0.09417857	No	
row_57	CYCS	na	39615	-0.050495076924562454	0.051426165	No	
row_58	MYH2	na	39676	-0.05065491050481796	0.06725975	No	
row_59	SGCG	na	41888	-0.05667997896671295	0.04613854	No	
row_60	SGCD	na	42374	-0.057969409972429276	0.056716155	No	
row_61	MYH10	na	45167	-0.06641121208667755	0.02832016	No	
row_62	ABL2	na	46550	-0.07077549397945404	0.026925465	No	
row_63	RAC1	na	46582	-0.07089586555957794	0.050045617	No	
row_64	LAMA2	na	47708	-0.07466662675142288	0.054606497	No	
row_65	MYH11	na	48121	-0.07612302154302597	0.07257053	No	
row_66	MYH7B	na	48701	-0.07827814668416977	0.08822909	No	
row_67	FYN	na	51576	-0.0919126570224762	0.06686598	No	
