NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FZD2	na	767	0.10292182117700577	0.0030653581	No	
row_1	PPP2CB	na	789	0.10231395810842514	0.019565023	No	
row_2	WNT10B	na	1074	0.09574222564697266	0.030208847	No	
row_3	CAMK2D	na	1363	0.09012041985988617	0.03985256	No	
row_4	CTNNBIP1	na	1518	0.08754760026931763	0.051502936	No	
row_5	WNT7B	na	1639	0.08583267033100128	0.063487224	No	
row_6	APC2	na	1671	0.08535534143447876	0.07700748	No	
row_7	SFRP2	na	1719	0.08472765237092972	0.09013388	No	
row_8	FOSL1	na	2345	0.07744012027978897	0.09157134	No	
row_9	MMP7	na	2523	0.07565426081418991	0.100842156	No	
row_10	SFRP5	na	3238	0.06952878832817078	0.09935961	No	
row_11	SKP1	na	4270	0.06153705716133118	0.090807214	No	
row_12	MYC	na	4368	0.06083260476589203	0.09908406	No	
row_13	RBX1	na	5193	0.05541696026921272	0.0932775	No	
row_14	RAC2	na	5310	0.05469382926821709	0.10019679	No	
row_15	RAC3	na	5872	0.05120766907930374	0.09846733	No	
row_16	PPP2CA	na	5899	0.05106548219919205	0.10642085	No	
row_17	PRKACA	na	6513	0.0477605015039444	0.10317921	No	
row_18	PORCN	na	6577	0.04742005467414856	0.10985999	No	
row_19	FZD5	na	7116	0.04462169483304024	0.1074612	No	
row_20	PPARD	na	8561	0.037452563643455505	0.087442115	No	
row_21	WNT6	na	8684	0.03682148456573486	0.09130382	No	
row_22	CSNK1E	na	9086	0.03498286381363869	0.089800306	No	
row_23	PPP3CC	na	10404	0.029110129922628403	0.07070896	No	
row_24	CAMK2A	na	10804	0.027416182681918144	0.06799331	No	
row_25	DKK1	na	10977	0.026629386469721794	0.06926629	No	
row_26	VANGL1	na	10984	0.026602521538734436	0.07354655	No	
row_27	TP53	na	11306	0.02533186972141266	0.07190216	No	
row_28	DVL1	na	11383	0.025016499683260918	0.07465074	No	
row_29	WNT3	na	11848	0.023097535595297813	0.07004328	No	
row_30	DVL2	na	12404	0.020830892026424408	0.06341084	No	
row_31	FZD6	na	12474	0.020601613447070122	0.06555802	No	
row_32	DVL3	na	12520	0.020408909767866135	0.06810883	No	
row_33	TBL1Y	na	12616	0.02006407268345356	0.06969561	No	
row_34	WNT5B	na	12938	0.018894800916314125	0.06698917	No	
row_35	SIAH1	na	12968	0.018765950575470924	0.069559194	No	
row_36	RHOA	na	12980	0.01870686188340187	0.07244605	No	
row_37	PPP2R5B	na	13107	0.01817433536052704	0.07315861	No	
row_38	WNT1	na	13126	0.018097732216119766	0.07581796	No	
row_39	TCF7L1	na	13386	0.017167091369628906	0.073951334	No	
row_40	CCND3	na	13781	0.015724152326583862	0.069397345	No	
row_41	CHP2	na	13868	0.015416691079735756	0.070380636	No	
row_42	RUVBL1	na	13998	0.014930329285562038	0.07050354	No	
row_43	NLK	na	14289	0.013798745349049568	0.06751874	No	
row_44	WNT5A	na	14765	0.012141055427491665	0.060904007	No	
row_45	WNT8B	na	14911	0.0115966210141778	0.060186602	No	
row_46	WNT16	na	15032	0.011298734694719315	0.05987362	No	
row_47	PPP2R1A	na	15663	0.009193726815283298	0.04996046	No	
row_48	PRKACB	na	15984	0.00823516771197319	0.045513444	No	
row_49	ROCK1	na	16441	0.00678792642429471	0.038360216	No	
row_50	CCND2	na	16755	0.0058032674714922905	0.033638965	No	
row_51	SMAD3	na	16940	0.005270366091281176	0.031170227	No	
row_52	FZD7	na	16974	0.0051496331579983234	0.031421144	No	
row_53	CSNK2A2	na	16978	0.005128529388457537	0.032212865	No	
row_54	PPP2R5A	na	18030	0.0022679781541228294	0.013518875	No	
row_55	MAPK8	na	18521	0.0010677893878892064	0.0048050308	No	
row_56	WNT9A	na	21053	-5.929078324697912E-4	-0.04101681	No	
row_57	CXXC4	na	21154	-8.041178807616234E-4	-0.042698428	No	
row_58	PPP2R5C	na	21708	-0.0020044459961354733	-0.052400734	No	
row_59	PPP3CA	na	21719	-0.002022412372753024	-0.05224849	No	
row_60	DAAM2	na	22593	-0.004357099067419767	-0.067368366	No	
row_61	PRICKLE1	na	22776	-0.004856223706156015	-0.069869146	No	
row_62	PRKACG	na	22835	-0.005000471603125334	-0.07009641	No	
row_63	SMAD4	na	22993	-0.005403285846114159	-0.072053365	No	
row_64	CCND1	na	23061	-0.0056083626113832	-0.07234362	No	
row_65	NFATC1	na	23136	-0.005795865319669247	-0.07272994	No	
