NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION	Details ...	59	-0.42034787	-1.4184657	0.12863071	1.0	0.871	6958	tags=24%, list=13%, signal=27%	
KEGG_TASTE_TRANSDUCTION	KEGG_TASTE_TRANSDUCTION	Details ...	51	-0.40832195	-1.3646343	0.11133603	1.0	0.91	10533	tags=33%, list=19%, signal=41%	
KEGG_DORSO_VENTRAL_AXIS_FORMATION	KEGG_DORSO_VENTRAL_AXIS_FORMATION	Details ...	24	-0.3829186	-1.1790123	0.23137255	1.0	0.988	22024	tags=58%, list=40%, signal=97%	
KEGG_OLFACTORY_TRANSDUCTION	KEGG_OLFACTORY_TRANSDUCTION	Details ...	385	-0.2693112	-1.1435182	0.24844721	1.0	0.993	15733	tags=31%, list=28%, signal=43%	
KEGG_PHENYLALANINE_METABOLISM	KEGG_PHENYLALANINE_METABOLISM	Details ...	18	-0.42379242	-1.1130701	0.3263158	1.0	0.995	12820	tags=39%, list=23%, signal=51%	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	Details ...	76	-0.29980698	-1.0928142	0.3484252	1.0	0.998	21698	tags=46%, list=39%, signal=76%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	127	-0.32833603	-1.045523	0.38922155	1.0	0.999	9399	tags=27%, list=17%, signal=32%	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM	Details ...	54	-0.29288262	-1.0341212	0.40319362	1.0	0.999	16890	tags=33%, list=31%, signal=48%	
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	Details ...	42	-0.28927907	-0.99638754	0.44444445	1.0	1.0	15474	tags=33%, list=28%, signal=46%	
KEGG_ONE_CARBON_POOL_BY_FOLATE	KEGG_ONE_CARBON_POOL_BY_FOLATE	Details ...	17	-0.36346373	-0.9940711	0.46526316	1.0	1.0	27058	tags=59%, list=49%, signal=115%	
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	Details ...	73	-0.2821796	-0.99149483	0.4612326	1.0	1.0	19642	tags=41%, list=36%, signal=64%	
KEGG_HISTIDINE_METABOLISM	KEGG_HISTIDINE_METABOLISM	Details ...	29	-0.30554795	-0.9450572	0.5200803	1.0	1.0	4254	tags=17%, list=8%, signal=19%	
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	Details ...	24	-0.2790446	-0.9223175	0.57556933	1.0	1.0	3266	tags=13%, list=6%, signal=13%	
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	Details ...	44	-0.25969493	-0.90355116	0.62671906	1.0	1.0	6238	tags=18%, list=11%, signal=20%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	Details ...	28	-0.303351	-0.836649	0.614433	1.0	1.0	22563	tags=50%, list=41%, signal=84%	
KEGG_TYROSINE_METABOLISM	KEGG_TYROSINE_METABOLISM	Details ...	42	-0.24289408	-0.8085396	0.73498964	1.0	1.0	4700	tags=14%, list=9%, signal=16%	
KEGG_TYPE_II_DIABETES_MELLITUS	KEGG_TYPE_II_DIABETES_MELLITUS	Details ...	47	-0.22122039	-0.7916129	0.79640716	1.0	1.0	17114	tags=34%, list=31%, signal=49%	
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	Details ...	15	-0.32133946	-0.7783504	0.6950673	1.0	1.0	7068	tags=13%, list=13%, signal=15%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	Details ...	23	-0.305003	-0.77765363	0.686	1.0	1.0	23041	tags=52%, list=42%, signal=89%	
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	Details ...	19	-0.2593522	-0.7721757	0.78119004	1.0	1.0	14362	tags=26%, list=26%, signal=36%	
KEGG_MTOR_SIGNALING_PATHWAY	KEGG_MTOR_SIGNALING_PATHWAY	Details ...	52	-0.20150909	-0.75775844	0.86247545	1.0	1.0	22321	tags=50%, list=40%, signal=84%	
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM	Details ...	32	-0.25445575	-0.75573933	0.73140496	1.0	1.0	3810	tags=13%, list=7%, signal=13%	
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY	Details ...	177	-0.17622015	-0.72734	0.90160644	1.0	1.0	6031	tags=12%, list=11%, signal=13%	
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY	Details ...	56	-0.19866294	-0.6935676	0.90606654	1.0	1.0	9933	tags=18%, list=18%, signal=22%	
KEGG_SMALL_CELL_LUNG_CANCER	KEGG_SMALL_CELL_LUNG_CANCER	Details ...	84	-0.18319167	-0.68964684	0.8873239	1.0	1.0	16469	tags=33%, list=30%, signal=47%	
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	Details ...	79	-0.1798811	-0.68318945	0.85388994	1.0	1.0	16469	tags=28%, list=30%, signal=40%	
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER	Details ...	62	-0.1777546	-0.674266	0.9243028	1.0	1.0	23430	tags=48%, list=42%, signal=84%	
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	Details ...	55	-0.1946471	-0.66643083	0.8989899	1.0	1.0	9933	tags=18%, list=18%, signal=22%	
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY	Details ...	150	-0.1602223	-0.660524	0.9585921	1.0	1.0	19592	tags=31%, list=35%, signal=47%	
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	Details ...	77	-0.16760805	-0.66012734	0.942	1.0	1.0	5090	tags=10%, list=9%, signal=11%	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION		114	-0.16664624	-0.6585547	0.9304175	1.0	1.0	27037	tags=53%, list=49%, signal=103%	
