NAME	TITLE	SCORE	
FTLP3	na	0.21499303	
AL513423.1	na	0.20158397	
AL450346.1	na	0.19382767	
RPS29P10	na	0.1900916	
RPL23AP91	na	0.18666518	
HNRNPCP10	na	0.18294966	
AL603825.1	na	0.18197714	
DNASE2	na	0.17999505	
STEAP3	na	0.1785792	
FTLP1	na	0.17814973	
RPL35P8	na	0.17754848	
AC021006.1	na	0.1745703	
AL591926.8	na	0.17414252	
INTS13	na	0.17343803	
TMED1	na	0.17202811	
RPL29P30	na	0.17127585	
TSPAN17	na	0.16968839	
AC125807.1	na	0.16945177	
AL359092.2	na	0.16877276	
ADH5P4	na	0.16794643	
CTSC	na	0.1650965	
MGAT1	na	0.16394101	
VWA1	na	0.16389307	
AL133445.1	na	0.16263227	
FAUP1	na	0.16223274	
CTSD	na	0.1619468	
AC087385.2	na	0.16145726	
AC024293.1	na	0.15890025	
CD59	na	0.1571414	
NPM1P45	na	0.15599427	
RPLP0P6	na	0.15461561	
EIF4A2P4	na	0.15440919	
AC143336.1	na	0.15342848	
AC104297.1	na	0.1533359	
NACA4P	na	0.15318862	
MED21	na	0.1531409	
RPL22P22	na	0.15288094	
TM7SF3	na	0.15238717	
RPL5P1	na	0.15224552	
EEF1A1P5	na	0.15193307	
AC016956.1	na	0.15146841	
RPS3AP49	na	0.15111822	
ECSIT	na	0.15094635	
SYS1	na	0.15086721	
AL591441.2	na	0.15073806	
PSAP	na	0.15070292	
AL355598.1	na	0.14997765	
AL512326.2	na	0.14977811	
LINC01506	na	0.14977328	
FTLP2	na	0.1497203	
OR4L1	na	0.14931549	
YARS2	na	0.14929903	
RPL10	na	0.14908598	
AC113404.1	na	0.1489511	
FTLP17	na	0.14888662	
RPL12P26	na	0.14872374	
AC016596.1	na	0.14847775	
ALPL	na	0.14829066	
AL359263.1	na	0.14818066	
FTLP5	na	0.14777724	
OSTCP4	na	0.14638683	
FTH1P20	na	0.14615346	
FTH1P8	na	0.14609964	
ZBTB45P1	na	0.14550066	
FCGRT	na	0.1452834	
