ID	MALAT1	Type
TCGA-38-4626-11A-01R-1758-07	17.87808	Normal
TCGA-44-6148-11A-01R-1858-07	16.39644	Normal
TCGA-44-5645-11A-01R-1628-07	9.894503	Normal
TCGA-44-2668-11A-01R-1758-07	14.17211	Normal
TCGA-91-6829-11A-01R-1858-07	42.34262	Normal
TCGA-91-6849-11A-01R-1949-07	32.63913	Normal
TCGA-50-5935-11A-01R-1858-07	13.18587	Normal
TCGA-44-6146-11A-01R-1858-07	22.27836	Normal
TCGA-49-6744-11A-01R-1858-07	17.69497	Normal
TCGA-49-6745-11A-01R-1858-07	5.340374	Normal
TCGA-91-6836-11A-01R-1858-07	35.48478	Normal
TCGA-55-6968-11A-01R-1949-07	23.10178	Normal
TCGA-44-6778-11A-01R-1858-07	49.63967	Normal
TCGA-55-6982-11A-01R-1949-07	28.67239	Normal
TCGA-55-6984-11A-01R-1949-07	26.25087	Normal
TCGA-55-6981-11A-01R-1949-07	38.27611	Normal
TCGA-91-6835-11A-01R-1858-07	30.83827	Normal
TCGA-44-6776-11A-01R-1858-07	30.7788	Normal
TCGA-44-2665-11A-01R-1758-07	8.34465	Normal
TCGA-91-6847-11A-01R-1949-07	11.95475	Normal
TCGA-44-3396-11A-01R-1758-07	13.53546	Normal
TCGA-50-5931-11A-01R-1858-07	21.98195	Normal
TCGA-44-6145-11A-01R-1858-07	25.7681	Normal
TCGA-55-6970-11A-01R-1949-07	34.44726	Normal
TCGA-91-6828-11A-01R-1858-07	25.75804	Normal
TCGA-49-6742-11A-01R-1858-07	16.39158	Normal
TCGA-38-4627-11A-01R-1758-07	3.237689	Normal
TCGA-49-4512-11A-01R-1858-07	20.74681	Normal
TCGA-55-6983-11A-01R-1949-07	22.0547	Normal
TCGA-49-6761-11A-01R-1949-07	15.18795	Normal
TCGA-55-6975-11A-01R-1949-07	32.664	Normal
TCGA-44-2655-11A-01R-1758-07	7.389127	Normal
TCGA-44-2657-11A-01R-1758-07	12.8161	Normal
TCGA-50-5936-11A-01R-1628-07	18.23779	Normal
TCGA-50-5932-11A-01R-1755-07	20.73656	Normal
TCGA-44-2661-11A-01R-1758-07	8.363411	Normal
TCGA-49-6743-11A-01R-1858-07	13.34719	Normal
TCGA-55-6971-11A-01R-1949-07	44.03704	Normal
TCGA-50-6595-11A-01R-1858-07	14.96832	Normal
TCGA-55-6980-11A-01R-1949-07	30.90588	Normal
TCGA-44-2662-11A-01R-1758-07	10.76928	Normal
TCGA-55-6986-11A-01R-1949-07	32.64964	Normal
TCGA-38-4625-11A-01R-1758-07	7.119676	Normal
TCGA-91-6831-11A-02R-1858-07	53.09962	Normal
TCGA-50-5933-11A-01R-1755-07	34.47953	Normal
