ID	XIST	Type
TCGA-38-4626-11A-01R-1758-07	0.6833616	Normal
TCGA-44-6148-11A-01R-1858-07	0.01054944	Normal
TCGA-44-5645-11A-01R-1628-07	1.283821	Normal
TCGA-44-2668-11A-01R-1758-07	0	Normal
TCGA-91-6829-11A-01R-1858-07	0.002697752	Normal
TCGA-91-6849-11A-01R-1949-07	2.644994	Normal
TCGA-50-5935-11A-01R-1858-07	2.34305	Normal
TCGA-44-6146-11A-01R-1858-07	0.003305561	Normal
TCGA-49-6744-11A-01R-1858-07	3.653603	Normal
TCGA-49-6745-11A-01R-1858-07	0.002656672	Normal
TCGA-91-6836-11A-01R-1858-07	6.000059	Normal
TCGA-55-6968-11A-01R-1949-07	0	Normal
TCGA-44-6778-11A-01R-1858-07	0.001293834	Normal
TCGA-55-6982-11A-01R-1949-07	8.112646	Normal
TCGA-55-6984-11A-01R-1949-07	3.35192	Normal
TCGA-55-6981-11A-01R-1949-07	7.510459	Normal
TCGA-91-6835-11A-01R-1858-07	5.86554	Normal
TCGA-44-6776-11A-01R-1858-07	3.194889	Normal
TCGA-44-2665-11A-01R-1758-07	1.081041	Normal
TCGA-91-6847-11A-01R-1949-07	2.816917	Normal
TCGA-44-3396-11A-01R-1758-07	2.169396	Normal
TCGA-50-5931-11A-01R-1858-07	2.202486	Normal
TCGA-44-6145-11A-01R-1858-07	2.6285	Normal
TCGA-55-6970-11A-01R-1949-07	6.812897	Normal
TCGA-91-6828-11A-01R-1858-07	0	Normal
TCGA-49-6742-11A-01R-1858-07	0	Normal
TCGA-38-4627-11A-01R-1758-07	0.1660725	Normal
TCGA-49-4512-11A-01R-1858-07	0.1759756	Normal
TCGA-55-6983-11A-01R-1949-07	0	Normal
TCGA-49-6761-11A-01R-1949-07	1.62956	Normal
TCGA-55-6975-11A-01R-1949-07	0	Normal
TCGA-44-2655-11A-01R-1758-07	1.246882	Normal
TCGA-44-2657-11A-01R-1758-07	1.279259	Normal
TCGA-50-5936-11A-01R-1628-07	0	Normal
TCGA-50-5932-11A-01R-1755-07	0	Normal
TCGA-44-2661-11A-01R-1758-07	1.383353	Normal
TCGA-49-6743-11A-01R-1858-07	1.842848	Normal
TCGA-55-6971-11A-01R-1949-07	6.752399	Normal
TCGA-50-6595-11A-01R-1858-07	3.607897	Normal
TCGA-55-6980-11A-01R-1949-07	0	Normal
TCGA-44-2662-11A-01R-1758-07	0.0008824049	Normal
TCGA-55-6986-11A-01R-1949-07	4.749572	Normal
TCGA-38-4625-11A-01R-1758-07	0.2758013	Normal
TCGA-91-6831-11A-02R-1858-07	0	Normal
TCGA-50-5933-11A-01R-1755-07	0.003465828	Normal
TCGA-50-5939-11A-01R-1628-07	0	Normal
TCGA-73-4676-11A-01R-1755-07	0	Normal
TCGA-55-6979-11A-01R-1949-07	3.728171	Normal
TCGA-50-5930-11A-01R-1755-07	0	Normal
TCGA-38-4632-11A-01R-1755-07	0	Normal
TCGA-49-4490-11A-01R-1858-07	0.3145499	Normal
TCGA-44-3398-11B-01R-1758-07	2.049102	Normal
TCGA-44-6777-11A-01R-1858-07	0.9226504	Normal
TCGA-55-6978-11A-01R-1949-07	0.001733429	Normal
TCGA-55-6972-11A-01R-1949-07	0.001816737	Normal
TCGA-55-6985-11A-01R-1949-07	6.067215	Normal
TCGA-44-6147-11A-01R-1858-07	3.739797	Normal
TCGA-49-6743-01A-11R-1858-07	1.110122	Tumor
TCGA-44-2668-01A-01R-A278-07	0.005259446	Tumor
TCGA-44-6146-01A-11R-1755-07	0.0009698354	Tumor
TCGA-44-6776-01A-11R-1858-07	2.43121	Tumor
TCGA-44-6147-01B-06R-A277-07	71.72946	Tumor
TCGA-91-6835-01A-11R-1858-07	8.515382	Tumor
TCGA-55-6982-01A-11R-1949-07	1.065224	Tumor
TCGA-49-6744-01A-11R-1858-07	1.376928	Tumor
TCGA-73-4676-01A-01R-1755-07	0.003564799	Tumor
TCGA-49-6761-01A-31R-1949-07	0.327206	Tumor
TCGA-50-5939-01A-11R-1628-07	0.001623848	Tumor
TCGA-91-6847-01A-11R-1949-07	0.1487079	Tumor
TCGA-44-2655-01A-01R-0946-07	1.960031	Tumor
TCGA-91-6836-01A-21R-1858-07	0.7565997	Tumor
TCGA-44-6145-01A-11R-1755-07	2.362924	Tumor
TCGA-44-2665-01A-01R-0946-07	4.175934	Tumor
TCGA-50-5936-01A-11R-1628-07	0	Tumor
TCGA-44-5645-01A-01R-A278-07	8.036658	Tumor
TCGA-55-6978-01A-11R-1949-07	0.004820217	Tumor
TCGA-91-6829-01A-21R-1858-07	0	Tumor
TCGA-55-6984-01A-11R-1949-07	3.559257	Tumor
TCGA-49-6742-01A-11R-1858-07	0	Tumor
TCGA-91-6849-01A-11R-1949-07	5.017352	Tumor
TCGA-44-2662-01A-01R-0946-07	0	Tumor
TCGA-44-3396-01A-01R-1206-07	3.785965	Tumor
TCGA-38-4627-01A-01R-1206-07	0.1802417	Tumor
TCGA-44-6777-01A-11R-1858-07	0.9372423	Tumor
TCGA-55-6980-01A-11R-1949-07	0.005813907	Tumor
TCGA-50-5931-01A-11R-1755-07	11.33279	Tumor
TCGA-55-6971-01A-11R-1949-07	10.67391	Tumor
TCGA-49-6745-01A-11R-1858-07	0	Tumor
TCGA-44-6148-01A-11R-1755-07	0.001270749	Tumor
TCGA-55-6970-01A-11R-1949-07	3.953357	Tumor
TCGA-38-4625-01A-01R-1206-07	0.4262608	Tumor
TCGA-55-6975-01A-11R-1949-07	0	Tumor
TCGA-50-5933-01A-11R-1755-07	0	Tumor
TCGA-44-2661-01A-01R-1107-07	3.395319	Tumor
TCGA-44-6778-01A-11R-1858-07	0.08246689	Tumor
TCGA-44-3398-01A-01R-1107-07	1.010456	Tumor
TCGA-55-6979-01A-11R-1949-07	6.151813	Tumor
TCGA-55-6981-01A-11R-1949-07	3.544652	Tumor
TCGA-55-6968-01A-11R-1949-07	0.06386978	Tumor
TCGA-50-5935-01A-11R-1755-07	5.507961	Tumor
TCGA-55-6972-01A-11R-1949-07	0.00428847	Tumor
TCGA-91-6831-01A-11R-1858-07	0.01630089	Tumor
TCGA-55-6985-01A-11R-1949-07	1.471311	Tumor
TCGA-49-4512-01A-21R-1858-07	10.82693	Tumor
TCGA-91-6828-01A-11R-1858-07	0.002060185	Tumor
TCGA-38-4632-01A-01R-1755-07	0.001698589	Tumor
TCGA-38-4626-01A-01R-1206-07	2.547368	Tumor
TCGA-50-5930-01A-11R-1755-07	0	Tumor
TCGA-55-6986-01A-11R-1949-07	2.190119	Tumor
TCGA-49-4490-01A-21R-1858-07	1.325168	Tumor
TCGA-50-6595-01A-12R-1858-07	0.6111138	Tumor
TCGA-50-5932-01A-11R-1755-07	0.001871812	Tumor
TCGA-44-2657-01A-01R-1107-07	3.58944	Tumor
TCGA-55-6983-01A-11R-1949-07	0.003658262	Tumor
