ID	KCNQ1OT1	Type
TCGA-38-4626-11A-01R-1758-07	0.02158617	Normal
TCGA-44-6148-11A-01R-1858-07	0.0577607	Normal
TCGA-44-5645-11A-01R-1628-07	0.04107731	Normal
TCGA-44-2668-11A-01R-1758-07	0.01684082	Normal
TCGA-91-6829-11A-01R-1858-07	0.06716199	Normal
TCGA-91-6849-11A-01R-1949-07	0.05900295	Normal
TCGA-50-5935-11A-01R-1858-07	0.04065833	Normal
TCGA-44-6146-11A-01R-1858-07	0.0398891	Normal
TCGA-49-6744-11A-01R-1858-07	0.03563589	Normal
TCGA-49-6745-11A-01R-1858-07	0.01819553	Normal
TCGA-91-6836-11A-01R-1858-07	0.05320303	Normal
TCGA-55-6968-11A-01R-1949-07	0.04070623	Normal
TCGA-44-6778-11A-01R-1858-07	0.06639063	Normal
TCGA-55-6982-11A-01R-1949-07	0.09221659	Normal
TCGA-55-6984-11A-01R-1949-07	0.06777996	Normal
TCGA-55-6981-11A-01R-1949-07	0.1020616	Normal
TCGA-91-6835-11A-01R-1858-07	0.07677386	Normal
TCGA-44-6776-11A-01R-1858-07	0.05805705	Normal
TCGA-44-2665-11A-01R-1758-07	0.02646246	Normal
TCGA-91-6847-11A-01R-1949-07	0.07441656	Normal
TCGA-44-3396-11A-01R-1758-07	0.02893203	Normal
TCGA-50-5931-11A-01R-1858-07	0.02129802	Normal
TCGA-44-6145-11A-01R-1858-07	0.03735755	Normal
TCGA-44-6144-11A-01R-1755-07	0.04066702	Normal
TCGA-55-6970-11A-01R-1949-07	0.06178432	Normal
TCGA-55-6969-11A-01R-1949-07	0.09496648	Normal
TCGA-91-6828-11A-01R-1858-07	0.07813276	Normal
TCGA-49-6742-11A-01R-1858-07	0.02326093	Normal
TCGA-38-4627-11A-01R-1758-07	0.008966631	Normal
TCGA-49-4512-11A-01R-1858-07	0.05112898	Normal
TCGA-55-6983-11A-01R-1949-07	0.05236514	Normal
TCGA-49-6761-11A-01R-1949-07	0.03621312	Normal
TCGA-55-6975-11A-01R-1949-07	0.04723648	Normal
TCGA-44-2655-11A-01R-1758-07	0.02102287	Normal
TCGA-44-2657-11A-01R-1758-07	0.03076515	Normal
TCGA-50-5936-11A-01R-1628-07	0.02942967	Normal
TCGA-50-5932-11A-01R-1755-07	0.03116539	Normal
TCGA-44-2661-11A-01R-1758-07	0.03315686	Normal
TCGA-49-6743-11A-01R-1858-07	0.01980231	Normal
TCGA-55-6971-11A-01R-1949-07	0.1041705	Normal
TCGA-50-6595-11A-01R-1858-07	0.06409772	Normal
TCGA-55-6980-11A-01R-1949-07	0.06214756	Normal
TCGA-44-2662-11A-01R-1758-07	0.020529	Normal
TCGA-55-6986-11A-01R-1949-07	0.07262639	Normal
TCGA-38-4625-11A-01R-1758-07	0.009707452	Normal
TCGA-91-6831-11A-02R-1858-07	0.08720378	Normal
TCGA-50-5933-11A-01R-1755-07	0.02712849	Normal
TCGA-50-5939-11A-01R-1628-07	0.02190189	Normal
TCGA-73-4676-11A-01R-1755-07	0.02117582	Normal
TCGA-55-6979-11A-01R-1949-07	0.06770127	Normal
TCGA-50-5930-11A-01R-1755-07	0.04309701	Normal
TCGA-38-4632-11A-01R-1755-07	0.01111819	Normal
TCGA-49-4490-11A-01R-1858-07	0.01169095	Normal
TCGA-44-3398-11B-01R-1758-07	0.03818852	Normal
TCGA-44-6777-11A-01R-1858-07	0.01646033	Normal
TCGA-55-6978-11A-01R-1949-07	0.07349483	Normal
TCGA-55-6972-11A-01R-1949-07	0.07149682	Normal
TCGA-55-6985-11A-01R-1949-07	0.09106832	Normal
TCGA-44-6147-11A-01R-1858-07	0.04032672	Normal
